Date,EFM (EMERGING + FRONTIER MARKETS)
2002-05,250.77570707210137
2002-06,232.2049684159193
2002-07,213.40839797234423
2002-08,217.5507992043904
2002-09,194.80119126317604
2002-10,206.8881873345668
2002-11,220.7438050310412
2002-12,213.58190443463587
2003-01,212.33076458566094
2003-02,206.15568925434852
2003-03,200.2180976714729
2003-04,217.86383223309883
2003-05,232.3152377577094
2003-06,245.10791224150015
2003-07,259.48363058824924
2003-08,276.76156775402114
2003-09,278.5076460003976
2003-10,300.4566535918806
2003-11,304.36125879695203
2003-12,324.52224173715376
2004-01,337.1486426242965
2004-02,353.2133517746061
2004-03,357.69803097147104
2004-04,329.65275777072463
2004-05,325.5386844332908
2004-06,326.88554515548407
2004-07,320.23023057424774
2004-08,333.26529609327423
2004-09,351.64125285733775
2004-10,360.42567762879236
2004-11,392.50645557859195
2004-12,411.65797901051025
2005-01,413.5935406122359
2005-02,451.41367723878056
2005-03,424.85271496388714
2005-04,415.9899473318049
2005-05,429.25821078978925
2005-06,447.5434514903243
2005-07,475.53556244597667
2005-08,481.9379616467771
2005-09,525.9175801179365
2005-10,493.77211347608534
2005-11,530.8921350410826
2005-12,560.5055654836077
2006-01,618.5626309466244
2006-02,614.9732368197649
2006-03,617.0804535228577
2006-04,659.2540219722673
2006-05,592.9201311325094
2006-06,591.5681316262907
2006-07,599.2429774692026
2006-08,615.6135698703873
2006-09,619.3351830770229
2006-10,647.3567273980134
2006-11,691.0586190127877
2006-12,723.1921424292872
2007-01,715.3983852052253
2007-02,711.5612674569873
2007-03,738.2614335687772
2007-04,771.0213570295167
2007-05,807.6606975018733
2007-06,845.3654507568309
2007-07,888.7670981470636
2007-08,870.2424664319548
2007-09,964.1793380983008
2007-10,1069.9956696002835
2007-11,1000.0000000000001
2007-12,1005.0066341817414
2008-01,884.5413889024205
2008-02,948.7819700682419
2008-03,898.9067155376088
2008-04,970.3656785214537
2008-05,989.3035896208795
2008-06,894.7569902149249
2008-07,861.4524354569681
2008-08,792.5058151137018
2008-09,655.5574291327641
2008-10,477.05786058005094
2008-11,439.7349455330306
2008-12,469.50854011005356
