Date,EM (EMERGING MARKETS)+CHINA A ONSHORE
2004-12,1040.1078654959658
2005-01,1039.6771709710717
2005-02,1130.3992669722218
2005-03,1053.8797119721187
2005-04,1026.6655271613915
2005-05,1055.4288318525942
2005-06,1090.7162796560312
2005-07,1165.1429099970503
2005-08,1177.629991770204
2005-09,1281.3523953599786
2005-10,1198.5787610827165
2005-11,1293.044065633562
2005-12,1369.7901779693211
2006-01,1521.6792970225365
2006-02,1522.897710202105
2006-03,1536.5675413140275
2006-04,1648.7106228420625
2006-05,1496.2513269942394
2006-06,1495.733490312265
2006-07,1510.0049615622809
2006-08,1549.3161144350963
2006-09,1566.2495394217935
2006-10,1640.9260180047904
2006-11,1772.650649415626
2006-12,1869.6002250499434
2007-01,1873.7208233978276
2007-02,1875.8964585123126
2007-03,1960.4590431994961
2007-04,2100.046498178325
2007-05,2219.3361651300997
2007-06,2298.6039301436817
2007-07,2459.33476540082
2007-08,2471.142286500208
2007-09,2721.6758995918512
2007-10,2984.251681593691
2007-11,2733.2599880019607
2007-12,2797.129491728287
2008-01,2457.924893574274
2008-02,2621.5284532208434
2008-03,2431.212341406643
2008-04,2614.0367520997347
2008-05,2629.0899621645726
2008-06,2330.666776483884
2008-07,2258.8801309797323
2008-08,2056.9370267114296
2008-09,1724.1504415109616
2008-10,1257.4509017912728
2008-11,1195.5108957999616
2008-12,1273.2501022426188
2009-01,1225.4339923053392
2009-02,1181.3821788451532
2009-03,1356.5514621067766
2009-04,1551.1246976757434
2009-05,1781.9860532687023
2009-06,1805.733830592052
2009-07,2029.9366599797868
2009-08,1929.5397295629914
2009-09,2094.3764756465594
2009-10,2129.188040954828
2009-11,2233.6472829093655
2009-12,2310.1330681372547
2010-01,2163.8237565211107
2010-02,2181.4122283272577
2010-03,2330.7563480904746
2010-04,2319.4352666054747
2010-05,2112.5422946292933
2010-06,2070.338736146932
2010-07,2259.6773327951146
2010-08,2235.816943216948
2010-09,2448.9876703006353
2010-10,2570.170124868126
2010-11,2490.335227811242
2010-12,2632.6748224407734
2011-01,2558.9452491493466
2011-02,2573.198257446232
2011-03,2690.1586858280934
2011-04,2754.673346475845
2011-05,2664.283417394804
2011-06,2645.220076600809
