Date,AC ASIA PAC ex JP WITH CHINA ALL SHARES
2008-11,1057.7346257772133
2008-12,1142.0700178272816
2009-01,1068.1480235147833
2009-02,1014.8509536503602
2009-03,1164.6966439128335
2009-04,1331.643094061162
2009-05,1512.1491189414567
2009-06,1545.3236420143705
2009-07,1743.130732508307
2009-08,1698.2418142851764
2009-09,1857.458400626295
2009-10,1862.37841462697
2009-11,1919.2661250849683
2009-12,1985.631823001214
2010-01,1851.5759489336867
2010-02,1876.7551624306345
2010-03,2010.378499880711
2010-04,2022.5522162517389
2010-05,1806.4434457506097
2010-06,1811.0137539359876
2010-07,1950.0877962046259
2010-08,1919.066779246554
2010-09,2135.0414260747457
2010-10,2211.1043129575837
2010-11,2158.823872810214
2010-12,2296.8344668793666
2011-01,2267.53193992978
2011-02,2238.0037417521626
2011-03,2345.8070411565127
2011-04,2440.9321268329854
2011-05,2380.855973202443
2011-06,2341.1255770944786
2011-07,2343.8103642274236
2011-08,2152.7037240875343
2011-09,1869.4991253456255
2011-10,2105.449200124361
2011-11,1941.4237362291808
2011-12,1936.4033299582568
2012-01,2126.9878999627877
2012-02,2239.1673911073112
2012-03,2165.496650350203
2012-04,2185.7820493605063
2012-05,1972.9319115015442
2012-06,2037.749769179752
2012-07,2103.784678491271
2012-08,2089.183733714315
2012-09,2210.97168649274
2012-10,2219.315090777028
2012-11,2258.9193807547576
2012-12,2356.834914922184
2013-01,2426.8497993287174
2013-02,2444.5050898148393
2013-03,2393.880348031968
2013-04,2446.4211678714846
2013-05,2367.6341119684057
2013-06,2206.9298887362756
2013-07,2249.7418452147217
2013-08,2247.5533422454355
2013-09,2375.9169883684367
2013-10,2472.717273970813
2013-11,2458.0760975401054
2013-12,2421.4034618408414
2014-01,2298.278997941326
2014-02,2385.276182775659
2014-03,2417.0651334237896
2014-04,2438.506053104553
2014-05,2510.3870931323736
2014-06,2553.653325427556
2014-07,2659.2861098279845
2014-08,2677.6725924392485
2014-09,2512.8924621531523
2014-10,2582.577767125562
2014-11,2583.1349499380794
2014-12,2611.939881349901
2015-01,2632.925781772231
2015-02,2718.656539185599
2015-03,2778.2281148376446
2015-04,3009.9357235722678
2015-05,2958.493536741642
2015-06,2815.087514945385
2015-07,2617.4581506773734
2015-08,2330.613210628747
2015-09,2265.8880180375954
2015-10,2454.03294334047
2015-11,2401.1849058688276
2015-12,2412.4379026331185
2016-01,2144.238243546825
2016-02,2122.480375602313
2016-03,2375.5868476824107
2016-04,2363.0866723811223
2016-05,2327.7540803469283
2016-06,2368.0247676220506
2016-07,2487.9653108603693
2016-08,2546.9694318381157
2016-09,2574.6984352210306
2016-10,2542.732657934445
2016-11,2510.3221323400753
2016-12,2457.291161502461
2017-01,2589.493040587818
2017-02,2675.099047790427
2017-03,2741.8385799706275
2017-04,2775.4876953300322
2017-05,2843.457953526634
2017-06,2914.80825329317
2017-07,3058.8776402348876
2017-08,3106.1093274911505
2017-09,3099.764211613484
2017-10,3223.316333126987
2017-11,3226.4414642699153
2017-12,3320.821017246263
2018-01,3555.113747305535
2018-02,3374.920366578565
2018-03,3299.856069423862
2018-04,3302.508323885505
2018-05,3276.6064074198425
2018-06,3120.968209262656
2018-07,3140.8005436701737
2018-08,3083.897502453904
2018-09,3056.6270277465046
2018-10,2744.400171884102
2018-11,2855.3640460667125
2018-12,2774.7973513045954
2019-01,2981.630882245731
2019-02,3099.0056718611886
2019-03,3164.918070638252
2019-04,3213.1234825977613
2019-05,2980.496868783878
2019-06,3166.4772751027203
2019-07,3133.2054267222943
2019-08,2999.573498851118
2019-09,3047.111379374065
2019-10,3166.0301292030304
2019-11,3172.3003779291744
2019-12,3365.78542236866
2020-01,3257.021399064155
2020-02,3131.3640720542926
2020-03,2723.118641324932
2020-04,2978.9536308931956
2020-05,2962.7198400650354
2020-06,3213.329042034636
2020-07,3503.25770347618
2020-08,3640.79571293566
2020-09,3541.8796742042805
2020-10,3633.944434779326
2020-11,3947.9077925690804
2020-12,4212.239775832695
2021-01,4364.597200667874
2021-02,4407.230034464479
2021-03,4283.750676326732
2021-04,4413.574041278871
2021-05,4514.376874458426
2021-06,4491.698147472501
2021-07,4198.653056513245
2021-08,4279.132076424542
2021-09,4144.211051312639
2021-10,4219.300740310136
2021-11,4069.861398
2021-12,4139.01946886708
2022-01,3938.5233596157273
2022-02,3920.8061006126977
2022-03,3837.8495290921437
2022-04,3608.3275642065264
2022-05,3630.345237347886
2022-06,3515.801907862285
2022-07,3475.7307624529435
2022-08,3444.5614682899063
2022-09,3033.3674999477344
2022-10,2878.5834236069772
2022-11,3351.985543871864
2022-12,3351.401722978895
2023-01,3648.444612550321
2023-02,3418.9108127950017
2023-03,3496.6073731521897
2023-04,3435.365143060079
2023-05,3325.1624587695896
2023-06,3404.639637916072
2023-07,3604.0640344477106
