Date,WORLD
1969-12,100.0
1970-01,94.455
1970-02,97.405
1970-03,97.708
1970-04,88.578
1970-05,82.99
1970-06,80.946
1970-07,85.965
1970-08,88.799
1970-09,91.667
1970-10,90.314
1970-11,92.337
1970-12,96.915
1971-01,101.369
1971-02,102.438
1971-03,106.933
1971-04,110.429
1971-05,107.814
1971-06,108.909
1971-07,107.168
1971-08,109.507
1971-09,108.466
1971-10,104.351
1971-11,105.233
1971-12,114.712
1972-01,118.911
1972-02,123.473
1972-03,125.187
1972-04,126.848
1972-05,129.432
1972-06,126.428
1972-07,128.381
1972-08,132.028
1972-09,130.019
1972-10,131.094
1972-11,137.975
1972-12,140.503
1973-01,140.826
1973-02,141.799
1973-03,141.997
1973-04,134.842
1973-05,134.44
1973-06,135.285
1973-07,138.51
1973-08,132.743
1973-09,136.584
1973-10,137.962
1973-11,120.073
1973-12,119.086
1974-01,119.999
1974-02,121.866
1974-03,118.78
1974-04,116.801
1974-05,112.098
1974-06,108.574
1974-07,102.144
1974-08,92.287
1974-09,83.68
1974-10,91.689
1974-11,90.257
1974-12,88.758
1975-01,101.701
1975-02,110.683
1975-03,111.494
1975-04,116.112
1975-05,118.858
1975-06,120.356
1975-07,113.706
1975-08,111.945
1975-09,107.251
1975-10,114.639
1975-11,117.774
1975-12,117.875
1976-01,128.408
1976-02,127.458
1976-03,128.961
1976-04,128.021
1976-05,125.888
1976-06,129.762
1976-07,128.548
1976-08,128.256
1976-09,129.333
1976-10,124.808
1976-11,124.318
1976-12,133.667
1977-01,129.18
1977-02,128.613
1977-03,127.809
1977-04,129.206
1977-05,127.451
1977-06,132.249
1977-07,130.476
1977-08,130.958
1977-09,132.589
1977-10,130.324
1977-11,131.957
1977-12,134.575
1978-01,130.616
1978-02,129.612
1978-03,135.475
1978-04,141.556
1978-05,143.331
1978-06,144.75
1978-07,155.181
1978-08,158.737
1978-09,160.561
1978-10,157.432
1978-11,151.859
1978-12,156.805
1979-01,160.811
1979-02,157.72
1979-03,164.318
1979-04,164.067
1979-05,161.215
1979-06,165.861
1979-07,167.094
1979-08,173.787
1979-09,177.675
1979-10,164.44
1979-11,169.474
1979-12,173.98
1980-01,184.435
1980-02,184.503
1980-03,164.629
1980-04,175.383
1980-05,183.992
1980-06,192.781
1980-07,198.672
1980-08,202.521
1980-09,208.571
1980-10,214.614
1980-11,223.556
1980-12,218.644
1981-01,212.25
1981-02,212.838
1981-03,220.375
1981-04,220.452
1981-05,216.119
1981-06,215.717
1981-07,212.043
1981-08,207.838
1981-09,192.186
1981-10,198.044
1981-11,212.731
1981-12,208.181
1982-01,205.087
1982-02,192.634
1982-03,187.341
1982-04,196.502
1982-05,191.513
1982-06,182.826
1982-07,180.439
1982-08,193.491
1982-09,194.351
1982-10,207.664
1982-11,218.621
1982-12,228.392
1983-01,233.223
1983-02,238.074
1983-03,246.407
1983-04,263.953
1983-05,261.323
1983-06,269.484
1983-07,264.634
1983-08,266.012
1983-09,271.354
1983-10,268.119
1983-11,275.001
1983-12,278.474
1984-01,280.739
1984-02,276.062
1984-03,289.006
1984-04,287.909
1984-05,266.284
1984-06,268.54
1984-07,259.05
1984-08,284.998
1984-09,283.868
1984-10,286.847
1984-11,285.717
1984-12,291.613
1985-01,307.636
1985-02,308.161
1985-03,318.779
1985-04,317.824
1985-05,334.076
1985-06,339.953
1985-07,346.882
1985-08,349.639
1985-09,352.162
1985-10,371.024
1985-11,391.668
1985-12,409.905
1986-01,415.868246
1986-02,453.234421
1986-03,497.415808
1986-04,510.970221
1986-05,509.368196
1986-06,529.674487
1986-07,533.79469
1986-08,580.298882
1986-09,557.093819
1986-10,547.379709
1986-11,570.391861
1986-12,581.612557
1987-01,649.780015
1987-02,671.045781
1987-03,712.438253
1987-04,754.049234
1987-05,754.929478
1987-06,754.320217
1987-07,769.218365
1987-08,814.509921
1987-09,800.14903
1987-10,664.105947
1987-11,647.759308
1987-12,675.62375
1988-01,691.912748
1988-02,731.869528
1988-03,753.769502
1988-04,763.076133
1988-05,747.624485
1988-06,746.387215
1988-07,760.221398
1988-08,718.25319
1988-09,748.520469
1988-10,798.131984
1988-11,825.706048
1988-12,832.956472
1989-01,862.880336
1989-02,857.236133
1989-03,851.517154
1989-04,870.942001
1989-05,849.365112
1989-06,839.554621
1989-07,934.194438
1989-08,911.356642
1989-09,936.856315
1989-10,905.376576
1989-11,941.282388
1989-12,971.297444
1990-01,925.695363
1990-02,885.750781
1990-03,832.006401
1990-04,819.754201
1990-05,905.815722
1990-06,899.096049
1990-07,907.018444
1990-08,821.843665
1990-09,734.904515
1990-10,803.22675
1990-11,789.752208
1990-12,806.004213
1991-01,835.195207
1991-02,912.2236
1991-03,885.059251
1991-04,891.704385
1991-05,911.635089
1991-06,855.081143
1991-07,895.188964
1991-08,892.068469
1991-09,915.185232
1991-10,929.747127
1991-11,888.950154
1991-12,953.376362
1992-01,935.4450800000001
1992-02,919.0238455
1992-03,875.4504893999999
1992-04,887.3678041999999
1992-05,922.3818454999999
1992-06,891.1970411
1992-07,893.1808946
1992-08,914.6070937
1992-09,905.9287102999999
1992-10,881.1000372
1992-11,896.5855161
1992-12,903.5503934
1993-01,906.300838
1993-02,927.498961
1993-03,981.000498
1993-04,1026.195271
1993-05,1049.573183
1993-06,1040.4976159999999
1993-07,1061.663943
1993-08,1110.067402
1993-09,1089.291649
1993-10,1119.0471026494158
1993-11,1055.4823540056348
1993-12,1106.8714267572532
1994-01,1179.616593789733
1994-02,1164.0913265233432
1994-03,1113.6441654841578
1994-04,1147.8094646798806
1994-05,1150.5018766723665
1994-06,1147.044287609265
1994-07,1168.5882118055486
1994-08,1203.5143282788295
1994-09,1171.6258232314938
1994-10,1204.6839873010358
1994-11,1152.1685686934863
1994-12,1163.056373203693
1995-01,1145.3187796984812
1995-02,1161.7381661096545
1995-03,1217.4511339734665
1995-04,1259.5983048544417
1995-05,1270.0875753391813
1995-06,1269.4122276510966
1995-07,1332.6401386649509
1995-08,1302.6635947037291
1995-09,1340.3237368188443
1995-10,1318.932605904556
1995-11,1364.4409337644709
1995-12,1404.0454034058814
1996-01,1429.1537092669737
1996-02,1437.5637561003327
1996-03,1461.1879488846866
1996-04,1495.2468051044289
1996-05,1496.2403115751213
1996-06,1503.50600616062
1996-07,1450.0691207684692
1996-08,1466.4346565239343
1996-09,1523.5470768120438
1996-10,1533.8813071725142
1996-11,1619.5349524402804
1996-12,1593.2942655532643
1997-01,1612.1970951982905
1997-02,1630.4384976865715
1997-03,1597.8834583154367
1997-04,1649.8088945988623
1997-05,1751.3404770144793
1997-06,1838.3876050843216
1997-07,1922.7579860115084
1997-08,1793.831575996942
1997-09,1890.9832943495883
1997-10,1791.1531282109745
1997-11,1822.5441963941284
1997-12,1844.4514328989621
1998-01,1895.5464471787534
1998-02,2023.4624431831016
1998-03,2108.594984729992
1998-04,2128.8841430767607
1998-05,2101.886084484413
1998-06,2151.4498892293514
1998-07,2147.6789217400724
1998-08,1860.9575330980215
1998-09,1893.550876466684
1998-10,2064.403123197235
1998-11,2186.848051499282
1998-12,2293.3539395428274
1999-01,2343.2378981141055
1999-02,2280.5716665176938
1999-03,2375.1934315121534
1999-04,2468.492639847425
1999-05,2377.95859937331
1999-06,2488.537126007964
1999-07,2480.735961332043
1999-08,2475.9894272690517
1999-09,2451.6435789903817
1999-10,2578.7440084508416
1999-11,2650.9558107777325
1999-12,2865.1991033661566
2000-01,2700.7903497766506
2000-02,2707.74980272958
2000-03,2894.5703353333965
2000-04,2771.8489431642165
2000-05,2701.3439401363803
2000-06,2791.968549520879
2000-07,2713.0378253083904
2000-08,2800.95259467885
2000-09,2651.689753100153
2000-10,2606.9361786468335
2000-11,2448.333921974527
2000-12,2487.6134344967827
2001-01,2535.5162035972844
2001-02,2320.9536775418987
2001-03,2168.116678285262
2001-04,2327.938366066897
2001-05,2297.60276490417
2001-06,2225.2929978201705
2001-07,2195.54884804474
2001-08,2089.840583292506
2001-09,1905.4136764108357
2001-10,1941.7975832541547
2001-11,2056.379506778925
2001-12,2069.0985079271454
2002-01,2006.2041553729864
2002-02,1988.558845571928
2002-03,2076.154592022391
2002-04,2005.5874602148074
2002-05,2008.931162772596
2002-06,1886.6942962862609
2002-07,1727.4992351231829
2002-08,1730.449187841896
2002-09,1539.9262757993706
2002-10,1653.3942429235344
2002-11,1742.2869962508005
2002-12,1657.6358766575893
2003-01,1607.1209827503476
2003-02,1578.993718858023
2003-03,1573.7820874241745
2003-04,1713.2484648972697
2003-05,1810.7900016477474
2003-06,1841.9007659079039
2003-07,1879.089321760358
2003-08,1919.4560850785012
2003-09,1931.0083330717434
2003-10,2045.4049338313293
2003-11,2076.3202588032555
2003-12,2206.423360277526
2004-01,2241.827321534782
2004-02,2279.3671175915183
2004-03,2264.241814800017
2004-04,2217.8672147188345
2004-05,2238.0736868726417
2004-06,2284.019128538432
2004-07,2209.445633948684
2004-08,2219.1574417586558
2004-09,2261.1380422873494
2004-10,2316.4690231791283
2004-11,2438.1559587939373
2004-12,2531.2277435578067
2005-01,2474.239146034857
2005-02,2552.6175625078154
2005-03,2503.067706272775
2005-04,2448.5275197450146
2005-05,2492.031521145371
2005-06,2513.595116995053
2005-07,2601.3994128693057
2005-08,2621.0013608546774
2005-09,2689.077778625007
2005-10,2623.838124343637
2005-11,2711.2633405246384
2005-12,2771.330352489874
2006-01,2895.079155796253
2006-02,2890.769462637957
2006-03,2954.3340246888515
2006-04,3044.0296168034606
2006-05,2940.0492168016813
2006-06,2939.186723987702
2006-07,2957.5302045250887
2006-08,3034.2993226168755
2006-09,3070.479056081198
2006-10,3183.1740265634894
2006-11,3261.123708846584
2006-12,3327.4260684379196
2007-01,3366.707055688973
2007-02,3349.187521408382
2007-03,3410.4956023472932
2007-04,3560.9424083670406
2007-05,3660.6801754952426
2007-06,3632.4440798839228
2007-07,3551.998829691624
2007-08,3549.303928240427
2007-09,3718.0929140714006
2007-10,3832.132712142053
2007-11,3675.4912384944364
2007-12,3628.0727838634716
2008-01,3350.817264770072
2008-02,3331.423027480489
2008-03,3299.4912829150885
2008-04,3472.9056764841753
2008-05,3525.8628892748943
2008-06,3244.6485472722347
2008-07,3165.368349359615
2008-08,3120.897713343502
2008-09,2749.710549713483
2008-10,2228.3628360222033
2008-11,2084.123819681126
2008-12,2150.990420241162
2009-01,1962.5513489156708
2009-02,1761.6660387229635
2009-03,1894.5112339747845
2009-04,2107.036383045319
2009-05,2297.9464806426013
2009-06,2287.5792422622662
2009-07,2481.330445714914
2009-08,2583.697379257216
