Date,AC ASIA ex JAPAN+CHINA A ONSHORE
2013-09,2375.8399630060085
2013-10,2447.302123294902
2013-11,2468.730792523736
2013-12,2427.808720000449
2014-01,2309.0296035196407
2014-02,2360.099545916226
2014-03,2363.631638469145
2014-04,2374.014447667296
2014-05,2452.845227501674
2014-06,2509.3462263323927
2014-07,2636.0058545424363
2014-08,2653.198436307425
2014-09,2562.2683345395353
2014-10,2616.57655735727
2014-11,2684.300772843275
2014-12,2783.7944605808566
2015-01,2815.4758569791234
2015-02,2888.4173327699436
2015-03,3038.3798857181587
2015-04,3358.121464980005
2015-05,3359.675826049913
2015-06,3177.5877522491146
2015-07,2878.7959832624147
2015-08,2548.228066842967
2015-09,2473.1084334310003
2015-10,2704.6076084449423
2015-11,2645.612167142702
2015-12,2666.10025426157
2016-01,2282.0485170204056
2016-02,2255.6468832995015
2016-03,2530.3773227729844
2016-04,2492.5982751616843
2016-05,2455.3203343835075
2016-06,2504.0032475670027
2016-07,2600.1087078768674
2016-08,2689.314570191544
2016-09,2701.3210676535464
2016-10,2679.8287424059235
2017-04,2847.518029
2017-05,2933.937915
2017-06,3023.262846
2017-07,3167.322283
2017-08,3238.126718
2017-09,3240.250807
2017-10,3374.531583
2017-11,3360.400702
2017-12,3438.379999
2018-01,3695.950784
2018-02,3494.245669
2018-03,3435.712255
2018-04,3395.7702073565533
2018-05,3350.0400815511944
2018-06,3134.3980611182865
2018-07,3133.493586857063
2018-08,3058.088829430017
2018-09,3040.1757587482775
2018-10,2715.8371538924557
2018-11,2837.5700037822107
2018-12,2754.36974455617
2019-01,2964.5898795694675
2019-02,3120.9501633950704
2019-03,3210.8921357474683
2019-04,3257.312067485316
2019-05,2975.5825540274996
2019-06,3163.5580925070135
2019-07,3128.012985768088
2019-08,2994.1007455342874
2019-09,3035.5359937541707
2019-10,3158.6157212175667
2019-11,3155.2750957182584
2019-12,3380.555990399322
2020-01,3270.5276265529815
2020-02,3191.3831228536505
2020-03,2843.2568901000745
2020-04,3082.4346520319755
2020-05,3042.0813258197554
2020-06,3311.9426153419454
2020-07,3658.9493940993857
2020-08,3795.788795232197
2020-09,3697.4575453152875
2020-10,3809.419885530176
2020-11,4100.816483773503
2020-12,4372.396403280173
