Date,ACWI + FRONTIER MARKETS (ACWI FM)
2002-05,519.4426436989946
2002-06,487.4605375107135
2002-07,447.28656728890525
2002-08,449.0581188707977
2002-09,400.9389005046642
2002-10,429.8711897011089
2002-11,452.41985883690296
2002-12,431.0944073137389
2003-01,418.0268171022224
2003-02,410.7479103103726
2003-03,409.41578040537223
2003-04,444.6759984801974
2003-05,470.2984852941689
2003-06,478.83900981882186
2003-07,488.61217401846346
2003-08,499.6471764920782
2003-09,502.4469155413072
2003-10,532.1534921256017
2003-11,539.9714388679124
2003-12,573.1830206766831
2004-01,583.1893475212217
2004-02,594.1591566380986
2004-03,590.8226601675616
2004-04,576.9073105749
2004-05,581.7712585550757
2004-06,592.9133263031167
2004-07,574.0863050104012
2004-08,577.4224847531233
2004-09,589.1774452281952
2004-10,603.3970541923971
2004-11,635.297949547944
2004-12,659.8457782296733
2005-01,645.4298328127406
2005-02,667.6559389328245
2005-03,653.3838512853387
2005-04,639.4433120110907
2005-05,651.7347712629156
2005-06,658.7716770806945
2005-07,682.9919862726023
2005-08,688.3699404858282
2005-09,708.8800096176749
2005-10,690.9757747084458
2005-11,715.239432483021
2005-12,732.2368545900025
2006-01,767.3130021553461
2006-02,765.8966071599741
2006-03,781.4126441983228
2006-04,806.7807748043
2006-05,776.0432948416333
2006-06,776.4107258403735
2006-07,782.7978374795497
2006-08,803.065638634072
2006-09,812.2646207240257
2006-10,842.2157013682386
2006-11,865.057314014532
2006-12,884.5229683175239
2007-01,892.8548929670981
2007-02,887.6423914746872
2007-03,904.9894620623364
2007-04,944.9668575169653
2007-05,973.4742737669469
2007-06,970.7416816376841
2007-07,956.297987014448
2007-08,953.6300653693944
2007-09,1005.1418082591216
2007-10,1044.4718797886612
2007-11,1000.0
2007-12,989.025241329659
2008-01,908.1875878271688
2008-02,911.1301677151534
2008-03,897.018801274218
2008-04,947.1412189800874
2008-05,962.7957502018912
2008-06,884.1321312009655
2008-07,861.1576293150781
2008-08,842.2572228928075
2008-09,736.9474371224832
2008-10,590.6947695204182
2008-11,551.6893829883542
2008-12,571.2678663875969
2009-01,522.1941820447137
2009-02,471.13038032999634
2009-03,509.9406894375252
2009-04,570.1175048863829
2009-05,627.1335507063444
2009-06,623.7325369750706
2009-07,678.4028543558795
2009-08,702.7363598935182
2009-09,734.9134731893272
2009-10,723.5059499197646
2009-11,752.8888178082461
2009-12,768.3698938713535
2010-01,735.2447796531283
2010-02,744.7535503701495
2010-03,792.7098558531095
2010-04,794.0439084021672
2010-05,718.77735252244
2010-06,696.7060870393058
2010-07,753.3206464742128
2010-08,727.1171454227597
2010-09,796.6081567385035
2010-10,825.4132824523803
2010-11,807.0996195553356
2010-12,866.1015563037739
2011-01,879.6319647323326
2011-02,904.873818823224
2011-03,904.0156490589574
2011-04,941.0201641562279
2011-05,920.7315100987369
2011-06,906.2473569684482
2011-07,891.462694905992
2011-08,826.4164815120206
2011-09,748.5404189535454
2011-10,828.4764071803853
2011-11,803.6726980065686
2011-12,802.0220113515105
2012-01,848.488930510258
2012-02,891.0993176903324
2012-03,897.0725702891593
2012-04,886.8230162146607
2012-05,807.4255575409192
2012-06,847.1406222599958
2012-07,858.725580882668
2012-08,877.3953114319484
2012-09,905.0633818188861
2012-10,899.0260729735892
2012-11,910.5365968776896
2012-12,931.1549900060094
2013-01,974.1477509111614
2013-02,973.9929258537106
2013-03,991.7605285071751
2013-04,1020.12034911032
2013-05,1017.5219516404827
2013-06,987.6747585769862
2013-07,1034.9724252368637
2013-08,1013.3995392958789
2013-09,1065.677502070622
2013-10,1108.4426240567657
2013-11,1124.1583654572614
2013-12,1143.5749675895206
2014-01,1098.048032331631
2014-02,1151.0311747420153
2014-03,1156.2635053472347
2014-04,1167.4940244134525
2014-05,1192.5231668503588
2014-06,1214.9057097650773
2014-07,1200.2746145114031
2014-08,1226.6781094071157
2014-09,1187.0374598296382
2014-10,1195.213236026821
2014-11,1214.992470484505
2014-12,1191.4743114402422
2015-01,1172.7722005110713
2015-02,1237.9830897362183
