Date,AC ASIA WITH PARTIAL A SHARES
2008-11,1031.7193851060608
2008-12,1122.2091528070423
2009-01,1052.0571609643482
2009-02,945.8925599080634
2009-03,1010.5368063666266
2009-04,1138.5213053441505
2009-05,1284.7555420854678
2009-06,1294.693799819315
2009-07,1402.5197444379912
2009-08,1407.9017276910695
2009-09,1452.6224959187816
2009-10,1430.8495060528555
2009-11,1442.7756370309337
2009-12,1479.740838388498
2010-01,1447.4181387318047
2010-02,1459.642310834299
2010-03,1548.4518117491905
2010-04,1562.8233113083954
2010-05,1433.9917972802937
2010-06,1431.758060011289
2010-07,1499.4828717843002
2010-08,1474.0118272195377
2010-09,1592.5598058830988
2010-10,1630.7275805770073
2010-11,1633.6478382420933
2010-12,1739.3095244141193
2011-01,1731.1756501542677
2011-02,1733.1780545403547
2011-03,1710.3976267536877
2011-04,1748.82404121221
2011-05,1723.3117485423231
2011-06,1712.0708193663988
2011-07,1749.8593215573676
2011-08,1591.086200947593
2011-09,1465.5056784719925
2011-10,1553.8159556288656
2011-11,1452.5130477595092
2011-12,1462.5353479568412
2012-01,1576.9015562890509
2012-02,1664.612692253829
2012-03,1645.665347711295
2012-04,1622.2331554612317
2012-05,1472.0695000095664
2012-06,1530.1557519849425
2012-07,1534.7806183303808
2012-08,1525.0872012993823
2012-09,1600.506478367844
2012-10,1585.2027335559917
2012-11,1625.9632983314057
2012-12,1693.1293020054704
2013-01,1736.381693700361
2013-02,1755.1366851540545
2013-03,1772.8308541853912
2013-04,1860.3286669301076
2013-05,1799.1574973590139
2013-06,1756.808792255152
2013-07,1778.4648765896623
2013-08,1747.0101201882007
2013-09,1865.9359743988437
2013-10,1907.768858672238
2013-11,1923.567195492802
2013-12,1919.8423158462906
2014-01,1834.5917267588875
2014-02,1861.8718407405315
2014-03,1859.5719115504096
2014-04,1843.80658158802
2014-05,1918.0855065275641
2014-06,1988.4607189026613
2014-07,2034.7955765561735
2014-08,2022.010366981925
2014-09,1951.4103162295326
2014-10,1960.1759246686588
2014-11,1967.3415356161015
2014-12,1934.6225542300888
2015-01,1980.529478334999
2015-02,2055.5625525355235
2015-03,2077.968231432531
2015-04,2198.1811201522937
2015-05,2181.5334036308695
2015-06,2118.3940475502395
2015-07,2048.5466103831677
2015-08,1885.6549559777802
2015-09,1805.4446084085894
2015-10,1968.4135531112402
2015-11,1925.0984780312594
2015-12,1922.517886662865
2016-01,1764.7284327404777
2016-02,1733.462131788952
2016-03,1876.0473336626324
2016-04,1906.6439219181073
2016-05,1884.659865764981
2016-06,1889.2204731271527
2016-07,1994.3426541609606
2016-08,2035.28608098687
2016-09,2067.6100780765473
2016-10,2062.893832971113
2017-04,2215.213194
2017-05,2297.582276
2017-06,2329.33262
2017-07,2420.157027
2017-08,2438.883209
2017-09,2458.166423
2017-10,2572.339227
2017-11,2613.473236
2017-12,2661.741406
2018-01,2830.192033
2018-02,2730.008666
2018-03,2682.220942634295
2018-04,2700.0653378001844
2018-05,2669.7165723784196
2018-06,2566.581877464714
2018-07,2583.0345637810165
2018-08,2569.815025364831
2018-09,2582.8786075346898
2018-10,2329.694695804018
2018-11,2402.5443517927906
2018-12,2296.2952140130033
2019-01,2452.190457327716
2019-02,2481.786081382424
2019-03,2512.8438222662817
2019-04,2555.2002330511455
2019-05,2385.271521719438
2019-06,2513.643609124541
2019-07,2488.73779391114
2019-08,2415.1564659838587
2019-09,2480.3017495847553
2019-10,2596.669083843142
2019-11,2607.0671952593984
2019-12,2728.77648145459
2020-01,2641.1927001872364
2020-02,2493.4580293824283
2020-03,2240.032867073522
2020-04,2408.4799881459926
2020-05,2450.811071905352
2020-06,2568.414210946042
2020-07,2678.6822444309923
2020-08,2814.020077811513
2020-09,2800.8855032805986
2020-10,2830.6914188993114
2020-11,3107.5453699504646
2020-12,3286.2352493675535
