Date,BRIC
2000-12,100.0
2001-01,112.78281398407007
2001-02,103.72888486694875
2001-03,89.72203840906064
2001-04,93.93231854753427
2001-05,95.26787649779858
2001-06,94.11894007826454
2001-07,86.38692616339557
2001-08,79.05606643869199
2001-09,68.95700937925969
2001-10,73.1018180531582
2001-11,80.65513530834909
2001-12,85.86076565487431
2002-01,83.22335461040389
2002-02,87.98129292270266
2002-03,91.0752319149242
2002-04,92.02900788371703
2002-05,88.78672507245018
2002-06,80.66450810730105
2002-07,69.42614585413394
2002-08,74.50222520482916
2002-09,64.99332455646534
2002-10,70.83479508984286
2002-11,73.32374081067843
2002-12,74.92925112084055
2003-01,73.77401366139314
2003-02,74.10593594856539
2003-03,73.9017662301264
2003-04,81.31805201091626
2003-05,88.33964937913309
2003-06,93.61622773777634
2003-07,97.2664573399817
2003-08,107.39689921699772
2003-09,111.16597891347162
2003-10,120.30991778349234
2003-11,124.91805674524207
2003-12,143.350745468534
2004-01,141.98343300522143
2004-02,148.25183595241776
2004-03,148.28998516753236
2004-04,130.68254713002867
2004-05,126.7464367239894
2004-06,128.3213851269102
2004-07,131.71543504431048
2004-08,136.4644355964943
2004-09,147.891083517246
2004-10,149.69984440906597
2004-11,161.5118716617574
2004-12,167.5586039574617
2005-01,165.07092137218925
2005-02,182.46222746782908
2005-03,170.67704445743053
2005-04,166.56523175515503
2005-05,175.01184377691013
2005-06,183.58786011752588
2005-07,195.18142413294072
2005-08,207.49180426767623
2005-09,234.93667214951668
2005-10,215.86050862934005
2005-11,234.2126914533395
2005-12,241.599271929264
2006-01,283.62718704077713
2006-02,293.0469938669397
2006-03,296.3452596938264
2006-04,319.13235927122594
2006-05,281.5853855754321
2006-06,291.1354608175555
2006-07,296.36497883872215
2006-08,305.7145538580731
2006-09,304.66508898602484
2006-10,323.0670485097657
2006-11,351.00730486158204
2006-12,377.7742414974646
2007-01,370.19357992050396
2007-02,358.2446202227043
2007-03,375.9957145612884
2007-04,392.0509130066719
2007-05,411.1647945613618
2007-06,440.4764858694936
2007-07,469.56037700716126
2007-08,469.50256224076946
2007-09,548.8639627188124
2007-10,631.8016811441884
2007-11,591.8223579276859
2007-12,600.182671377699
2008-01,507.60078243255157
2008-02,548.9389441706692
2008-03,501.20477374766614
2008-04,561.2302410475912
2008-05,583.0550482241781
2008-06,521.7360367028522
2008-07,490.58942084907693
2008-08,445.7122767318262
2008-09,349.1822884148544
2008-10,247.50288766503226
2008-11,232.3023171497504
2008-12,243.69141854350516
2009-01,234.21593239461265
2009-02,225.06260889279852
2009-03,255.52280882624717
2009-04,297.8340057502151
2009-05,368.1034347890745
2009-06,360.466292248745
2009-07,394.71138879856153
2009-08,385.8496630187363
2009-09,425.8358503086872
2009-10,439.7013276765012
2009-11,462.8701323765083
2009-12,470.61225344767263
2010-01,435.37406951570523
2010-02,443.09104793861854
2010-03,475.2955657535422
2010-04,474.21739257428135
2010-05,434.5559779189341
2010-06,430.95567919392226
2010-07,463.5990621110999
2010-08,450.39293729013366
2010-09,496.8767610307365
2010-10,510.80354587615244
2010-11,492.4883033476676
2010-12,515.6405741554875
