Date,EMERGING MARKETS WITH PARTIAL A SHARES
2008-11,1052.9409415540679
2008-12,1134.636440669548
2009-01,1061.9606232858623
2009-02,1002.5458554763514
2009-03,1146.472903677955
2009-04,1336.4932398999101
2009-05,1563.9746013297188
2009-06,1544.4924118475353
2009-07,1718.709467463118
2009-08,1709.7865927104015
2009-09,1864.902388621683
2009-10,1868.0570381467937
2009-11,1948.6589399135626
2009-12,2025.4403153487056
2010-01,1912.1090249428692
2010-02,1919.5599404509749
2010-03,2074.3010934463236
2010-04,2098.9663594794374
2010-05,1913.8340648804256
2010-06,1899.6728633517082
2010-07,2058.423516092117
2010-08,2018.4717876249722
2010-09,2242.012142809063
2010-10,2308.346291668427
2010-11,2247.7702476469394
2010-12,2407.215496079026
2011-01,2342.051787058823
2011-02,2320.449587976393
2011-03,2456.0358859371563
2011-04,2532.2450834726283
2011-05,2466.3092361342733
2011-06,2428.8430358437977
2011-07,2418.100669225844
2011-08,2202.5478811225908
2011-09,1882.0575839458725
2011-10,2130.441359276134
2011-11,1988.68402952307
2011-12,1964.6497309538981
2012-01,2186.510969039536
2012-02,2317.3272210970977
2012-03,2239.7202199397507
2012-04,2213.6500303475536
2012-05,1966.3229068909598
2012-06,2041.4099418817013
2012-07,2080.570299966742
2012-08,2073.0320724386784
2012-09,2198.0342089126084
2012-10,2184.8565009903173
2012-11,2212.0420542975935
2012-12,2322.2612066991605
2013-01,2355.3520901295146
2013-02,2325.784584576411
2013-03,2284.9210219686524
2013-04,2302.12963529821
2013-05,2245.2615730689286
2013-06,2100.702389269601
2013-07,2122.8155406110036
2013-08,2087.986951706355
2013-09,2223.058122173686
2013-10,2330.229381613891
2013-11,2297.8570393732803
2013-12,2264.821081719142
2014-01,2118.6612788838784
2014-02,2187.5513834699386
2014-03,2252.8591506684666
2014-04,2259.604798241093
2014-05,2338.0994623300026
2014-06,2400.543720988776
2014-07,2448.9990493722457
2014-08,2503.976300853691
2014-09,2320.5096362393574
2014-10,2348.3360024148337
2014-11,2325.7627600315145
2014-12,2224.1883256585634
2015-01,2236.5397367967907
2015-02,2305.4740029291984
2015-03,2279.063156443831
2015-04,2463.3383209727012
2015-05,2368.736866230937
2015-06,2302.960468181313
2015-07,2139.466201915816
2015-08,1943.3109209512124
2015-09,1885.1898576918313
2015-10,2021.3628329280557
2015-11,1943.595820611518
2015-12,1900.8743147929092
2016-01,1767.1502330473068
2016-02,1764.1158149538371
2016-03,1996.744454229915
2016-04,2007.038543153676
2016-05,1935.6690859274547
2016-06,2011.457524868684
2016-07,2111.712993849829
2016-08,2166.472089955803
2016-09,2193.5601091286226
2016-10,2198.3229714148356
2017-04,2393.349767
2017-05,2463.273955
2017-06,2489.201732
2017-07,2637.147714
2017-08,2696.879567
2017-09,2687.404641
2017-10,2781.24904
2017-11,2785.147047
2017-12,2885.232422
2018-01,3127.024297
2018-02,2981.442567
2018-03,2927.0085704968274
2018-04,2913.7000290153305
2018-05,2814.383123711538
2018-06,2696.3941605205387
2018-07,2754.9550919658095
2018-08,2679.9358239603134
2018-09,2665.6960881806435
2018-10,2433.44932636097
2018-11,2533.7226359362485
2018-12,2466.55598246504
2019-01,2682.399349951017
2019-02,2689.101475889108
2019-03,2712.0014478197895
2019-04,2768.8473675818227
2019-05,2568.4885839111575
2019-06,2728.489896078611
2019-07,2694.6663359234126
2019-08,2563.752273729037
2019-09,2613.2785187571444
2019-10,2723.780992418836
2019-11,2720.830752912891
2019-12,2923.1118826586603
2020-01,2784.694382979105
2020-02,2633.347178330303
2020-03,2220.4353996918994
2020-04,2425.6881309572555
2020-05,2446.7794078895527
2020-06,2623.896988565219
2020-07,2852.5997827496485
2020-08,2912.7279982455652
2020-09,2868.9499799232212
2020-10,2926.829086522463
2020-11,3201.011807048423
2020-12,3435.5877775529084
