Date,WORLD ex CANADA
1969-12,100.0
1970-01,94.047893
1970-02,96.917138
1970-03,97.180852
1970-04,88.215264
1970-05,82.812477
1970-06,80.454206
1970-07,85.398415
1970-08,88.157654
1970-09,90.848314
1970-10,89.503907
1970-11,91.385862
1970-12,96.034799
1971-01,100.518487
1971-02,101.650172
1971-03,106.106052
1971-04,109.790143
1971-05,107.211627
1971-06,108.398511
1971-07,106.559773
1971-08,108.800865
1971-09,107.762967
1971-10,103.723922
1971-11,104.655545
1971-12,113.964655
1972-01,118.085542
1972-02,122.641332
1972-03,124.410145
1972-04,126.108191
1972-05,128.48864
1972-06,125.262832
1972-07,127.305459
1972-08,130.696011
1972-09,128.651197
1972-10,129.888911
1972-11,136.739286
1972-12,139.106101
1973-01,139.448435
1973-02,140.58252
1973-03,140.773195
1973-04,133.63615
1973-05,133.447869
1973-06,134.205944
1973-07,137.23157
1973-08,131.30168
1973-09,135.07551
1973-10,136.095611
1973-11,118.264471
1973-12,117.289248
1974-01,118.039164
1974-02,119.729554
1974-03,116.683646
1974-04,115.106504
1974-05,110.71314
1974-06,107.251016
1974-07,100.492622
1974-08,90.803527
1974-09,82.376741
1974-10,90.198091
1974-11,89.162671
1974-12,87.575602
1975-01,100.300324
1975-02,109.484258
1975-03,110.480604
1975-04,115.195859
1975-05,117.933784
1975-06,119.352097
1975-07,112.494503
1975-08,110.71485
1975-09,106.110001
1975-10,113.998811
1975-11,116.855126
1975-12,117.142132
1976-01,127.510405
1976-02,126.220419
1976-03,127.85262
1976-04,126.774261
1976-05,124.521585
1976-06,128.576161
1976-07,127.398525
1976-08,127.146269
1976-09,128.329191
1976-10,123.845064
1976-11,124.01825
1976-12,133.042161
1977-01,128.554082
1977-02,128.007899
1977-03,127.13431
1977-04,128.699172
1977-05,126.972667
1977-06,131.730124
1977-07,129.912806
1977-08,130.628312
1977-09,132.292335
1977-10,130.291112
1977-11,131.708923
1977-12,134.127542
1978-01,130.406979
1978-02,129.378551
1978-03,135.231977
1978-04,141.433817
1978-05,142.981069
1978-06,144.482598
1978-07,154.981636
1978-08,158.550779
1978-09,160.234061
1978-10,157.266211
1978-11,151.168879
1978-12,156.118364
1979-01,160.120593
1979-02,156.832712
1979-03,162.947554
1979-04,162.500037
1979-05,159.361583
1979-06,163.657012
1979-07,165.301886
1979-08,171.45803
1979-09,174.941937
1979-10,162.164521
1979-11,166.670365
1979-12,170.775944
1980-01,180.304013
1980-02,179.066129
1980-03,161.018481
1980-04,171.837097
1980-05,179.935588
1980-06,188.28337
1980-07,193.926214
1980-08,197.714865
1980-09,204.023969
1980-10,210.578822
1980-11,219.369839
1980-12,214.951526
1981-01,208.454713
1981-02,209.291701
1981-03,216.289657
1981-04,216.595235
1981-05,211.744073
1981-06,211.330126
1981-07,208.238816
1981-08,203.890185
1981-09,189.226414
1981-10,195.459528
1981-11,209.475792
1981-12,205.251763
1982-01,202.850008
1982-02,190.661393
1982-03,185.654234
1982-04,195.114593
1982-05,190.127727
1982-06,182.106699
1982-07,179.276847
1982-08,191.586355
1982-09,192.565347
1982-10,205.434213
1982-11,216.59491
1982-12,225.888035
1983-01,230.57872
1983-02,235.226845
1983-03,243.562444
1983-04,260.565336
1983-05,257.576249
