Date,GOLDEN DRAGON WITH PARTIAL A SHARES
2008-11,1068.1418465496618
2008-12,1144.4867982115802
2009-01,1069.081661129864
2009-02,1052.5214795607649
2009-03,1180.9634762489143
2009-04,1347.412839749531
2009-05,1571.8615892218181
2009-06,1562.3896041575485
2009-07,1747.33049586485
2009-08,1640.9232615144283
2009-09,1769.4658868788952
2009-10,1812.2743179197641
2009-11,1851.7213387305226
2009-12,1910.3488824834737
2010-01,1765.3945083768922
2010-02,1779.6772057476044
2010-03,1883.241697033859
2010-04,1883.9607140964235
2010-05,1751.1096198126413
2010-06,1762.1060670340053
2010-07,1869.8986777904342
2010-08,1839.969608728751
2010-09,2032.7319497174158
2010-10,2100.7310200025413
2010-11,2094.4030836961874
2010-12,2163.90998019509
2011-01,2187.216859754146
2011-02,2093.812414534558
2011-03,2162.0986577496287
2011-04,2233.5531078405265
2011-05,2236.771278908844
2011-06,2150.1683067895074
2011-07,2154.607073779537
2011-08,1970.9087799871622
2011-09,1679.8018072570383
2011-10,1878.7326780196581
2011-11,1720.331431802535
2011-12,1762.5159368564182
2012-01,1936.3429841106847
2012-02,2075.945637625754
2012-03,1971.8327240032381
2012-04,1984.9761759875437
2012-05,1812.446298861511
2012-06,1844.2861835016354
2012-07,1874.193266268058
2012-08,1862.2849549340324
2012-09,1993.1216622405223
2012-10,2016.5522367706608
2012-11,2088.2299358309374
2012-12,2151.912031271284
2013-01,2227.172188607201
2013-02,2184.037682605905
2013-03,2121.226949159349
2013-04,2169.3930980436203
2013-05,2155.1311956983736
2013-06,2037.3969056055976
2013-07,2100.109025131978
2013-08,2116.526419900084
2013-09,2215.3304413506517
2013-10,2279.958731910117
2013-11,2329.9824323449106
2013-12,2301.1364086585336
2014-01,2176.6305115338573
2014-02,2235.989178822019
2014-03,2221.5072765986374
2014-04,2217.6787284968277
2014-05,2315.577196048265
2014-06,2387.5656858688258
2014-07,2515.0967709321776
2014-08,2538.3223585356054
2014-09,2370.9809613157586
2014-10,2473.4391061053802
2014-11,2509.548686229904
2014-12,2493.3952988089013
2015-01,2554.941210886057
2015-02,2618.446875943953
2015-03,2661.84463288679
2015-04,2987.68771182272
2015-05,2931.9690524677435
2015-06,2796.233870924307
2015-07,2568.661818633168
2015-08,2282.101757264328
2015-09,2232.381134597209
2015-10,2414.749734552341
2015-11,2336.7213501125348
2015-12,2317.943418705644
2016-01,2070.347561392792
2016-02,2064.3618470956353
2016-03,2284.1284806893555
2016-04,2257.302390609047
2016-05,2254.680734677964
2016-06,2295.3632103548302
2016-07,2407.8883672977204
2016-08,2521.4468448478838
2016-09,2589.6961027095767
2016-10,2565.457369263462
2016-11,2528.635954429919
2016-12,2429.140731230714
2017-01,2586.437486012994
2017-02,2678.361324392431
2017-03,2737.955388472445
2017-04,2806.163247
2017-05,2919.64413
2017-06,2990.406197
2017-07,3178.256818
2017-08,3277.337573
2017-09,3271.64143
2017-10,3395.037987
2017-11,3416.373338
2017-12,3484.139854
2018-01,3829.056166
2018-02,3632.168094
2018-03,3556.778805061063
2018-04,3540.3457637037927
2018-05,3583.1005096812078
2018-06,3422.377342352845
2018-07,3417.7414629947502
2018-08,3333.2054682615867
2018-09,3306.472707863179
2018-10,2926.942859026174
2018-11,3087.0742892394824
2018-12,2966.267329510262
2019-01,3214.2064513912715
2019-02,3349.9379917343936
2019-03,3423.884633990607
2019-04,3504.673671300708
2019-05,3128.5971078845264
2019-06,3354.727922201249
2019-07,3343.7411690025156
2019-08,3192.9123028102294
2019-09,3217.411297047164
2019-10,3381.60718499585
2019-11,3423.7764002299677
2019-12,3677.0335627549252
2020-01,3497.955824200799
2020-02,3497.779921506545
2020-03,3183.4310784254026
2020-04,3440.5038398102706
2020-05,3370.28505252126
2020-06,3680.299651629527
2020-07,4018.1997732052873
2020-08,4191.572905850249
2020-09,4110.466037552075
2020-10,4264.875370338749
2020-11,4482.089195395178
2020-12,4680.0241316861175
2021-01,4995.872586566488
2021-02,5045.395853591195
2021-03,4839.324637808102
2021-04,4984.7517339317055
2021-05,4984.253923643979
2021-06,4989.414734260137
2021-07,4489.024097669065
2021-08,4537.081483513342
2021-09,4295.398802590373
2021-10,4393.869905053254
2021-11,4218.620588460131
2021-12,4197.528797495611
2022-01,4125.84151610467
2022-02,3969.2012750193767
2022-03,3766.7662698108825
2022-04,3553.381487526749
2022-05,3626.251483690627
2022-06,3591.3381272080314
2022-07,3391.5408205748718
2022-08,3376.894250648005
2022-09,2876.479371949426
2022-10,2491.217410428473
2022-11,3189.1047156505115
2022-12,3271.8906570378704
2023-01,3635.338234190535
2023-02,3353.299471607594
2023-03,3486.9163413002916
2023-04,3333.7036586826825
2023-05,3210.222637398525
2023-06,3322.784246839999
2023-07,3548.4798900854466
