Date,EUROPE VOTING RIGHTS-ADJUSTED
2007-11,1015.4777983785897
2007-12,998.7159692731708
2008-01,892.8376206378526
2008-02,906.1713574964617
2008-03,909.0612237251091
2008-04,952.6109601504387
2008-05,956.719086281319
2008-06,872.0376155617561
2008-07,845.6416563700619
2008-08,814.2066156932085
2008-09,689.5182514379327
2008-10,537.3985816527833
2008-11,503.58997049226485
2008-12,529.7353044500907
2009-01,470.3221193988001
2009-02,423.50679418683063
2009-03,451.56012400971895
2009-04,516.2057372182067
2009-05,579.9767993259013
2009-06,567.8414548395023
2009-07,627.1195156453001
2009-08,668.5677986719029
2009-09,700.2151256732861
2009-10,691.8738996419582
2009-11,712.5415082499961
2009-12,723.4692222367123
2010-01,679.3514111156298
2010-02,665.3295876461623
2010-03,708.7490368922206
2010-04,688.6057676650383
2010-05,604.7371578358359
2010-06,599.6801902682065
2010-07,671.265221455397
2010-08,645.7153175602131
2010-09,716.6548734551359
2010-10,747.5254539747795
2010-11,689.1417884448203
2010-12,747.2652221956305
2011-01,777.37838894081
2011-02,803.4393981741471
2011-03,796.3518592307436
2011-04,859.2848917376311
2011-05,829.5545353772784
2011-06,813.5150862105838
2011-07,785.0663491986651
2011-08,705.9294354310647
2011-09,628.7468388157149
2011-10,705.0478241491107
2011-11,672.5688195688705
2011-12,661.7690397970259
2012-01,692.8837696458653
2012-02,736.2660134029101
2012-03,731.6911313685432
2012-04,713.2859243849995
2012-05,626.1985124442848
2012-06,676.0487826065663
2012-07,682.6530946777809
2012-08,713.4852157299594
2012-09,734.6976734316207
2012-10,744.8483662933
2012-11,763.7305559935623
2012-12,785.1388159241365
2013-01,829.812143807225
2013-02,805.9437456636184
2013-03,804.4082581278631
2013-04,839.1142182833805
2013-05,840.6455902826323
2013-06,799.4572366133744
2013-07,858.9814337067413
2013-08,847.5844242870212
2013-09,908.4729453488151
2013-10,948.5776939713887
2013-11,959.1211839255292
2013-12,980.6683779271688
2014-01,942.2158011527113
2014-02,1009.370635159812
2014-03,999.4143899174472
2014-04,1025.606828046349
2014-05,1035.2911256296925
2014-06,1033.5149311149407
2014-07,994.7835788429221
2014-08,999.3599395950886
2014-09,960.887821557796
2014-10,934.7450242990433
2014-11,959.1285425526745
2014-12,919.1306850306509
2015-01,918.6759860421116
2015-02,976.80592294047
2015-03,948.4983659959219
2015-04,990.3765300558297
2015-05,982.7186538143199
2015-06,952.9582024111161
2015-07,983.039185991572
2015-08,912.9215973128468
2015-09,871.3119390830936
2015-10,934.7189748243086
2015-11,916.5959914784875
2015-12,891.0073616149298
2016-01,832.9388926065228
2016-02,817.5596604694271
2016-03,870.0806438114118
2016-04,891.2134648772469
2016-05,885.7014680529303
2016-06,845.8199903116591
2016-07,881.7559596450928
2016-08,886.9811714504896
2016-09,895.4185607695025
2016-10,867.7319495516728
2016-11,849.4971326823785
2016-12,894.397582537934
2017-01,911.9352100251823
2017-02,923.2050407110506
2017-03,960.3185791802457
2017-04,993.4291817884581
2017-05,1041.7938803559384
2017-06,1031.2260351059545
2017-07,1063.1550101430635
2017-08,1063.1199566602718
2017-09,1098.6563474491045
2017-10,1104.3668262170925
2017-11,1105.1943650622666
2017-12,1122.3445896104054
2018-01,1184.2373928574093
2018-02,1114.9948848810293
2018-03,1101.5437689658968
2018-04,1133.625111142213
2018-05,1095.9216241269387
2018-06,1088.8461619817328
2018-07,1123.578445323354
2018-08,1090.9065255737764
2018-09,1095.5347278046538
2018-10,1010.8978517944578
2018-11,1000.0
2018-12,953.6677256309221
2019-01,1016.8817714295341
2019-02,1050.5554816043943
2019-03,1056.6315151588867
2019-04,1096.3665470822225
2019-05,1035.484078711286
2019-06,1104.10934841684
2019-07,1083.0548231325224
2019-08,1054.5133053664076
2019-09,1083.207345625376
2019-10,1116.6878544886195
2019-11,1133.0715652713407
2019-12,1177.4780783170274
2020-01,1145.9584320756867
2020-02,1037.914691011297
2020-03,881.7959102858542
2020-04,933.0785365934165
2020-05,976.3158530464801
2020-06,1018.1004600994936
2020-07,1057.3462059242593
2020-08,1101.2765029015948
2020-09,1062.3953384819024
2020-10,1002.6754800841738
2020-11,1178.4066936038853
2020-12,1233.7360519721171
2021-01,1214.8504794513153
2021-02,1246.0256055560799
2021-03,1283.6501430848775
2021-04,1343.19317925389
2021-05,1398.1051383397976
2021-06,1376.0088662582477
2021-07,1399.597611785043
2021-08,1420.6470987885273
2021-09,1354.824005351293
2021-10,1414.3154797076331
2021-11,1338.923120366394
2021-12,1427.1598008281007
2022-01,1365.7779419384826
2022-02,1327.3641941204553
2022-03,1323.6999106055152
2022-04,1247.3985184629796
2022-05,1260.6814473369357
2022-06,1131.6612887781896
2022-07,1187.7126442663398
2022-08,1113.4099261216265
2022-09,1014.7932209327008
2022-10,1090.0016755282024
2022-11,1215.8291565569868
2022-12,1214.91587787026
2023-01,1323.5424229795567
2023-02,1316.1127946419979
2023-03,1345.0136561403554
2023-04,1400.2596828830972
2023-05,1316.7504900922333
2023-06,1382.5309144039325
2023-07,1426.794290375208
