Date,FRONTIER MARKETS 100
2007-11,1823.565606
2007-12,1934.454601
2008-01,1922.193968
2008-02,2006.70813
2008-03,1887.611069
2008-04,1980.07898
2008-05,1987.816028
2008-06,1961.212579
2008-07,1910.378146
2008-08,1754.856383
2008-09,1521.255848
2008-10,1141.671577
2008-11,994.4355014
2008-12,884.2403531
2009-01,707.8758212
2009-02,665.4151321
2009-03,722.3524598
2009-04,804.2412806
2009-05,953.7853214
2009-06,975.7962367
2009-07,993.6811855
2009-08,1053.255116
2009-09,1079.862997
2009-10,1038.522449
2009-11,973.3674988
2009-12,962.0755195
2010-01,935.2543435
2010-02,997.4656024
2010-03,1081.848733
2010-04,1077.212899
2010-05,974.9311995
2010-06,964.7114541
2010-07,1026.383626
2010-08,1035.613701
2010-09,1115.361624
2010-10,1163.314458
2010-11,1152.363386
2010-12,1212.480164
2011-01,1210.313941
2011-02,1127.742437
2011-03,1140.300715
2011-04,1199.798552
2011-05,1148.171416
2011-06,1140.336389
2011-07,1109.177147
2011-08,1053.608334
2011-09,1004.323411
2011-10,1030.358921
2011-11,1000.0
2011-12,982.1463785381769
2012-01,991.6421183876424
2012-02,1018.5133170851481
2012-03,1039.9353449994255
2012-04,1022.2918870980702
2012-05,969.3821145533716
2012-06,963.1181789323202
2012-07,972.5338101137824
2012-08,991.189626322995
2012-09,1031.6732654559753
2012-10,1022.7945958910549
2012-11,1042.4603674270134
2012-12,1062.690088115394
2013-01,1138.399758210881
2013-02,1136.984606580726
2013-03,1146.7870420223492
2013-04,1187.5454019995905
2013-05,1245.7080566089141
2013-06,1176.7440704983355
2013-07,1233.7759477420277
2013-08,1210.4861921750858
2013-09,1251.8782048380094
2013-10,1284.2883733637796
2013-11,1308.840422183931
2013-12,1338.0791522256386
2014-01,1342.9802223914387
2014-02,1390.836571729206
2014-03,1441.1395005534341
2014-04,1522.9820019360088
2014-05,1619.4371834755095
2014-06,1509.2585838377447
2014-07,1584.6365557916176
2014-08,1568.2367827611727
2014-09,1595.2640139435302
2014-10,1527.1065143746182
2014-11,1466.809935854746
2014-12,1404.8208558330423
2015-01,1354.175818849395
2015-02,1403.8223351818597
2015-03,1383.7128715606832
2015-04,1429.314067844156
2015-05,1370.4868988868182
2015-06,1362.8760424947138
2015-07,1325.4653907041804
2015-08,1245.610471764134
2015-09,1216.4840197338328
2015-10,1272.009707789477
2015-11,1218.6710526677873
2015-12,1211.0106686462268
2016-01,1124.51509080788
2016-02,1166.7378837468552
2016-03,1199.9520006992786
2016-04,1239.5087106402573
2016-05,1263.7437585499606
2016-06,1232.0883724813773
2016-07,1246.8360854230464
2016-08,1227.308034089801
2016-09,1268.6147640056981
2016-10,1264.907718617234
2016-11,1256.845071084083
2016-12,1293.81833942532
2017-01,1394.010336130869
2017-02,1392.727602336384
2017-03,1437.1834490723675
2017-04,1451.659656
2017-05,1519.613365
2017-06,1517.131327
2017-07,1544.787194
2017-08,1596.227494
2017-09,1633.094188
2017-10,1652.661859
2017-11,1685.014306
2017-12,1744.589091
2018-01,1839.704088
2018-02,1807.628499
2018-03,1819.3944555194944
2018-04,1764.3231505417968
2018-05,1599.66930041356
2018-06,1546.5118595102028
2018-07,1600.678550771667
2018-08,1524.4172646526856
2018-09,1524.6063244670572
2018-10,1466.9199426867278
2018-11,1498.6996305363189
2018-12,1448.3944657136917
2019-01,1528.2845643345065
2019-02,1541.3900174422042
2019-03,1562.1424756020208
2019-04,1566.1237061964225
2019-05,1592.806665846981
2019-06,1654.956507637584
2019-07,1692.1162286397712
2019-08,1637.770696656344
2019-09,1612.2625501894086
2019-10,1623.6421912977928
2019-11,1668.6009712770945
2019-12,1721.2027387632
2020-01,1732.6932527767117
2020-02,1617.7058135154914
2020-03,1262.923386489981
2020-04,1342.2365203308618
2020-05,1404.6036762519775
2020-06,1428.446804986955
2020-07,1425.9038007134689
2020-08,1552.4130280730622
2020-09,1559.0714232155613
2020-10,1578.9962270215888
2020-11,1662.156866602511
2020-12,1753.1752455551637
2021-01,1803.0398951729205
2021-02,1790.7866197776466
2021-03,1808.6806891023468
2021-04,1918.0045550182529
2021-05,1990.4914695123953
2021-06,2049.4017640383836
2021-07,2052.4908878562946
2021-08,2120.1344514938314
2021-09,2163.6631321346176
2021-10,2256.107791424809
2021-11,2170.4428649400347
2021-12,2203.172157225593
2022-01,2112.6316443554047
2022-02,2070.1536032568424
2022-03,2067.1064298912343
2022-04,2009.244709936719
2022-05,1873.9234725141298
2022-06,1765.507081683849
2022-07,1796.5096155569156
2022-08,1823.6665899789687
2022-09,1657.563728643751
2022-10,1574.3284827385357
2022-11,1660.629538878686
2022-12,1628.4097885707658
2023-01,1699.133608724635
2023-02,1650.8275442262168
2023-03,1671.4959698862149
2023-04,1683.7421258799513
2023-05,1683.8040044085758
2023-06,1682.420619890081
2023-07,1818.9093045738366
