Date,EUROPE ex UK
1969-12,100.0
1970-01,99.03555
1970-02,97.557321
1970-03,97.966206
1970-04,92.775475
1970-05,87.617019
1970-06,86.634915
1970-07,91.391136
1970-08,92.702047
1970-09,90.701458
1970-10,90.040714
1970-11,87.374674
1970-12,87.028276
1971-01,93.298956
1971-02,94.951143
1971-03,94.67692
1971-04,93.794286
1971-05,95.640806
1971-06,95.716326
1971-07,98.262806
1971-08,96.854972
1971-09,93.133277
1971-10,89.383714
1971-11,91.901583
1971-12,97.286751
1972-01,103.443979
1972-02,108.396385
1972-03,113.738576
1972-04,114.700995
1972-05,120.158221
1972-06,118.03707
1972-07,123.868689
1972-08,124.650988
1972-09,121.958437
1972-10,121.796242
1972-11,121.495713
1972-12,121.09519
1973-01,127.531985
1973-02,140.918744
1973-03,147.259959
1973-04,147.481586
1973-05,148.209164
1973-06,157.673076
1973-07,151.007467
1973-08,145.670667
1973-09,149.165127
1973-10,152.351958
1973-11,129.098841
1973-12,126.539505
1974-01,128.959993
1974-02,130.439211
1974-03,133.381796
1974-04,136.938811
1974-05,127.796331
1974-06,123.623345
1974-07,124.943238
1974-08,114.087969
1974-09,103.802089
1974-10,108.610895
1974-11,114.463951
1974-12,114.788434
1975-01,131.770171
1975-02,142.774705
1975-03,141.404368
1975-04,146.989342
1975-05,141.618619
1975-06,138.466424
1975-07,133.624804
1975-08,130.918566
1975-09,122.412952
1975-10,133.484025
1975-11,139.695345
1975-12,141.181124
1976-01,143.937429
1976-02,142.014493
1976-03,140.446124
1976-04,137.982509
1976-05,135.260548
1976-06,134.798058
1976-07,133.165248
1976-08,131.928248
1976-09,132.837399
1976-10,125.707721
1976-11,129.01946
1976-12,134.335324
1977-01,130.613024
1977-02,130.978397
1977-03,130.501763
1977-04,135.522189
1977-05,132.587089
1977-06,133.0895
1977-07,131.128704
1977-08,132.201427
1977-09,134.930993
1977-10,139.070557
1977-11,139.710613
1977-12,146.276216
1978-01,148.193186
1978-02,152.045905
1978-03,157.925395
1978-04,154.595762
1978-05,157.078298
1978-06,159.710203
1978-07,169.734552
1978-08,176.295785
1978-09,186.020497
1978-10,196.539262
1978-11,175.65164
1978-12,186.150721
1979-01,187.953978
1979-02,185.639638
1979-03,188.460222
1979-04,186.987053
1979-05,179.919973
1979-06,187.807548
1979-07,191.261409
1979-08,197.57201
1979-09,211.198084
1979-10,193.77715
1979-11,201.498726
1979-12,202.362401
1980-01,206.14448
1980-02,203.251765
1980-03,172.853978
1980-04,192.483793
1980-05,199.494967
1980-06,207.210106
1980-07,207.714576
1980-08,207.254631
1980-09,208.816451
1980-10,208.570108
1980-11,206.755072
1980-12,198.984371
1981-01,186.442857
1981-02,187.912293
1981-03,192.22447
1981-04,185.231792
1981-05,170.342295
1981-06,168.520165
1981-07,164.646197
1981-08,167.352428
1981-09,162.257292
1981-10,166.885784
1981-11,179.413185
1981-12,174.383143
1982-01,172.751384
1982-02,170.424851
1982-03,167.465741
1982-04,173.262416
1982-05,168.764429
1982-06,152.789741
1982-07,154.144329
1982-08,153.823545
1982-09,154.139443
1982-10,155.234327
1982-11,163.812765
1982-12,176.877657
1983-01,179.509873
1983-02,190.933702
1983-03,205.451843
1983-04,214.188891
1983-05,205.82998
1983-06,211.122325
1983-07,211.867188
1983-08,205.394619
1983-09,211.9268
1983-10,214.363531
1983-11,218.473145
1983-12,221.090277
1984-01,230.215153
1984-02,235.681014
1984-03,238.926289
1984-04,234.328373
1984-05,222.574563
1984-06,220.789892
1984-07,205.30785
1984-08,220.287334
1984-09,217.379588
1984-10,218.98223
1984-11,214.765159
1984-12,215.320175
1985-01,229.1692
1985-02,221.463318
1985-03,240.059584
1985-04,247.659439
1985-05,260.814611
1985-06,272.950892
1985-07,292.785222
1985-08,307.29303
1985-09,324.101353
1985-10,360.771437
1985-11,389.091971
1985-12,427.938993
1986-01,440.665804
1986-02,492.871
1986-03,531.042
1986-04,590.658
1986-05,536.387546
1986-06,549.054169
1986-07,568.659019
1986-08,646.145293
1986-09,611.420382
1986-10,611.124115
1986-11,648.730099
1986-12,656.985941
