Date,EFM EMEA
2002-05,238.45838410639962
2002-06,217.0578548465748
2002-07,194.22696257320175
2002-08,201.97776617985136
2002-09,198.78837898121853
2002-10,207.97358217018893
2002-11,225.36412696231386
2002-12,227.3266183078313
2003-01,222.67310509751158
2003-02,227.05752332057486
2003-03,219.01042864083402
2003-04,242.45577167261112
2003-05,259.19778679460563
2003-06,268.6174287621023
2003-07,272.7806023519057
2003-08,292.54186853226855
2003-09,301.4780277015082
2003-10,316.5826433086087
2003-11,332.2569085128557
2003-12,345.3018924405405
2004-01,353.28274138258587
2004-02,373.93264274745536
2004-03,389.71884165060555
2004-04,352.2956196878849
2004-05,362.0526020650112
2004-06,368.9388478481444
2004-07,362.70614007325133
2004-08,373.94823100886447
2004-09,397.6925008281974
2004-10,412.62240063410746
2004-11,448.0508059298895
2004-12,471.7140485649907
2005-01,470.1956469982059
2005-02,518.81858355347
2005-03,490.904758118609
2005-04,489.3327491476827
2005-05,486.03167819913415
2005-06,519.614954006602
2005-07,549.2688602522184
2005-08,588.4268248115294
2005-09,647.7858028105593
2005-10,613.4772318749945
2005-11,648.1936133997426
2005-12,678.1069592352499
2006-01,748.7404923908964
2006-02,735.8276205306718
2006-03,739.6590912332721
2006-04,777.9298560029196
2006-05,685.629449655398
2006-06,671.1758464802243
2006-07,690.1918421186506
2006-08,707.9226028842633
2006-09,679.1782479740314
2006-10,719.5068516995416
2006-11,756.5245577614922
2006-12,791.2356368701196
2007-01,783.7279948964557
2007-02,781.666001169965
2007-03,819.515690801689
2007-04,851.6448332390376
2007-05,843.364934758074
2007-06,872.62966427659
2007-07,897.0809946814759
2007-08,872.0908642057708
2007-09,935.5797840777466
2007-10,1025.1509997708956
2007-11,1000.0
2007-12,1021.2477706978437
2008-01,903.0652188179787
2008-02,957.0920347698412
2008-03,918.7425243361974
2008-04,971.2053938310818
2008-05,1035.7670431663416
2008-06,970.3487608927804
2008-07,929.327688645342
2008-08,842.3688466239211
2008-09,702.2198148200027
2008-10,498.3347345692366
2008-11,447.9891775558851
2008-12,454.74375875296107
2009-01,393.975808894113
2009-02,376.4096369065192
2009-03,425.38374156795453
2009-04,489.1376343124006
2009-05,580.1794835652842
2009-06,566.5260666739675
2009-07,613.2157184720185
2009-08,637.9513592655894
2009-09,671.6203896671814
2009-10,676.1885963623307
2009-11,687.212894606453
2009-12,713.2206559908576
2010-01,707.1271336462598
2010-02,694.9762631571764
2010-03,763.4213548575485
2010-04,762.8472953196961
2010-05,688.8648267753225
2010-06,663.4380029344302
2010-07,741.4621000230374
2010-08,722.101475182443
2010-09,800.8790135223549
2010-10,828.1838503247511
2010-11,798.4515957433476
2010-12,879.6146665542973
2011-01,845.2576896287171
2011-02,875.1144487109069
2011-03,914.9085492308279
2011-04,955.3896941244636
2011-05,901.7062563565975
2011-06,891.9003536933595
2011-07,885.3528197188418
2011-08,814.7369692731905
2011-09,688.2250928912047
2011-10,762.8537853714323
2011-11,749.178820899963
2011-12,706.0490176082113
2012-01,780.4210717942153
2012-02,837.9322517850289
2012-03,809.7379315871195
2012-04,800.6886760243368
2012-05,693.8094158623743
2012-06,744.8959618997292
2012-07,762.3617765015363
2012-08,771.893805859877
2012-09,806.8065804008546
2012-10,796.2379030983607
2012-11,795.3929272663645
2012-12,851.442851344619
2013-01,855.9800618337041
2013-02,830.632146033865
2013-03,818.786194590303
2013-04,819.9857270331986
2013-05,802.6933506042174
2013-06,762.0138734708905
2013-07,784.3024291624613
2013-08,768.3468445502518
2013-09,829.2255929121241
2013-10,867.754010416977
2013-11,841.2519414836675
2013-12,837.6409837310479
2014-01,773.4476523198479
