Date,KOKUSAI INDEX (WORLD ex JP)
1969-12,100.0
1970-01,94.290068
1970-02,97.317043
1970-03,97.455547
1970-04,88.473267
1970-05,82.749603
1970-06,80.555847
1970-07,85.777715
1970-08,88.779277
1970-09,91.819909
1970-10,90.358355
1970-11,92.595823
1970-12,97.372686
1971-01,101.807798
1971-02,102.712531
1971-03,107.020746
1971-04,110.414758
1971-05,107.708962
1971-06,108.339516
1971-07,106.490211
1971-08,109.306363
1971-09,108.036519
1971-10,103.94466
1971-11,104.502411
1971-12,113.697923
1972-01,117.591154
1972-02,121.758397
1972-03,123.193925
1972-04,124.55614
1972-05,126.627959
1972-06,123.188307
1972-07,124.537512
1972-08,128.108193
1972-09,125.6032
1972-10,126.418949
1972-11,131.862748
1972-12,133.461387
1973-01,133.530621
1973-02,133.249117
1973-03,133.418398
1973-04,127.737261
1973-05,126.928591
1973-06,127.560657
1973-07,130.030202
1973-08,124.713537
1973-09,129.688946
1973-10,131.231592
1973-11,114.336871
1973-12,114.055917
1974-01,115.083377
1974-02,116.570357
1974-03,113.038156
1974-04,110.733814
1974-05,105.240153
1974-06,101.987551
1974-07,96.500771
1974-08,87.3583
1974-09,78.078039
1974-10,87.724469
1974-11,85.093478
1974-12,83.973326
1975-01,97.347819
1975-02,105.225547
1975-03,105.744253
1975-04,110.687756
1975-05,113.719411
1975-06,115.174934
1975-07,108.751659
1975-08,107.469004
1975-09,103.247703
1975-10,109.874508
1975-11,113.141234
1975-12,113.095581
1976-01,123.594297
1976-02,122.465359
1976-03,124.092686
1976-04,122.983239
1976-05,120.600318
1976-06,124.022754
1976-07,123.008484
1976-08,122.143655
1976-09,123.219414
1976-10,119.196301
1976-11,118.842017
1976-12,126.588739
1977-01,122.275755
1977-02,120.772285
1977-03,120.081282
1977-04,121.258733
1977-05,119.477522
1977-06,123.94283
1977-07,122.253228
1977-08,121.776552
1977-09,123.259008
1977-10,120.412356
1977-11,122.123499
1977-12,124.811992
1978-01,119.644147
1978-02,117.727886
1978-03,121.148517
1978-04,127.904739
1978-05,129.595231
1978-06,128.713672
1978-07,137.094112
1978-08,141.402212
1978-09,142.70605
1978-10,136.907173
1978-11,133.973774
1978-12,137.847887
1979-01,142.303918
1979-02,140.254793
1979-03,148.438288
1979-04,149.092063
1979-05,145.558607
1979-06,150.409373
1979-07,151.836563
1979-08,158.999361
1979-09,162.659408
1979-10,150.637777
1979-11,157.251548
1979-12,160.437537
1980-01,171.328359
1980-02,172.642495
1980-03,151.664785
1980-04,161.104837
1980-05,168.687962
1980-06,177.045743
1980-07,185.270376
1980-08,187.309568
1980-09,191.650399
1980-10,197.386454
1980-11,208.476091
1980-12,200.442811
1981-01,192.615052
1981-02,193.856107
1981-03,199.742614
1981-04,196.691844
1981-05,193.113127
1981-06,191.116282
1981-07,188.738703
1981-08,182.434442
1981-09,169.57248
1981-10,176.024828
1981-11,188.401971
1981-12,182.726896
1982-01,180.101842
1982-02,169.992521
1982-03,167.955582
1982-04,174.771462
1982-05,170.820926
1982-06,163.612831
1982-07,162.304496
1982-08,176.239148
1982-09,178.442233
1982-10,192.74652
1982-11,198.664771
1982-12,204.903523
1983-01,211.9344
1983-02,216.52742
1983-03,223.900777
1983-04,242.002784
1983-05,239.055766
1983-06,246.503651
1983-07,240.879672
1983-08,242.952588
1983-09,245.158743
1983-10,241.896705
1983-11,248.768316
1983-12,248.66621
1984-01,248.589734
1984-02,243.683129
1984-03,247.347572
1984-04,247.650242
1984-05,232.247771
1984-06,234.483866
1984-07,228.284616
1984-08,251.954582
1984-09,250.984286
1984-10,251.266186
1984-11,253.900742
1984-12,257.480062
1985-01,276.250574
1985-02,274.626586
1985-03,282.506752
1985-04,283.964442
1985-05,299.647575
1985-06,302.890614
1985-07,310.257757
1985-08,311.475291
1985-09,305.778205
1985-10,324.124331
1985-11,345.961831
1985-12,360.878953
1986-01,364.815007
1986-02,394.392
1986-03,419.096
1986-04,428.982
1986-05,428.160257
1986-06,436.067925
1986-07,418.955033
1986-08,454.750941
1986-09,423.335155
1986-10,440.202382
1986-11,454.337378
1986-12,452.957516
1987-01,496.999097
1987-02,516.842923
1987-03,536.995117
1987-04,541.442783
1987-05,543.039494
1987-06,565.708819
1987-07,592.911943
1987-08,609.275691
1987-09,604.18153
1987-10,472.191581
1987-11,442.217918
1987-12,470.324135
1988-01,472.752025
1988-02,494.408667
1988-03,493.534637
1988-04,500.351125
1988-05,499.750722
1988-06,512.049984
1988-07,511.966718
1988-08,491.264399
1988-09,511.678078
1988-10,539.513377
1988-11,537.233183
1988-12,543.259871
1989-01,576.946079
1989-02,561.983584
1989-03,570.733157
1989-04,594.21498
1989-05,593.323974
1989-06,600.199104
1989-07,660.047561
1989-08,663.728298
1989-09,667.495
1989-10,641.830002
1989-11,662.302258
1989-12,698.844566
1990-01,672.078162
1990-02,669.018925
1990-03,680.150968
1990-04,661.454094
1990-05,718.611082
1990-06,727.772599
1990-07,742.037525
1990-08,673.543217
1990-09,620.513589
1990-10,638.760227
1990-11,662.002565
1990-12,667.985601
1991-01,694.528934
1991-02,748.01319
1991-03,737.126989
1991-04,736.901754
1991-05,762.51397
1991-06,718.56245
1991-07,757.282437
1991-08,771.396761
1991-09,772.595057
1991-10,775.805155
1991-11,751.041452
1991-12,818.6541922
1992-01,812.4247553
1992-02,819.0759319
1992-03,797.8611606
1992-04,828.0721729999999
1992-05,850.9662731
1992-06,837.1986267
1992-07,842.3009404
1992-08,826.7324345
1992-09,822.8689286
1992-10,805.4306028999999
1992-11,817.467601
1992-12,829.7550021999999
1993-01,833.941205
1993-02,848.3150489999999
1993-03,874.984667
1993-04,875.0074179999999
1993-05,893.2521849999999
