Date,MSCI Pacific ex Japan Health Care Index
1997-01,165.42109385240423
1997-02,170.31190428173383
1997-03,160.55081187460192
1997-04,171.0824046816963
1997-05,192.00207978157792
1997-06,176.59731297450284
1997-07,184.03238887847652
1997-08,157.14283174487304
1997-09,168.82520795725566
1997-10,119.28886746326376
1997-11,116.92340864833099
1997-12,113.76058970745879
1998-01,93.867777158801
1998-02,114.1891755895349
1998-03,114.21535624934508
1998-04,109.78150423363675
1998-05,98.7441846136847
1998-06,96.24834310125978
1998-07,95.21092237799517
1998-08,70.50579841138831
1998-09,74.91531845418494
1998-10,96.12817831767724
1998-11,102.20986269287339
1998-12,100.0
1999-01,110.882374
1999-02,113.752663
1999-03,112.77009
1999-04,116.405792
1999-05,113.128243
1999-06,123.899705
1999-07,122.066227
1999-08,139.742495
1999-09,131.370326
1999-10,134.136631
1999-11,146.705264
1999-12,155.841445
2000-01,150.118326
2000-02,148.683772
2000-03,138.8798656836271
2000-04,135.6817435690504
2000-05,137.14772097412128
2000-06,177.7449074867955
2000-07,176.88909132810033
2000-08,182.16249920023571
2000-09,165.04432697346778
2000-10,159.21508462775242
2000-11,167.82204165942508
2000-12,192.77715239251572
2001-01,171.69508346162587
2001-02,175.93480976899914
2001-03,159.56554114300985
2001-04,173.74370252100235
2001-05,176.62144576961103
2001-06,199.35015956377774
2001-07,198.7657850150998
2001-08,210.36044695879232
2001-09,205.97651863167474
2001-10,226.8055696835972
2001-11,224.75487188651348
2001-12,224.86646112726947
2002-01,210.00563911706888
2002-02,186.69198112404803
2002-03,186.1493827244682
2002-04,166.23336318741318
2002-05,176.3590870482742
2002-06,160.7060165579934
2002-07,149.3292165031541
2002-08,143.89257703088603
2002-09,136.27213293775543
2002-10,134.31404699011546
2002-11,141.7223394410943
2002-12,144.33169885120145
2003-01,140.53503183133148
2003-02,129.39777140059218
2003-03,130.1038217701547
2003-04,137.2776968542251
2003-05,128.73807701474382
2003-06,137.08839687579908
2003-07,141.41824235208136
2003-08,153.66221157640516
2003-09,158.9611311890905
2003-10,174.12091484481715
2003-11,171.27034785706346
2003-12,172.83651795602992
2004-01,174.28546506926
2004-02,189.44747307183493
2004-03,192.2668729262114
2004-04,189.8776858401296
2004-05,189.641370417944
2004-06,189.84120606010663
2004-07,201.4009542587132
2004-08,211.8414888401538
2004-09,234.24828779961925
2004-10,248.53101974011625
2004-11,253.0229030434148
2004-12,272.60641042725507
2005-01,275.45490984014447
2005-02,289.9840955720271
2005-03,290.1092184861653
2005-04,277.1307190254143
2005-05,273.4766401512116
2005-06,305.5509170793727
2005-07,316.0374949630129
2005-08,324.80184702115736
2005-09,347.9039139695339
2005-10,327.852386585564
2005-11,349.18743728657074
2005-12,356.5949925980915
2006-01,368.0304215906379
2006-02,394.68682588671965
2006-03,396.0758696613717
2006-04,427.14211700973436
2006-05,384.68341915626354
2006-06,388.5708705825367
2006-07,385.6453930769805
2006-08,382.98036945733503
2006-09,417.43433811379435
2006-10,440.9441397811991
2006-11,464.83561653701844
2006-12,496.899652425718
2007-01,503.18080844960014
2007-02,529.6492024532055
2007-03,571.5299533403537
2007-04,614.7242166855482
2007-05,625.4590299069912
2007-06,631.0953451548949
2007-07,642.2013284259427
2007-08,654.5400723678786
2007-09,759.6768105149655
2007-10,798.7420784257005
2007-11,745.9427854868646
2007-12,762.8831437618031
2008-01,731.2022696249854
2008-02,756.026440557318
2008-03,746.280489135901
2008-04,825.5990853528639
2008-05,818.2609301468661
2008-06,741.0197864267177
2008-07,700.8384503332672
2008-08,751.2240762826555
2008-09,638.5230170118658
2008-10,524.8442697603431
2008-11,492.55780198351107
2008-12,523.1106998231055
2009-01,512.7094372219984
2009-02,489.5048882795025
2009-03,483.8578171647093
2009-04,537.229238778939
2009-05,531.1498859040091
2009-06,582.3568642466224
