Date,EM VOTING RIGHTS-ADJUSTED
2007-11,958.0329720661346
2007-12,960.7235286931749
2008-01,838.2072942326296
2008-02,899.5069248437841
2008-03,851.3900873198389
2008-04,920.616279387895
2008-05,932.5126928646719
2008-06,838.2769236486324
2008-07,808.3719104768186
2008-08,750.6483127464044
2008-09,619.1730483318714
2008-10,450.76428121154413
2008-11,415.543468861265
2008-12,450.02714770671565
2009-01,420.2262566492097
2009-02,396.2311940666634
2009-03,454.2602017877332
2009-04,528.85834338246
2009-05,618.6725784983959
2009-06,610.1859733304707
2009-07,679.5985399725469
2009-08,675.1295663757489
2009-09,735.8738779354712
2009-10,736.042294863677
2009-11,765.2743517666803
2009-12,796.0902281488652
2010-01,754.5671253131383
2010-02,755.5275882622486
2010-03,816.636322131321
2010-04,827.0480836684312
2010-05,754.430184514626
2010-06,750.6463047382936
2010-07,810.3799354123968
2010-08,795.1749811488341
2010-09,883.9456842922947
2010-10,908.8112823922521
2010-11,885.8628855005487
2010-12,949.361538386881
2011-01,925.0530820017824
2011-02,913.5915036385709
2011-03,968.6240777692245
2011-04,1000.3344573959922
2011-05,974.9709162657665
2011-06,957.726404707635
2011-07,957.0813588048369
2011-08,868.2279762507839
2011-09,742.0149388255172
2011-10,837.7218445739359
2011-11,781.148935855268
2011-12,771.1977130013341
2012-01,859.9759030935803
2012-02,911.5460644087452
2012-03,880.4228792574635
2012-04,870.9111510558361
2012-05,773.7346317314509
2012-06,803.1091008500858
2012-07,817.8307091930492
2012-08,815.2585605254054
2012-09,867.2867405924698
2012-10,862.3481930590754
2012-11,874.5855952355674
2012-12,918.1110565105403
2013-01,928.0188902638937
2013-02,917.7233382635801
2013-03,900.6758659624234
2013-04,907.7809603715359
2013-05,885.5811105172278
2013-06,829.521858777012
2013-07,839.0477880404055
2013-08,825.9272716530326
2013-09,877.832715746738
2013-10,920.3755440938959
2013-11,907.608615849038
2013-12,894.4632181878045
2014-01,837.321010705795
2014-02,865.283183410394
2014-03,890.0465111070167
2014-04,892.3560593203708
2014-05,925.3919242422986
2014-06,949.3235277993307
2014-07,965.8573938629755
2014-08,983.8076565973292
2014-09,914.9204946242869
2014-10,924.973413583401
2014-11,915.1741949015736
2014-12,875.2216009348773
2015-01,881.8508046689002
2015-02,908.8143388327628
2015-03,898.0544760010677
2015-04,966.9537470015607
2015-05,930.582666382037
2015-06,904.3792759522838
2015-07,842.6611266164995
2015-08,766.878985557459
2015-09,745.0984841617053
2015-10,797.215084049634
2015-11,765.6188848623132
2015-12,750.4093323146152
2016-01,701.8534496869597
2016-02,700.2666492759831
2016-03,790.2741385207568
2016-04,794.0398898490024
2016-05,766.2403925703031
2016-06,796.4413845835834
2016-07,837.1899307330272
2016-08,857.0502848839074
2016-09,867.8437898578683
2016-10,866.4839541895392
2016-11,829.3880451912735
2016-12,831.0222986453192
2017-01,875.1952313512544
2017-02,901.7252729130655
2017-03,925.2896537160377
2017-04,943.632314121619
2017-05,972.8603071688949
2017-06,984.448825981003
2017-07,1038.972658496661
2017-08,1061.3771346087601
2017-09,1056.132195302596
2017-10,1095.9873351499755
2017-11,1097.565323841655
2017-12,1137.0233634784993
2018-01,1229.3450824321449
2018-02,1170.3652316083965
2018-03,1151.3730470382948
2018-04,1146.1811007581257
2018-05,1110.1152949811164
2018-06,1061.8862116837347
2018-07,1084.7291937859345
2018-08,1059.753080509773
2018-09,1053.8712853801476
2018-10,959.1797463673845
2018-11,1000.0
2018-12,973.533274394318
2019-01,1054.6228624455005
2019-02,1059.38080460663
2019-03,1069.2623166865458
2019-04,1091.6973556740109
2019-05,1013.5846710031376
2019-06,1076.186645200943
2019-07,1063.7079403750874
2019-08,1011.9742499990915
2019-09,1032.1775952939367
2019-10,1075.058115195347
2019-11,1074.0394878108611
2019-12,1152.7506377363984
2020-01,1098.8217089392294
2020-02,1041.4278893019641
2020-03,883.7710072828628
2020-04,966.7449341491084
2020-05,970.3584240354251
2020-06,1038.6031812255058
2020-07,1132.6024519898888
2020-08,1154.5193663710663
2020-09,1137.8164434868827
2020-10,1157.658338818758
2020-11,1259.0801218046
2020-12,1349.5467952442448
2021-01,1390.1159411895758
2021-02,1402.7913643381667
2021-03,1389.8708223687127
2021-04,1428.561748997722
2021-05,1464.5385681765313
2021-06,1463.400212184348
2021-07,1374.5264738366272
2021-08,1411.437684965939
2021-09,1357.9426955141305
2021-10,1369.1405217381077
2021-11,1313.35042
2021-12,1343.0075313237514
2022-01,1317.4698082949747
2022-02,1280.4157020832333
2022-03,1252.161627476567
2022-04,1181.820477468301
2022-05,1184.3399599999639
2022-06,1100.8738439013555
2022-07,1100.7753720084568
2022-08,1104.3973690553141
2022-09,975.4235669294823
2022-10,949.7308053009873
2022-11,1087.9039953262552
2022-12,1071.7469483433695
2023-01,1155.2933012011495
2023-02,1082.8339525236504
2023-03,1116.0421178142744
2023-04,1106.2252034608541
2023-05,1089.4417726145136
2023-06,1127.112088740469
2023-07,1193.9200277299442
