Date,MSCI EAFE Expanded ADR Index
2016-02,1000.0
2016-03,1051.3022742092392
2016-04,1087.5679236239253
2016-05,1087.221846307839
2016-06,1064.952736867155
2016-07,1114.2672857624243
2016-08,1116.9686608138024
2016-09,1118.7244366663092
2016-10,1079.8439121715112
2016-11,1070.8873629890074
2016-12,1108.3295134950845
2017-01,1135.442503056391
2017-02,1154.7411001501075
2017-03,1192.4822840578856
2017-04,1223.6647611308306
2017-05,1262.998745292662
2017-06,1261.1571230676002
2017-07,1295.2455645916432
2017-08,1291.5784070152474
2017-09,1324.180380679708
2017-10,1345.8628990652785
2017-11,1351.0623545087917
2017-12,1366.8140397641878
2018-01,1442.4354040994838
2018-02,1365.278072588202
2018-03,1354.5192049799807
2018-04,1374.7074595805614
2018-05,1340.5858389614114
2018-06,1322.6306868342544
2018-07,1363.9955317931056
2018-08,1327.3236448634361
2018-09,1338.4417026944193
2018-10,1234.2203512410517
2018-11,1237.6550044196865
2018-12,1173.8799872348845
2019-01,1254.1567791889654
2019-02,1288.2719303164813
2019-03,1298.0053993106462
2019-04,1341.6468205390509
2019-05,1272.350669233594
2019-06,1349.081871246626
2019-07,1323.3979664312876
2019-08,1297.372440528861
2019-09,1334.124683464923
2019-10,1377.6840941687888
2019-11,1394.4176364636448
2019-12,1438.3014640566087
2020-01,1404.141715067671
2020-02,1294.7735926130476
2020-03,1115.8949757918479
2020-04,1181.1623491057057
2020-05,1243.3490619558097
2020-06,1290.4178335637364
2020-07,1311.374977528186
2020-08,1372.3525313721823
2020-09,1340.1396902993752
2020-10,1279.991359275736
2020-11,1468.1907965211128
2020-12,1545.2373889654943
2021-01,1525.3386543769827
2021-02,1565.956840594059
2021-03,1603.9575827976157
2021-04,1649.8728778816114
2021-05,1716.1080803535704
2021-06,1691.5236833422193
2021-07,1701.325548733189
2021-08,1726.8965151017069
2021-09,1670.3356504874644
2021-10,1722.8219876816286
2021-11,1642.3810951048908
2021-12,1725.9459758797848
2022-01,1665.3304251176162
2022-02,1605.7977216985996
2022-03,1605.9568565614616
2022-04,1502.426616204946
2022-05,1535.8565712060677
2022-06,1395.7043440797063
2022-07,1461.4534897404164
2022-08,1378.1994788006712
2022-09,1249.2450983685164
2022-10,1327.427981869668
2022-11,1504.7007980999308
2022-12,1479.280956651712
2023-01,1603.3451051535994
2023-02,1556.954813149157
2023-03,1607.104847358159
2023-04,1652.6370370558125
2023-05,1587.7760387639437
2023-06,1665.98947478758
2023-07,1705.7363243101104
