Date,ACWI ex NORWAY
1998-12,1000.0
1999-01,1019.5953138809678
1999-02,993.5797520383153
1999-03,1038.7154276643532
1999-04,1083.1182972151275
1999-05,1045.2913917509968
1999-06,1097.5771898251396
1999-07,1092.286072105977
1999-08,1090.867261324733
1999-09,1078.755055585516
1999-10,1132.7837071508
1999-11,1167.5588730973798
1999-12,1264.2098354569935
2000-01,1195.242783320262
2000-02,1198.923106517369
2000-03,1278.0614137158889
2000-04,1220.4739582827913
2000-05,1189.1606487621914
2000-06,1228.9818428457106
2000-07,1192.1343216584473
2000-08,1229.3066035527722
2000-09,1161.3065501119463
2000-10,1137.945017477657
2000-11,1067.0577247180436
2000-12,1084.2385938073014
2001-01,1111.5625989325135
2001-02,1017.7628053394337
2001-03,948.950306271187
2001-04,1017.6599601433358
2001-05,1005.7141266885548
2001-06,974.3510385600139
2001-07,959.0604104247603
2001-08,914.6100438976048
2001-09,830.9677808332996
2001-10,848.4904048080435
2001-11,900.4409196129234
2001-12,908.6178649950662
2002-01,883.5537349071694
2002-02,876.7126417925614
2002-03,915.9106250168743
2002-04,886.4704182768244
2002-05,887.117155780251
2002-06,832.5934220172874
2002-07,762.6153578091079
2002-08,764.3406436080406
2002-09,680.2855279580583
2002-10,730.2072751885117
2002-11,769.8459043073401
2002-12,732.8697987395462
2003-01,711.3131014128156
2003-02,698.6821338437135
2003-03,695.6531790379287
2003-04,757.2274669684841
2003-05,800.7088186441421
2003-06,815.7198351713156
2003-07,833.5117783623899
2003-08,853.0094713298989
2003-09,858.2367145197871
2003-10,909.9491765010278
2003-11,923.4984641542137
2003-12,981.7953595587829
2004-01,998.3992263484231
2004-02,1016.3054788127038
2004-03,1010.4822689985489
2004-04,986.7630784064972
2004-05,994.3309400280667
2004-06,1013.965214418258
2004-07,981.510785231759
2004-08,987.4521751144079
2004-09,1007.7408872262289
2004-10,1032.3672748528722
2004-11,1088.4261803222598
2004-12,1130.6207194505444
2005-01,1106.6714799498495
2005-02,1144.7860148409666
2005-03,1119.5951519787084
2005-04,1094.962372152924
2005-05,1115.3613084228725
2005-06,1126.391514619175
2005-07,1167.9552299281777
2005-08,1176.5951011605578
2005-09,1212.0579174294783
2005-10,1179.60907664362
2005-11,1222.7015336509905
2005-12,1252.7328276404144
2006-01,1314.1851646734692
2006-02,1312.2202372136978
2006-03,1339.4520211595814
2006-04,1383.7699394190627
2006-05,1329.27871917547
2006-06,1328.901340434457
2006-07,1337.836293148007
2006-08,1372.7505419126965
2006-09,1389.1818220055118
2006-10,1441.0578862060186
2006-11,1481.4578245350406
2006-12,1514.27673784147
2007-01,1529.1474508561805
2007-02,1521.20877980847
2007-03,1551.5144866363535
2007-04,1620.2874372506008
2007-05,1668.5046578819533
2007-06,1663.1610051267467
2007-07,1637.7020389169625
2007-08,1633.5008498536731
2007-09,1720.586262693367
2007-10,1787.6992473588693
2007-11,1708.7860418067933
2007-12,1689.6649732422145
2008-01,1552.2907343444917
2008-02,1555.8046611001087
2008-03,1532.9250152783688
2008-04,1617.920222607815
2008-05,1642.736349322114
2008-06,1507.7142759584674
2008-07,1469.107875364543
2008-08,1437.6354054402325
2008-09,1259.1009279345865
2008-10,1010.2050454858801
2008-11,944.0918262329119
2008-12,978.2879402649999
2009-01,894.4215299795459
2009-02,806.7877437941665
2009-03,873.2208831047127
2009-04,976.2751164802833
2009-05,1073.2370488700872
2009-06,1067.474471689171
2009-07,1161.3849158419505
2009-08,1202.9476523510418
2009-09,1257.9084559393846
2009-10,1238.2872330572225
2009-11,1289.149139878673
2009-12,1315.7248216476205
2010-01,1259.0061917552919
2010-02,1275.2907011494667
2010-03,1357.326632724868
2010-04,1359.562612504599
2010-05,1230.9679312443038
2010-06,1193.0485118290144
2010-07,1289.7895786750237
2010-08,1244.765203308913
2010-09,1363.6136713294504
2010-10,1412.8869148987228
2010-11,1381.7373864189049
2010-12,1482.4838536066777
2011-01,1505.9195143704526
2011-02,1549.5346269824488
2011-03,1547.9131618363058
2011-04,1611.100177845555
2011-05,1576.6175934406378
2011-06,1551.8849895858598
2011-07,1526.5691060354043
2011-08,1415.040691901239
2011-09,1281.722615437995
2011-10,1418.7539358138108
2011-11,1376.370862870749
2011-12,1373.686016286116
2012-01,1453.6676411546707
2012-02,1526.2960999707127
2012-03,1536.6779499786787
2012-04,1519.177962481532
2012-05,1383.2882536446314
2012-06,1451.458388927207
2012-07,1471.212398472009
2012-08,1502.9726824749362
2012-09,1550.3458696771838
2012-10,1540.0305151518446
2012-11,1559.7621897971085
2012-12,1595.1298384270299
2013-01,1668.5021593544427
2013-02,1668.4750162983748
2013-03,1699.1849181319678
2013-04,1747.6866699729214
2013-05,1742.9387840695329
2013-06,1692.2841651720462
2013-07,1773.117234768172
2013-08,1736.1501208301927
2013-09,1825.9758339669347
2013-10,1899.1930907690742
2013-11,1926.3316315843856
2013-12,1959.577246930746
2014-01,1881.3344195669958
2014-02,1972.0701721971516
2014-03,1980.7701377050164
2014-04,1999.3992737005346
2014-05,2041.756928664326
2014-06,2080.3134046801533
2014-07,2055.2513905092505
2014-08,2100.676519039971
2014-09,2032.6993673293678
2014-10,2047.6553959445891
2014-11,2082.5879749956307
2014-12,2042.6196537207966
2015-01,2010.5672843405182
2015-02,2122.4487863032873
2015-03,2089.7348085314748
2015-04,2149.97832745351
2015-05,2147.347218245368
