Date,EM ASIA WITH PARTIAL A SHARES
2008-11,1070.8720762160228
2008-12,1189.8172055561238
2009-01,1115.0715944819915
2009-02,1044.5375609809928
2009-03,1210.3405763423139
2009-04,1410.7825098679584
2009-05,1622.368773737157
2009-06,1620.1352092814827
2009-07,1826.4716792489771
2009-08,1771.5074259916985
2009-09,1933.9211809744063
2009-10,1917.1902740083192
2009-11,1977.0426052667765
2009-12,2066.7131303074957
2010-01,1942.6482036593534
2010-02,1944.6843284414151
2010-03,2094.5567880383664
2010-04,2142.8289494248475
2010-05,1957.47633673589
2010-06,1983.4120040166201
2010-07,2095.9357399332216
2010-08,2065.2713582119504
2010-09,2296.244113571338
2010-10,2358.689994509735
2010-11,2314.137175439237
2010-12,2458.1509593071005
2011-01,2423.1709713926257
2011-02,2330.8376893512045
2011-03,2495.2668929847846
2011-04,2589.7952382444773
2011-05,2550.3140035223596
2011-06,2495.9330121463645
2011-07,2513.669719941992
2011-08,2252.3060620268084
2011-09,1967.6948443659899
2011-10,2203.589797109319
2011-11,2017.8357038425208
2011-12,2030.9551235727818
2012-01,2245.2502185118574
2012-02,2373.9653611479785
2012-03,2298.501109449809
2012-04,2296.254004538366
2012-05,2079.4093112065952
2012-06,2130.9327611023887
2012-07,2172.653840977752
2012-08,2156.166032925038
2012-09,2312.910308160977
2012-10,2303.519744692325
2012-11,2366.4635902367795
2012-12,2452.931007800552
2013-01,2481.059693544034
2013-02,2479.167343993109
2013-03,2420.1049817323533
2013-04,2455.5773955784334
2013-05,2437.1779206177835
2013-06,2291.278775483059
2013-07,2321.3555229041335
2013-08,2295.9991674221064
2013-09,2415.587996099189
2013-10,2530.4927600096644
2013-11,2536.5950039000604
2013-12,2504.6340582428516
2014-01,2385.5853687741633
2014-02,2461.3266384871044
2014-03,2492.9751075977974
2014-04,2495.901366688085
2014-05,2597.5591583092005
2014-06,2670.299567250731
2014-07,2763.7842543154648
2014-08,2793.5205682644805
2014-09,2634.8305607814104
2014-10,2674.1293742100975
2014-11,2682.036599951397
2014-12,2639.0426681987688
2015-01,2699.0971493127645
2015-02,2763.9941484742594
2015-03,2783.496421342951
2015-04,2993.7423344359754
2015-05,2917.123743047941
2015-06,2794.1280429485278
2015-07,2586.9913513911465
2015-08,2344.3567802447737
2015-09,2308.039640362837
2015-10,2489.8409086203987
2015-11,2409.4730214645338
2015-12,2390.210304443008
2016-01,2199.345702492985
2016-02,2171.8517968593087
2016-03,2421.181716101406
2016-04,2392.1589124136403
2016-05,2365.3808015582563
2016-06,2430.647042042363
2016-07,2546.6403248450515
2016-08,2651.859600444422
2016-09,2685.8867900949826
2016-10,2647.9014810810063
2017-04,2921.014712
2017-05,3050.537115
2017-06,3105.171065
2017-07,3278.075402
2017-08,3325.740844
2017-09,3326.715006
2017-10,3500.45205
2017-11,3501.745076
2017-12,3600.388705
2018-01,3891.454516
2018-02,3681.695247
2018-03,3632.650228735349
2018-04,3634.7698018968654
2018-05,3590.1574470917344
2018-06,3421.431575235023
2018-07,3444.4476412347694
2018-08,3414.7064445610217
2018-09,3356.955700662981
2018-10,2990.286109044212
2018-11,3144.431405863074
2018-12,3044.8723545316657
2019-01,3267.7141936139515
2019-02,3323.4509112325054
2019-03,3384.472622413923
2019-04,3445.315425399186
2019-05,3143.0607904182543
2019-06,3342.1801965903064
2019-07,3288.3447001768063
2019-08,3165.4864738087076
2019-09,3229.489542010255
2019-10,3375.1502226539983
2019-11,3394.603594216134
2019-12,3634.3304301059247
2020-01,3467.819755116358
2020-02,3364.4755008458997
2020-03,2963.2111213779185
2020-04,3238.3270759749335
2020-05,3231.3650286785864
2020-06,3494.3681069018785
2020-07,3823.577071335752
2020-08,3943.256719877751
2020-09,3904.963296877565
2020-10,4033.8296052072224
2020-11,4338.387886223577
2020-12,4642.433736802603
