Date,FM GCC COUNTRIES
2014-05,1000.0
2014-06,955.837297437242
2014-07,977.5035100166717
2014-08,991.8530505733754
2014-09,993.2735123790413
2014-10,951.0622235959812
2014-11,910.7332702686996
2014-12,846.8297385134513
2015-01,853.4588365519418
2015-02,885.013563847831
2015-03,819.5340117123984
2015-04,851.7470804928184
2015-05,811.274050335712
2015-06,820.5258256062226
2015-07,817.0752598962197
2015-08,744.625554339105
2015-09,751.9638028103486
2015-10,747.2453013735328
2015-11,731.1106162966885
2015-12,713.482330202261
2016-01,643.874721289888
2016-02,677.0005708882028
2016-03,697.6952239649319
2016-04,716.5385938305292
2016-05,691.1696358767811
2016-06,673.1751225497239
2016-07,684.8170222058357
2016-08,674.3492626566737
2016-09,684.8769547702262
2016-10,688.2018006810116
2016-11,710.5821578566229
2016-12,740.2333465976776
2017-01,821.7845086703451
2017-02,809.5939377494193
2017-03,806.0982286963045
2017-04,796.159981
2017-05,795.156181
2017-06,778.45139
2017-07,824.226453
2017-08,870.454258
2017-09,878.637879
2017-10,853.656677
2017-11,825.154073
2017-12,827.904757
2018-01,856.098209
2018-02,865.660851
2018-03,876.899953
2018-04,848.9041908683799
2018-05,833.4549420205032
2018-06,867.2614384836028
2018-07,932.6522286875759
2018-08,927.3394494966406
2018-09,945.5257466491946
2018-10,923.295646205705
2018-11,933.6404249131048
2018-12,924.3257065958878
2019-01,953.1515786528108
2019-02,964.590051927373
2019-03,1051.4337788867322
2019-04,1092.3943485363607
2019-05,1128.8506215519762
2019-06,1154.1576841556255
2019-07,1223.6839885071217
2019-08,1193.0769186827254
2019-09,1127.0716315076672
2019-10,1138.406875527832
2019-11,1184.6499965232213
2019-12,1272.128375127325
2020-01,1276.6219926237866
2020-02,1218.8026552499853
2020-03,944.2744969375736
2020-04,994.417188085831
2020-05,1021.8409140155907
2020-06,1054.161164316115
2020-07,1030.414574114235
2020-08,1128.5725831309214
2020-09,1146.789592555899
2020-10,1137.3551459385878
2020-11,1140.332366959039
2020-12,1133.4937276401222
2021-01,1135.1443084413695
2021-02,1138.2731132195752
2021-03,1138.3685204848434
2021-04,1184.4682244817968
2021-05,1221.060097588904
2021-06,1311.3480534549299
2021-07,1338.3190512166707
2021-08,1396.257255955904
2021-09,1462.7826419559879
2021-10,1515.2622190836119
2021-11,1412.3275710444666
2021-12,1472.2791385628234
2022-01,1511.6109205535545
2022-02,1589.1403264539606
2022-03,1756.0523508726806
2022-04,1821.6246119151274
2022-05,1660.2987579832195
2022-06,1622.0640355564253
2022-07,1793.1473423542268
2022-08,1800.048705231946
2022-09,1771.1666104677702
2022-10,1732.0304477662373
2022-11,1736.1450747787592
2022-12,1772.1752060400902
2023-01,1778.939214929144
2023-02,1813.4186557701044
2023-03,1870.0858778785343
2023-04,1857.3378310720516
2023-05,1882.7381285233985
2023-06,1923.5391931557867
2023-07,1950.1734577115703
