Date,EUROPE
1969-12,100.0
1970-01,99.13
1970-02,96.046
1970-03,97.256
1970-04,90.097
1970-05,85.279
1970-06,86.276
1970-07,90.365
1970-08,91.033
1970-09,92.012
1970-10,91.525
1970-11,87.321
1970-12,89.356
1971-01,93.149
1971-02,93.415
1971-03,96.474
1971-04,100.456
1971-05,103.218
1971-06,104.068
1971-07,108.764
1971-08,108.629
1971-09,106.468
1971-10,102.911
1971-11,105.704
1971-12,112.882
1972-01,119.575
1972-02,126.07
1972-03,129.56900000000002
1972-04,132.024
1972-05,134.246
1972-06,127.472
1972-07,134.139
1972-08,134.976
1972-09,127.025
1972-10,126.778
1972-11,130.181
1972-12,129.133
1973-01,129.7
1973-02,138.715
1973-03,142.595
1973-04,143.33
1973-05,145.388
1973-06,150.955
1973-07,142.888
1973-08,136.833
1973-09,139.723
1973-10,143.384
1973-11,121.678
1973-12,117.805
1974-01,117.62
1974-02,121.24
1974-03,116.304
1974-04,121.299
1974-05,111.878
1974-06,106.099
1974-07,104.939
1974-08,94.119
1974-09,84.967
1974-10,88.703
1974-11,88.814
1974-12,89.45
1975-01,110.456
1975-02,124.979
1975-03,121.054
1975-04,129.738
1975-05,127.718
1975-06,119.557
1975-07,115.023
1975-08,117.487
1975-09,111.706
1975-10,120.701
1975-11,123.862
1975-12,126.529
1976-01,132.042
1976-02,129.456
1976-03,126.001
1976-04,124.483
1976-05,118.74
1976-06,118.491
1976-07,116.345
1976-08,113.914
1976-09,110.878
1976-10,102.731
1976-11,107.312
1976-12,116.657
1977-01,117.472
1977-02,118.553
1977-03,119.457
1977-04,123.884
1977-05,123.05
1977-06,124.608
1977-07,122.739
1977-08,128.267
1977-09,133.803
1977-10,137.204
1977-11,134.931
1977-12,142.204
1978-01,142.018
1978-02,141.696
1978-03,146.598
1978-04,144.409
1978-05,147.96
1978-06,149.094
1978-07,160.357
1978-08,165.935
1978-09,172.736
1978-10,180.849
1978-11,165.006
1978-12,173.324
1979-01,174.099
1979-02,177.211
1979-03,188.564
1979-04,191.094
1979-05,181.461
1979-06,186.734
1979-07,189.494
1979-08,195.182
1979-09,205.013
1979-10,186.549
1979-11,194.22
1979-12,194.655
1980-01,204.225
1980-02,206.64
1980-03,177.041
1980-04,194.897
1980-05,199.957
1980-06,214.131
1980-07,217.236
1980-08,218.983
1980-09,222.448
1980-10,230.147
1980-11,227.138
1980-12,217.823
1981-01,209.279
1981-02,207.203
1981-03,211.099
1981-04,208.818
