Date,ACWI WITH CHINA ALL SHARES
2008-11,1035.9882310364947
2008-12,1073.0722904652712
2009-01,982.6307108795692
2009-02,887.5407390262296
2009-03,961.1138639065628
2009-04,1073.919035947644
2009-05,1180.3010310057284
2009-06,1175.7166649992955
2009-07,1280.4780527064356
2009-08,1321.7813247793586
2009-09,1382.6476160268746
2009-10,1362.5391125758204
2009-11,1418.8768241898003
2009-12,1448.2506638301927
2010-01,1384.5162280885845
2010-02,1402.2671921340159
2010-03,1491.8722023852174
2010-04,1493.1545619629806
2010-05,1351.4941133637326
2010-06,1309.5781453645545
2010-07,1416.5534786348835
2010-08,1367.403527268578
2010-09,1497.2716269637908
2010-10,1553.055117678649
2010-11,1517.7074787496108
2010-12,1627.8987071201998
2011-01,1653.062309783949
2011-02,1701.3597385917578
2011-03,1699.7261670991397
2011-04,1768.6943471415564
2011-05,1730.2351073549576
2011-06,1703.6950362309376
2011-07,1675.8551297921188
2011-08,1554.032803048841
2011-09,1407.4705326279181
2011-10,1557.457866128565
2011-11,1510.2520178141199
2011-12,1506.6651751124582
2012-01,1594.1215210945377
2012-02,1674.45666007794
2012-03,1684.3774963685514
2012-04,1666.3210188982418
2012-05,1518.2143176345653
2012-06,1591.6448261120918
2012-07,1612.552533895463
2012-08,1646.4485773678678
2012-09,1698.7099712014528
2012-10,1687.3995490559066
2012-11,1707.8931235869993
2012-12,1749.818969356051
2013-01,1830.699952924968
2013-02,1830.170385538232
2013-03,1861.3946977169599
2013-04,1913.5701062887804
2013-05,1910.0470495630996
2013-06,1851.026829204997
2013-07,1938.606176455274
2013-08,1900.1407531396708
2013-09,1997.989629382343
2013-10,2076.9323133819885
2013-11,2106.8384697308334
2013-12,2141.7398571086596
2014-01,2055.766275045968
2014-02,2153.134135629576
2014-03,2161.8804412620448
2014-04,2182.0870180407355
2014-05,2228.033848268998
2014-06,2270.0670967355945
2014-07,2245.3924358895533
2014-08,2294.4052245224284
2014-09,2222.084320000466
2014-10,2238.423013152545
2014-11,2278.7238187346006
2014-12,2243.9387768732604
2015-01,2208.3175156010084
2015-02,2330.3621094932264
2015-03,2302.368827787269
2015-04,2378.6417595960515
2015-05,2377.0220401881024
2015-06,2316.7059583919245
2015-07,2326.2144239329336
2015-08,2162.338054771523
2015-09,2083.402412284837
2015-10,2248.762947037572
2015-11,2230.2591497503954
2015-12,2191.9111993029737
2016-01,2048.747583755725
2016-02,2034.2230421127676
2016-03,2188.06111246708
2016-04,2218.1097952014143
2016-05,2220.145666171881
2016-06,2206.9705834794436
2016-07,2301.226325814828
2016-08,2310.798997297244
2016-09,2323.3875294966397
2016-10,2285.341428618946
2016-11,2304.1285785567798
2016-12,2348.8080409279755
2017-01,2413.386125680401
2017-02,2480.9888042273747
2017-03,2510.435057283738
2017-04,2548.3459392339564
2017-05,2604.1176673563027
2017-06,2619.2434675711206
2017-07,2693.1384940883067
2017-08,2705.944268261589
2017-09,2757.0040779402993
2017-10,2815.3606645916166
2017-11,2866.731887637138
2017-12,2913.327932268967
2018-01,3079.9321508336543
2018-02,2948.58394613588
2018-03,2885.3861206300403
2018-04,2909.0177649745297
2018-05,2912.169427559871
2018-06,2889.9894713674694
2018-07,2974.201451325612
2018-08,2993.6272501089143
2018-09,3007.7076565565735
2018-10,2780.969696509894
2018-11,2821.6091956778714
2018-12,2624.94743
2019-01,2832.5344876099275
2019-02,2914.5944490229836
2019-03,2953.878163357595
2019-04,3051.4745899360073
2019-05,2868.580022558896
2019-06,3055.8522213031633
2019-07,3064.9124713025276
2019-08,2991.409314473944
2019-09,3053.317183276248
2019-10,3137.0936552400563
2019-11,3211.415572847498
2019-12,3327.2854212740303
2020-01,3291.035118098061
2020-02,3029.4557423044116
2020-03,2624.5207782308216
2020-04,2903.4976626276766
2020-05,3025.750424598013
2020-06,3126.9039683377146
2020-07,3299.3981953270536
2020-08,3499.9559401914
2020-09,3385.6811211099516
2020-10,3308.432731082719
2020-11,3711.0103888475
2020-12,3885.5061533765524
2021-01,3872.5084413660816
2021-02,3958.756133047568
2021-03,4054.918378249564
2021-04,4231.999876854963
2021-05,4303.169541089174
2021-06,4356.658748
2021-07,4379.125255345234
2021-08,4486.769478415631
2021-09,4307.101796939115
2021-10,4523.801067034205
2021-11,4417.441412
2021-12,4590.5030012159295
2022-01,4360.7141946028005
2022-02,4253.74134866762
2022-03,4333.831472577262
2022-04,3985.6308718531313
2022-05,3992.7171173104375
2022-06,3673.4274351571603
2022-07,3916.370229759964
2022-08,3771.764273489938
2022-09,3411.2745865952697
2022-10,3604.02553951983
2022-11,3886.0903252878925
2022-12,3738.7192349093752
2023-01,4009.276829118127
2023-02,3893.1769900123404
2023-03,4010.1366091391324
2023-04,4064.41683169728
2023-05,4014.993358403382
2023-06,4241.971912524485
2023-07,4399.6132359861485
