Date,EFM EUROPE + CIS (E+C)
2002-05,178.2487519815306
2002-06,159.0622843527814
2002-07,145.97838856522247
2002-08,153.34529644514132
2002-09,149.3616459648366
2002-10,162.127092457769
2002-11,173.66328769068284
2002-12,166.67365303378057
2003-01,161.70519327535408
2003-02,171.7798238857737
2003-03,160.61499821340195
2003-04,189.73578461707
2003-05,211.57193378384355
2003-06,216.02996067646828
2003-07,208.88406229520425
2003-08,237.00637096676078
2003-09,250.54755987901152
2003-10,247.18404127653352
2003-11,252.4868642688804
2003-12,277.7834353969408
2004-01,290.5903392443958
2004-02,314.32908932431764
2004-03,347.22019862848896
2004-04,305.648228500901
2004-05,298.903534179971
2004-06,304.1284707886269
2004-07,295.3335419699382
2004-08,314.07670137988435
2004-09,338.6646668469349
2004-10,358.512739551342
2004-11,367.92342198357085
2004-12,386.55746917230954
2005-01,393.05981493703285
2005-02,448.98622818565
2005-03,405.1849227780208
2005-04,385.5993750028371
2005-05,395.49834007151964
2005-06,419.6354653072225
2005-07,462.10523235207995
2005-08,506.4338657740315
2005-09,566.8658242472417
2005-10,519.8281510091106
2005-11,561.5368097705546
2005-12,583.0961400144492
2006-01,669.327979644063
2006-02,701.6620098370053
2006-03,685.9448343152296
2006-04,759.1798398420314
2006-05,664.103768794931
2006-06,666.9936983093677
2006-07,702.5886368095473
2006-08,716.9385939108438
2006-09,680.871614230323
2006-10,716.3752785735151
2006-11,778.2953395007431
2006-12,806.7462430123849
2007-01,783.5284218664441
2007-02,767.9267406729556
2007-03,807.196398767225
2007-04,819.4679430399531
2007-05,793.2849313179574
2007-06,852.3752228088401
2007-07,891.1299008570136
2007-08,851.4693641587692
2007-09,925.13182520857
2007-10,1009.4963345490103
2007-11,1000.0
2007-12,1034.3144268262688
2008-01,868.5786418537441
2008-02,920.0952260623338
2008-03,897.6987234420136
2008-04,925.2301365069671
2008-05,1033.8639737567444
2008-06,958.9325340013847
2008-07,890.2381432047002
2008-08,772.2516592324166
2008-09,613.3821593036771
2008-10,400.79017345066217
2008-11,341.61132739981537
2008-12,333.5261344492199
2009-01,285.19345851671756
2009-02,265.12102091344866
2009-03,310.3976309662883
2009-04,380.90843893666545
2009-05,474.1596951803335
2009-06,435.7938723733093
2009-07,491.47710279285644
2009-08,511.58171960959686
2009-09,561.3735406319047
2009-10,578.7478762395244
2009-11,589.8141477336645
2009-12,611.8484795241557
2010-01,623.5072490474342
2010-02,585.5339724202167
2010-03,649.3195720252153
2010-04,652.337124508319
2010-05,570.625224428979
2010-06,547.1760669739881
2010-07,618.9478496655219
2010-08,597.5782872854405
2010-09,654.5086684585353
2010-10,685.1529313925435
2010-11,654.4694795215108
2010-12,709.6499466894886
2011-01,724.9100971021238
2011-02,752.9634305192345
2011-03,793.1955221250026
2011-04,823.8044747396106
2011-05,768.7572793941939
2011-06,765.7590861232758
2011-07,764.4456537908528
2011-08,663.7186833935568
2011-09,540.5837958235807
2011-10,617.2057538618609
2011-11,599.5738362405242
2011-12,541.9778844081145
2012-01,622.0953159996867
2012-02,673.4187832874225
2012-03,645.5832946121706
2012-04,627.8340352106412
2012-05,516.5457490007351
2012-06,576.2509718631053
2012-07,588.1152339055247
2012-08,603.0327993651125
2012-09,631.5966818970251
2012-10,628.4154021824767
2012-11,631.684300648412
2012-12,671.4566903396768
2013-01,696.9675065942737
2013-02,666.2602940729431
2013-03,654.9653521828922
2013-04,651.464019790925
2013-05,640.1514633602177
2013-06,596.6465862030049
2013-07,611.2050785156769
2013-08,597.2106496055336
2013-09,653.2849407891407
2013-10,684.6521012421971
2013-11,661.0718431928999
2013-12,644.6374697238334
2014-01,586.830656128147
2014-02,598.8857364198697
2014-03,602.6082925258897
2014-04,586.6124647119244
2014-05,634.7677758325962
2014-06,648.4041603899192
2014-07,610.5028131834606
2014-08,604.3440712461307
2014-09,569.5972365886729
2014-10,560.9338143406914
2014-11,537.3833534349338
2014-12,455.2515612200432
2015-01,437.9921215472722
2015-02,478.62336903867293
2015-03,461.8083507154569
2015-04,517.2860767972122
2015-05,493.45211228758683
2015-06,481.3897242863197
2015-07,460.90048056600705
2015-08,426.9846011326429
2015-09,408.0027971731865
2015-10,430.7409438798754
2015-11,414.0197327688597
2015-12,387.6845822921535
2016-01,375.85408890213125
2016-02,381.15120113397256
2016-03,441.7670303225558
2016-04,457.0287411725779
2016-05,427.49717363135755
2016-06,424.6843984236434
2016-07,430.4937822605031
2016-08,437.9624665969638
2016-09,444.55931112239836
2016-10,449.5915011360959
