Date,EAFE ex UK
1992-06,1348.7801290999998
1992-07,1318.5865287
1992-08,1423.9754143
1992-09,1395.2212087999999
1992-10,1331.3712189
1992-11,1342.8609698
1992-12,1338.0905742999998
1993-01,1345.119015
1993-02,1403.403887
1993-03,1530.125419
1993-04,1697.454199
1993-05,1738.0659719999999
1993-06,1709.119276
1993-07,1781.901306
1993-08,1872.538087
1993-09,1826.3634539999998
1993-10,1879.6250503554706
1993-11,1681.243443222893
1993-12,1801.7200744322065
1994-01,1969.803994214539
1994-02,1983.6906637202649
1994-03,1907.6160820356492
1994-04,1990.6933529220191
1994-05,1996.1987442274074
1994-06,2028.0625239699357
1994-07,2032.3667910144889
1994-08,2068.328791214961
1994-09,2008.7817143200157
1994-10,2066.6282943208034
1994-11,1965.5135223336893
1994-12,1979.683409680781
1995-01,1895.1043999533858
1995-02,1886.5568365628124
1995-03,1999.5893802538267
1995-04,2083.986945836047
1995-05,2045.2351737116344
1995-06,2001.8442187706562
1995-07,2129.023394420754
1995-08,2041.6321458259188
1995-09,2077.0796455555865
1995-10,2010.446191843844
1995-11,2075.4405202808375
1995-12,2164.8458751479698
1996-01,2176.191670982902
1996-02,2181.4582412914747
1996-03,2239.515490696315
1996-04,2308.826041914013
1996-05,2252.9969011365433
1996-06,2270.6789693569017
1996-07,2188.5054732437957
1996-08,2171.6511706675246
1996-09,2230.915715249398
1996-10,2181.262602142266
1996-11,2259.683942653838
1996-12,2206.546955812862
1997-01,2126.3840403351846
1997-02,2153.6272144150257
1997-03,2157.8415635904416
1997-04,2162.4735273506453
1997-05,2313.468466636138
1997-06,2463.315558563798
1997-07,2486.407999367747
1997-08,2267.501053356322
1997-09,2377.3630165435866
1997-10,2171.04173700161
1997-11,2140.1689021364455
1997-12,2142.186816767441
1998-01,2238.4408080475005
1998-02,2378.8438214472535
1998-03,2437.797181589933
1998-04,2461.0050773889684
1998-05,2470.842829922856
1998-06,2484.1016954267952
1998-07,2530.7867375232795
1998-08,2181.402418766206
1998-09,2107.9333601983
1998-10,2355.082182254195
1998-11,2480.0743462648766
1998-12,2583.236487128193
1999-01,2580.336590206013
1999-02,2485.8477229859136
1999-03,2597.2634357877164
1999-04,2703.604644849969
