Date,ACWI ex ANDEAN
2002-05,1000.0
2002-06,938.6267919330202
2002-07,859.6718206361571
2002-08,861.5804159320268
2002-09,766.8014920201898
2002-10,823.0469598937703
2002-11,867.7690343113624
2002-12,826.0708561658
2003-01,801.7105000078313
2003-02,787.3424194748095
2003-03,783.9299325929466
2003-04,853.3555295369138
2003-05,902.4385217166578
2003-06,919.3274764968394
2003-07,939.3968209800917
2003-08,961.338539413515
2003-09,967.1154407525838
2003-10,1025.4439176963697
2003-11,1040.783058042258
2003-12,1106.4896678344135
2004-01,1125.248536257159
2004-02,1145.5475349060682
2004-03,1138.9969781967534
2004-04,1112.2903969380018
2004-05,1120.9451272964816
2004-06,1143.116932092739
2004-07,1106.48819156737
2004-08,1113.1447400457394
2004-09,1136.2149843423877
2004-10,1163.9750381724507
2004-11,1227.4040623760498
2004-12,1274.882073066608
2005-01,1247.8755183065866
2005-02,1291.0406662632818
2005-03,1262.5660233650956
2005-04,1234.6846853012855
2005-05,1257.761693920133
2005-06,1270.3756323887333
2005-07,1317.2598047819254
2005-08,1327.246807352295
2005-09,1367.0457379100137
2005-10,1330.3175501860094
2005-11,1378.7048589362337
2005-12,1412.6602330321634
2006-01,1482.1360305237156
2006-02,1479.8809037265103
2006-03,1511.0923734410221
2006-04,1561.3720984208433
2006-05,1499.977366631654
2006-06,1499.357971132046
2006-07,1509.4979660835195
2006-08,1548.6025151749345
2006-09,1566.6003475616535
2006-10,1625.2774305125463
2006-11,1671.1658664512995
2006-12,1708.3757883650835
2007-01,1725.2751023477358
2007-02,1716.1537637273582
2007-03,1750.5063197700374
2007-04,1827.9583167225112
2007-05,1882.2722086217864
2007-06,1876.4721969959112
2007-07,1847.6258553184225
2007-08,1842.6774451089032
2007-09,1941.6061590986515
2007-10,2017.0552747107704
2007-11,1928.1308651583195
2007-12,1906.8204936539273
2008-01,1750.4237386264551
2008-02,1755.0884227806712
2008-03,1729.124807885027
2008-04,1825.67261368248
2008-05,1854.2864112033099
2008-06,1702.060423853803
2008-07,1657.7769458105286
2008-08,1622.1901286361806
2008-09,1419.4365229611717
2008-10,1138.500217342089
2008-11,1063.476377285968
2008-12,1101.9316095166482
2009-01,1007.5122461468467
2009-02,908.6621320636784
2009-03,983.5113782975234
2009-04,1099.7121066168907
2009-05,1208.997193678621
2009-06,1202.1067156246927
2009-07,1307.9728459789612
2009-08,1354.9094101701419
2009-09,1416.7536103953737
2009-10,1394.9285620907854
2009-11,1452.1612950489962
2009-12,1482.1566246321909
2010-01,1417.891136878047
2010-02,1435.9051519128138
2010-03,1528.5761218945067
2010-04,1531.0513607420871
2010-05,1385.432319367025
2010-06,1342.4997630898042
2010-07,1451.550766681737
2010-08,1400.1748648234786
2010-09,1534.1275169454073
2010-10,1589.422352230195
2010-11,1554.175538808671
2010-12,1668.2689992321352
2011-01,1695.1597724453902
2011-02,1744.843933924269
2011-03,1742.908761240432
2011-04,1814.1483807397785
2011-05,1774.9759547358772
2011-06,1747.0504546250068
2011-07,1718.674046023342
2011-08,1592.7000346522536
2011-09,1442.7735604956536
2011-10,1597.1563802835824
2011-11,1549.5993726917513
2011-12,1546.4038035136093
2012-01,1636.1357876728796
2012-02,1718.3387204003814
2012-03,1729.7283878765024
2012-04,1709.692323827347
2012-05,1556.4737697572052
2012-06,1633.5066189214306
2012-07,1655.9931452641176
2012-08,1692.3114782661642
2012-09,1745.5722454611243
2012-10,1733.7788326254642
2012-11,1756.2151994824037
2012-12,1795.7074682622526
2013-01,1878.4684322690282
2013-02,1878.4651486002576
2013-03,1913.0954540879143
2013-04,1968.4177378142167
2013-05,1963.6426844053224
2013-06,1906.4015018974026
2013-07,1998.3304178992112
2013-08,1956.5925783125915
2013-09,2057.7176125856313
2013-10,2140.6099884410414
2013-11,2171.644143052146
2013-12,2209.3039282816
2014-01,2121.4076916258527
2014-02,2223.8211441119242
2014-03,2233.2591553087586
2014-04,2254.382852976202
2014-05,2302.428192339389
2014-06,2345.8231923657077
2014-07,2317.474090935675
2014-08,2368.7314582642816
2014-09,2292.115883032208
2014-10,2308.4328896656057
2014-11,2347.479004038474
2014-12,2302.3807061809266
2015-01,2266.6587764377855
2015-02,2393.0108096596337
2015-03,2356.0697522880487
2015-04,2424.079951661228
2015-05,2421.2499183174004
2015-06,2364.342962530032
2015-07,2385.3163459056805
2015-08,2221.827348691856
2015-09,2141.3664419611378
2015-10,2309.496687876759
2015-11,2290.8760030147664
2015-12,2249.492427820343
2016-01,2113.557649144555
2016-02,2098.829005141732
2016-03,2254.126925877366
2016-04,2287.203888329078
2016-05,2290.499770845632
2016-06,2276.2275791778034
2016-07,2374.4711764825256
2016-08,2382.540608690965
2016-09,2397.1903839411257
2016-10,2356.206694219957
2016-11,2374.375119408525
2016-12,2425.701577093326
2017-01,2491.8978556643024
2017-02,2561.9129047150673
2017-03,2593.026794885408
2017-04,2633.610487
2017-05,2691.75001
2017-06,2704.051139
2017-07,2779.374074
2017-08,2789.699654
2017-09,2843.645587
2017-10,2902.712006
2017-11,2959.489194
2017-12,3006.578288
2018-01,3175.990813
2018-02,3042.610067
2018-03,2977.320752
2018-04,3005.5500625989516
2018-05,3009.8262970452397
2018-06,2993.690748938534
2018-07,3084.0052184882115
2018-08,3108.800872690437
2018-09,3122.1743664035857
2018-10,2888.248746960701
2018-11,2930.541089321513
2018-12,2723.843787
2019-01,2938.695836471081
2019-02,3017.4815330575334
2019-03,3055.609982398108
2019-04,3159.1377530606865
2019-05,2971.9057843488663
2019-06,3166.2885278919994
2019-07,3175.898680203871
2019-08,3101.37936049404
2019-09,3166.5725719497004
2019-10,3253.551392244867
2019-11,3333.54988504935
2019-12,3450.5703728848216
2020-01,3412.8395522098813
2020-02,3137.3627229399394
2020-03,2714.5004173891275
2020-04,3005.2070707892913
2020-05,3136.162518999385
2020-06,3236.322205960163
2020-07,3407.3400624499964
2020-08,3616.343732024512
2020-09,3499.850077789811
2020-10,3414.6800976943764
2020-11,3835.403263421236
2020-12,4013.0523753355365
2021-01,3995.086287080971
2021-02,4087.368509380002
2021-03,4196.6703128537465
2021-04,4380.783350049567
2021-05,4449.050768344197
2021-06,4507.89396
2021-07,4539.220630483955
2021-08,4652.522676353115
2021-09,4460.384245249344
2021-10,4688.24245102667
2021-11,4575.400457
2021-12,4758.707119881819
2022-01,4524.348907033894
2022-02,4407.156555601295
2022-03,4502.1743324835725
2022-04,4142.07699089339
2022-05,4146.376299961939
2022-06,3797.4540191101914
2022-07,4062.6161098196358
2022-08,3912.888827584103
2022-09,3538.278654018082
2022-10,3751.797492547234
2022-11,4042.813199569963
2022-12,3883.688548907189
2023-01,4161.98662521992
2023-02,4042.8167669688937
2023-03,4167.56915850248
2023-04,4227.556152804219
2023-05,4182.395122500385
2023-06,4425.081890097402
2023-07,4586.8765397707475
