Date,AC AP ex JP WITH PARTIAL A SHARES
2008-11,1063.0143784070508
2008-12,1156.7649853939868
2009-01,1069.6072319956002
2009-02,1007.894891632773
2009-03,1157.5261951325747
2009-04,1333.1645929792141
2009-05,1524.6710080204998
2009-06,1540.0048415578444
2009-07,1729.3717554248285
2009-08,1722.098074192303
2009-09,1887.5895418395492
2009-10,1881.888760917706
2009-11,1934.7142670638189
2009-12,2003.9853989277608
2010-01,1877.2380134837263
2010-02,1902.224206522879
2010-03,2045.3231799996142
2010-04,2071.922889886596
2010-05,1849.5783796522132
2010-06,1862.0715036276667
2010-07,2000.327974719255
2010-08,1967.1913171720873
2010-09,2200.9008014680244
2010-10,2261.667768348509
2010-11,2217.1539622566224
2010-12,2366.7595530292406
2011-01,2335.6349602186588
2011-02,2296.4025360360943
2011-03,2414.448999100843
2011-04,2518.39460383084
2011-05,2461.221714089401
2011-06,2412.5608277730103
2011-07,2419.7359648982083
2011-08,2214.7505929488675
2011-09,1915.472348420614
2011-10,2168.3357623878483
2011-11,1997.7266026775635
2011-12,1998.1441680536975
2012-01,2201.925190158228
2012-02,2316.9750364485008
2012-03,2246.363852582877
2012-04,2258.457957509597
2012-05,2024.0131433009913
2012-06,2103.4485253104385
2012-07,2183.4199950754078
2012-08,2175.5274580659225
2012-09,2303.5829901664665
2012-10,2314.405006701753
2012-11,2367.883721096664
2012-12,2443.233314538439
2013-01,2508.9653191075827
2013-02,2531.479654250454
2013-03,2490.553689201196
2013-04,2553.6462225728337
2013-05,2447.478183006737
2013-06,2301.2711054130555
2013-07,2349.038255333822
2013-08,2332.962810306211
2013-09,2470.5126118627477
2013-10,2585.1285163796756
2013-11,2560.0417672866515
2013-12,2527.8285325092597
2014-01,2399.881314437937
2014-02,2507.0214000046976
2014-03,2550.061864626764
2014-04,2575.4098938679767
2014-05,2658.1372395470717
2014-06,2703.201862174745
2014-07,2800.24583725708
2014-08,2821.6714164797527
2014-09,2619.1454095375184
2014-10,2690.886979943678
2014-11,2658.475060007885
2014-12,2607.006841857623
2015-01,2644.504911013996
2015-02,2728.230719687204
2015-03,2727.2840326286387
2015-04,2897.6219334431044
2015-05,2824.063898905591
2015-06,2709.416522512252
2015-07,2567.8435355287415
2015-08,2304.697473740386
2015-09,2251.754405591127
2015-10,2423.2865048061544
2015-11,2363.0600377151945
2015-12,2367.9385070581075
2016-01,2172.323257837808
2016-02,2153.3427959619053
2016-03,2402.8149584287353
2016-04,2401.171817557359
2016-05,2365.4653087232823
2016-06,2414.7289760352132
2016-07,2548.0227816407623
2016-08,2603.696039249916
2016-09,2649.0237594591104
2016-10,2605.4519809461626
2017-04,2885.381134
2017-05,2961.531287
2017-06,3017.056977
2017-07,3172.854222
2017-08,3207.038353
2017-09,3199.012499
2017-10,3328.127266
2017-11,3346.350326
2017-12,3450.020896
2018-01,3684.350222
2018-02,3508.784483
2018-03,3432.2890057467916
2018-04,3465.049605621667
2018-05,3438.758504694077
2018-06,3308.488892919867
2018-07,3343.4849476231
2018-08,3305.1424810048993
2018-09,3259.568834939746
2018-10,2925.0951937564423
2018-11,3055.5842789573303
2018-12,2970.0503186702595
2019-01,3186.35671368809
2019-02,3260.6919795234217
2019-03,3311.279037315621
2019-04,3369.932089887782
2019-05,3135.7854538161732
2019-06,3334.4100537433023
2019-07,3289.9295319153302
2019-08,3146.1711347374808
2019-09,3203.12130887966
2019-10,3332.9547243003376
2019-11,3348.2433876365444
2019-12,3539.4594650660674
2020-01,3406.935549879955
2020-02,3258.5521274608136
2020-03,2794.0955390322374
2020-04,3071.2593031715637
2020-05,3063.1729627643017
2020-06,3311.513550138915
2020-07,3564.8873057841943
2020-08,3699.61204584836
2020-09,3617.4822065801127
2020-10,3703.466083522109
2020-11,4044.429038565293
2020-12,4311.259239312416
