Date,ASEAN
2006-11,1000.0
2006-12,1033.860231303022
2007-01,1073.97563596917
2007-02,1070.5508701431952
2007-03,1117.1468611060793
2007-04,1171.8253384301695
2007-05,1238.353017457567
2007-06,1250.4344204516876
2007-07,1297.0797794133994
2007-08,1228.8543810660242
2007-09,1354.563898478241
2007-10,1465.7662218308533
2007-11,1397.743869362855
2007-12,1428.3818967890854
2008-01,1327.4734390475573
2008-02,1385.7603110270545
2008-03,1327.5786047131583
2008-04,1357.4954823421617
2008-05,1354.9290063681601
2008-06,1248.7379294284967
2008-07,1223.667040492551
2008-08,1146.9374300086392
2008-09,988.6212398154387
2008-10,710.419957215697
2008-11,685.1201012177632
2008-12,747.9717948715193
2009-01,713.2442459177063
2009-02,664.0593397171416
2009-03,710.2969033649047
2009-04,841.8416492958015
2009-05,980.8115743496395
2009-06,1008.013407447381
2009-07,1149.2477076512464
2009-08,1140.098948120288
2009-09,1218.2236652502502
2009-10,1211.8715158221137
2009-11,1248.3530417396057
2009-12,1302.4249263602642
2010-01,1259.7077478895403
2010-02,1267.4041559479206
2010-03,1368.5899762368194
2010-04,1428.4303031385436
2010-05,1325.4159824727878
2010-06,1379.01898516111
2010-07,1468.9220751181504
2010-08,1498.1272639573106
2010-09,1644.2584256544674
2010-10,1690.7776766041534
2010-11,1638.4112975417543
2010-12,1718.9903508342443
2011-01,1661.4878196599886
2011-02,1647.4548299560938
2011-03,1754.0602035968018
2011-04,1838.2528742340521
2011-05,1810.5231324817257
2011-06,1806.014189318121
2011-07,1895.4589919786924
2011-08,1740.5654530145375
2011-09,1526.3067651003173
2011-10,1689.8924338183326
2011-11,1588.659942700422
2011-12,1608.1329571375416
2012-01,1747.2274100121924
2012-02,1825.7675640801024
2012-03,1829.0050020072865
2012-04,1842.0854604846504
2012-05,1679.5670242509013
2012-06,1751.5828003894806
2012-07,1841.6973477485305
2012-08,1827.386491403117
2012-09,1897.2475337071844
2012-10,1905.9093135488813
2012-11,1902.8813706031092
2012-12,1970.1258349150403
2013-01,1996.1745443598268
2013-02,2059.3614814942357
2013-03,2090.7375511698765
2013-04,2159.1121147079994
2013-05,2091.8961824471457
2013-06,2002.4779577184893
2013-07,1980.806142701485
2013-08,1816.8697909076513
2013-09,1900.058246614044
2013-10,2010.0742010743588
2013-11,1913.5739590354156
2013-12,1877.9375351019708
2014-01,1813.620687967155
2014-02,1909.3216716234367
2014-03,1964.814495139712
2014-04,2018.279774465116
2014-05,2033.3072699533036
2014-06,2055.5478738447055
2014-07,2120.136063284686
2014-08,2136.016536270696
2014-09,2072.4987233671864
2014-10,2064.252924426425
2014-11,2055.298587254012
2014-12,1994.6365023467301
2015-01,1987.0015951411278
2015-02,2015.566713583925
2015-03,2006.2334192324868
2015-04,2028.9362337995753
2015-05,1955.0427268728001
2015-06,1897.9474218923183
2015-07,1825.557180914818
2015-08,1632.2285206597473
2015-09,1542.426478519731
2015-10,1667.8909742136366
2015-11,1623.9751105140585
2015-12,1626.9329355699601
2016-01,1594.7210838993672
2016-02,1631.8478956116448
2016-03,1788.817198439281
2016-04,1773.7924387852786
2016-05,1714.180580392908
2016-06,1798.1480599801241
2016-07,1842.5189545207315
2016-08,1853.7205712766909
2016-09,1835.3677704476697
2016-10,1799.6248947950266
2016-11,1704.3521686422619
2016-12,1721.6447038556153
2017-01,1797.7971184552314
2017-02,1826.8246874023166
2017-03,1884.3740402204758
2017-04,1922.719113
2017-05,1968.57927
2017-06,1987.547032
2017-07,2035.22463
2017-08,2045.822711
2017-09,2055.518896
2017-10,2101.33877
2017-11,2148.848303
2017-12,2248.608096
2018-01,2379.548097
2018-02,2346.026246
2018-03,2299.507061452833
2018-04,2310.6526828930937
2018-05,2185.98725520603
2018-06,2039.5032918280672
2018-07,2122.9016091395215
2018-08,2132.737573768444
2018-09,2132.601743846652
2018-10,1996.7821807842786
2018-11,2061.0967625117796
2018-12,2053.4309931600537
2019-01,2185.189913516097
2019-02,2169.755530593972
2019-03,2161.517440223545
2019-04,2212.0288180109824
2019-05,2127.4817895744327
2019-06,2271.7135495736716
2019-07,2252.0683436322265
2019-08,2162.8006538055247
2019-09,2148.129209416027
2019-10,2196.567344745198
2019-11,2160.390131093082
2019-12,2228.251680169325
2020-01,2115.6548610549858
2020-02,1925.6944309544663
2020-03,1548.8117223072336
2020-04,1710.1023209917287
2020-05,1746.6767160502948
2020-06,1814.9568908701572
2020-07,1838.6739913907893
2020-08,1838.381692548462
2020-09,1736.7932543732745
2020-10,1749.3279587442698
2020-11,2019.6426753237442
2020-12,2098.735561863582
2021-01,2059.614425377937
2021-02,2098.8241379609995
2021-03,2101.6757863345106
2021-04,2134.5489683556048
2021-05,2141.0748479354706
2021-06,2079.8894271002337
2021-07,2006.9062488179582
2021-08,2125.603813179439
2021-09,2087.5326758747415
2021-10,2179.2740464830713
2021-11,2075.3402853993657
2021-12,2117.5231300908677
2022-01,2103.592624588965
2022-02,2155.213285740085
2022-03,2162.497867448806
2022-04,2072.5593532708313
2022-05,2038.057497100729
2022-06,1861.9198938548789
2022-07,1911.151180162385
2022-08,1949.4495359161313
2022-09,1821.9291846131948
2022-10,1835.9514910032146
2022-11,1991.8707294469018
2022-12,1983.6669287333975
2023-01,2085.109116002419
2023-02,1964.547222488187
2023-03,2040.736571702785
2023-04,2042.561233037269
2023-05,1948.542298228817
2023-06,1951.1046123835574
2023-07,2088.463065014298
