Date,WORLD ex AUSTRALIA WITH USA GROSS
2001-09,1000.0
2001-10,1018.2798775056536
2001-11,1078.3636610091714
2001-12,1085.1761785475185
2002-01,1051.821909221057
2002-02,1042.5962845938868
2002-03,1088.8472186947538
2002-04,1051.6115148814772
2002-05,1052.5877119474592
2002-06,988.549029704029
2002-07,905.1420798005335
2002-08,906.5626122895186
2002-09,806.0372068958242
2002-10,865.9618582625591
2002-11,913.2694999330935
2002-12,868.6282230470301
2003-01,841.4876290705863
2003-02,827.0086087981246
2003-03,823.8062683097793
2003-04,897.1696267465958
2003-05,948.9933993219364
2003-06,965.1181932685132
2003-07,985.3163134193306
2003-08,1006.71682613358
2003-09,1012.344614444081
2003-10,1072.0465247887753
2003-11,1089.0096808692253
2003-12,1157.114203842223
2004-01,1176.3390107746434
2004-02,1195.626128565998
2004-03,1187.4018964038933
2004-04,1164.3496300458671
2004-05,1175.355738489402
2004-06,1200.3371534681207
2004-07,1160.5066559440556
2004-08,1165.6027305927812
2004-09,1186.7589479830133
2004-10,1215.0752020930233
2004-11,1278.4174666865742
2004-12,1327.4412849077576
2005-01,1296.850136491118
2005-02,1337.7104530793756
2005-03,1312.746717447414
2005-04,1284.2163807934198
2005-05,1308.001993373083
2005-06,1318.2001408719912
2005-07,1364.8677412116447
2005-08,1375.5994672165216
2005-09,1410.060742252404
2005-10,1377.429792451624
2005-11,1423.8207090068033
2005-12,1455.6572346923033
2006-01,1519.9536703680385
2006-02,1518.744622551675
2006-03,1553.1488141290465
2006-04,1598.2914875962097
2006-05,1545.0973293052214
2006-06,1544.6885167416033
2006-07,1554.339188624186
2006-08,1595.1625771877575
2006-09,1615.5555873210185
2006-10,1673.2741744712612
2006-11,1714.2187178756833
2006-12,1748.8771274353
2007-01,1770.252013659134
2007-02,1759.7652546890379
2007-03,1790.5231073323614
2007-04,1868.9334015656977
2007-05,1922.6544290027548
2007-06,1906.2077039245862
2007-07,1863.7753127211772
2007-08,1864.0219993108703
2007-09,1947.4370496880645
2007-10,2004.5676714135836
2007-11,1925.705620521325
2007-12,1902.799195228368
2008-01,1758.6836096496347
2008-02,1747.087444418618
2008-03,1733.476850414202
2008-04,1823.100861200468
2008-05,1850.9971764838
2008-06,1702.7277128483904
2008-07,1664.1084187098277
2008-08,1642.824574415259
2008-09,1450.7165758679005
2008-10,1178.7800338628174
2008-11,1103.3619425797215
2008-12,1138.317030878812
2009-01,1040.2484992708457
2009-02,932.4548212134454
2009-03,1000.2720426482081
2009-04,1112.7402261012537
2009-05,1213.7219278604632
2009-06,1206.3514924462527
2009-07,1308.0312199057798
2009-08,1360.5376047752247
2009-09,1411.1439673502853
2009-10,1385.2293076224396
2009-11,1442.9211460067836
2009-12,1469.2332883535867
2010-01,1410.453592287013
2010-02,1429.719099779498
2010-03,1517.3730951679818
2010-04,1518.1828930223724
2010-05,1377.6883632171907
2010-06,1330.146998697446
2010-07,1436.1782292121284
2010-08,1382.6796601681765
2010-09,1509.5555440304647
2010-10,1566.6320874391465
2010-11,1534.1698640361622
2010-12,1645.376467616267
2011-01,1685.9205873770163
2011-02,1744.785565660312
2011-03,1725.7625292936589
2011-04,1798.2854526290719
2011-05,1763.7793145038042
2011-06,1735.9366257115375
2011-07,1705.0263769042424
2011-08,1583.7038004340698
2011-09,1451.1851090498747
2011-10,1597.9162259404047
2011-11,1562.3992943260855
2011-12,1562.8597220992908
2012-01,1639.3525255218374
2012-02,1721.325265209123
2012-03,1746.6018725421645
2012-04,1725.1292352563337
2012-05,1579.7203684141625
2012-06,1659.648515086739
2012-07,1677.54808946331
2012-08,1722.3847598392006
2012-09,1770.2547304764971
2012-10,1756.478617847012
2012-11,1779.928010281964
2012-12,1813.4827041463095
2013-01,1905.954063041467
2013-02,1907.0070539824587
2013-03,1954.4046949835056
2013-04,2015.1322225159195
2013-05,2026.63969596003
2013-06,1980.1277186933569
2013-07,2086.4952936543464
2013-08,2040.3219147502468
2013-09,2141.361857385514
2013-10,2224.3990639315607
2013-11,2269.643200912702
2013-12,2321.2722640835514
2014-01,2236.954855352112
2014-02,2347.9670604688376
2014-03,2349.062314175191
2014-04,2372.914578232081
2014-05,2421.220287801045
2014-06,2466.816340332018
2014-07,2424.3729261735725
2014-08,2479.65931914095
2014-09,2420.2468724901296
2014-10,2432.9694827855715
2014-11,2489.178803436207
2014-12,2450.2832914427736
2015-01,2406.298908483269
2015-02,2547.1268182966305
2015-03,2508.6589834011033
2015-04,2568.821670901398
2015-05,2580.9737491621318
2015-06,2523.3543071065883
2015-07,2570.7857829632676
2015-08,2404.918561419543
2015-09,2317.240646161833
2015-10,2502.667813492239
2015-11,2490.494789215556
2015-12,2444.4551208905846
2016-01,2300.3794221085477
2016-02,2284.4725745428236
2016-03,2436.748709835397
2016-04,2474.9576225768856
2016-05,2491.988916943069
2016-06,2464.0186032262077
2016-07,2566.0164400937133
2016-08,2571.273964575564
2016-09,2584.2528314496435
2016-10,2534.9426693355485
2016-11,2573.4122396496955
2016-12,2635.6244390966076
2017-01,2698.4069393923855
2017-02,2773.693875083878
2017-03,2802.830776053805
2017-04,2846.67914646187
2017-05,2913.005025316362
2017-06,2923.0556924825974
2017-07,2992.2038015022363
2017-08,2998.035917434723
2017-09,3068.6772525296897
2017-10,3127.6682524964563
2017-11,3198.191885470675
2017-12,3239.365724447956
2018-01,3413.014927522254
2018-02,3272.2645832890544
2018-03,3204.698072048411
2018-04,3241.1193995916747
2018-05,3262.245389996473
2018-06,3260.3836272113863
2018-07,3363.670024400022
2018-08,3409.2490314532083
2018-09,3430.677827016228
2018-10,3179.6329630964415
2018-11,3217.6003761538286
2018-12,2970.523128265643
