Date,MSCI EAFE Top 100 Select Index
1997-01,1197.4722209226043
1997-02,1226.433615798087
1997-03,1243.333599460372
1997-04,1269.8539030173874
1997-05,1359.6742806615148
1997-06,1451.814636419531
1997-07,1495.3130405412307
1997-08,1376.693267258931
1997-09,1472.5446509664607
1997-10,1335.8941632725553
1997-11,1336.9153495393014
1997-12,1376.9103041950655
1998-01,1431.2789717092023
1998-02,1516.1734619016675
1998-03,1559.7466226940444
1998-04,1581.338026950598
1998-05,1579.6014470892521
1998-06,1622.648882655205
1998-07,1648.0291946019593
1998-08,1445.6180408649293
1998-09,1377.784537753754
1998-10,1507.35560701186
1998-11,1606.5260548328008
1998-12,1663.6797240437747
1999-01,1655.0315130034057
1999-02,1614.5803291401414
1999-03,1665.8690711695176
1999-04,1718.4547313818819
1999-05,1625.9509029792932
1999-06,1686.3215650667564
1999-07,1726.7382261621974
1999-08,1718.6535787936673
1999-09,1736.422232987736
1999-10,1833.9948031118718
1999-11,1916.8680735051653
1999-12,2101.955707830391
2000-01,1938.9237575032205
2000-02,2020.4821895243208
2000-03,2085.6157071547705
2000-04,1947.652694696618
2000-05,1903.8653278223942
2000-06,1948.5838913346122
2000-07,1874.354250431094
2000-08,1886.1915398013662
2000-09,1783.7573280348067
2000-10,1740.966884364753
2000-11,1648.6237208488963
2000-12,1708.6673184505223
2001-01,1714.6643693556605
2001-02,1563.9097431585838
2001-03,1472.6018363856574
2001-04,1562.5016794830253
2001-05,1495.9315666116293
2001-06,1440.7343770945045
2001-07,1419.3977380663223
2001-08,1378.2510003068285
2001-09,1252.9547885492361
2001-10,1272.070460286704
2001-11,1310.236397538762
2001-12,1326.4970132537987
2002-01,1248.4125474485534
2002-02,1252.034881082315
2002-03,1317.5569750762381
2002-04,1320.9633244930244
2002-05,1328.1114199975364
2002-06,1274.9643911440016
2002-07,1147.0882224745585
2002-08,1142.9734025918601
2002-09,1006.5097617899288
2002-10,1083.14555079882
2002-11,1122.3150262004046
2002-12,1087.7769864744448
2003-01,1032.896189819524
2003-02,1010.7036115403961
2003-03,992.0530652649434
2003-04,1096.0421729507384
2003-05,1158.13875953163
2003-06,1180.3344231748822
2003-07,1197.901724893765
2003-08,1197.0732732298154
2003-09,1226.5366403579555
2003-10,1289.3755537629663
2003-11,1335.3355634452937
2003-12,1456.5432445440536
2004-01,1457.3108705786335
2004-02,1489.7427949851424
2004-03,1468.6867452197098
2004-04,1453.1566176208528
2004-05,1464.0001364670613
2004-06,1482.0965241020608
2004-07,1445.8665547497321
2004-08,1444.9716781734217
2004-09,1482.3695124977712
2004-10,1532.3868933393214
2004-11,1629.567488572865
2004-12,1701.9512503231722
2005-01,1659.2160722378494
2005-02,1734.50369748
2005-03,1693.029486310595
2005-04,1660.3172159785104
2005-05,1659.0947544292105
2005-06,1679.2769577527508
2005-07,1736.223871915207
2005-08,1773.7068662345318
2005-09,1849.555760368397
2005-10,1800.56217641623
2005-11,1829.3848892066758
2005-12,1887.1902407090765
2006-01,1998.9086110931232
2006-02,1985.8818890823572
2006-03,2041.8420707405685
2006-04,2151.1633998530483
2006-05,2080.4756431068254
2006-06,2092.7707971411214
2006-07,2129.6828356597935
2006-08,2178.289932184411
2006-09,2168.4181821288225
2006-10,2255.5799626110265
2006-11,2304.9453669055
2006-12,2354.7047121385167
2007-01,2353.6014670112017
2007-02,2355.6020598538453
2007-03,2399.820586385023
2007-04,2525.515577598981
2007-05,2575.555060121738
2007-06,2592.452512180398
2007-07,2534.282109134827
2007-08,2500.683866065704
2007-09,2645.5522568990664
2007-10,2748.2426707300815
2007-11,2695.8792889649126
2007-12,2640.830780541269
2008-01,2394.191834359789
2008-02,2414.457725235694
2008-03,2392.9075475908658
2008-04,2550.9852220145904
2008-05,2558.8247352087456
2008-06,2379.5426105781303
2008-07,2321.392920411278
2008-08,2217.4796855295417
2008-09,1926.7763018849184
2008-10,1565.557441683627
2008-11,1449.0488386586737
2008-12,1522.7762492435338
2009-01,1363.0222020851124
2009-02,1229.232146672213
2009-03,1301.510847756485
2009-04,1444.3279938089554
2009-05,1617.472155260246
2009-06,1593.9992166700406
2009-07,1748.809394315827
2009-08,1843.6269606217209
2009-09,1908.8425173119772
2009-10,1901.5370582325531
2009-11,1947.6079270569594
2009-12,1977.1287216958299
2010-01,1863.7805754675674
2010-02,1851.3134788868604
2010-03,1964.894353949819
2010-04,1896.9964151303363
2010-05,1671.884073826856
2010-06,1647.300888549464
2010-07,1824.2291001486194
2010-08,1769.509274446885
2010-09,1931.0677413540436
2010-10,2008.2186665190156
2010-11,1876.3493006545577
2010-12,2028.7237412776717
2011-01,2091.120248832823
2011-02,2171.091675148148
2011-03,2113.6285937673397
2011-04,2260.5696685578228
2011-05,2187.8786653179895
2011-06,2156.545210886634
2011-07,2108.557235160053
2011-08,1913.1967970518174
2011-09,1723.3235417145065
2011-10,1917.6824462789464
2011-11,1827.545044456272
2011-12,1814.4612862791428
2012-01,1896.493296955524
2012-02,1992.8322668883363
2012-03,1970.9494460683024
2012-04,1937.4345605424694
2012-05,1714.0218373114735
2012-06,1841.6910816897412
2012-07,1871.7204754375448
2012-08,1923.2389757958827
2012-09,1972.1409185527798
2012-10,1988.2939460166253
2012-11,2040.4441147395485
2012-12,2103.009008092659
2013-01,2221.2965048178858
2013-02,2184.5904765953132
2013-03,2196.675873928995
2013-04,2314.0127428654705
2013-05,2252.914113818897
2013-06,2170.395245211069
2013-07,2287.9766816745573
2013-08,2259.239845338039
2013-09,2418.3948247839426
2013-10,2509.3752389552938
