Date,ACWI ex SOUTH AFRICA
1998-12,1000.0
1999-01,1019.5912565666155
1999-02,993.3590339874431
1999-03,1038.4466153445087
1999-04,1082.5994888228734
1999-05,1045.1056262377763
1999-06,1096.7094575947328
1999-07,1091.6865401341672
1999-08,1090.4116970304378
1999-09,1078.2240502100105
1999-10,1132.0408188000777
1999-11,1166.6708426290843
1999-12,1262.963066643721
2000-01,1193.815225977732
2000-02,1197.6793234480729
2000-03,1277.3645948216865
2000-04,1220.0893597954587
2000-05,1188.9330916312433
2000-06,1228.685933912915
2000-07,1191.8332895784035
2000-08,1228.6254381912381
2000-09,1160.7526203806256
2000-10,1137.734262100672
2000-11,1066.9471588027207
2000-12,1083.7020579612881
2001-01,1110.812949716593
2001-02,1016.7237680228661
2001-03,948.3340944647017
2001-04,1016.7878980118146
2001-05,1004.4836984192442
2001-06,973.1802508044987
2001-07,958.5050674569901
2001-08,913.6746800593585
2001-09,830.3163059877445
2001-10,847.818668913568
2001-11,899.8595770728789
2001-12,908.2883565409423
2002-01,882.9308279259957
2002-02,875.9237673621187
2002-03,915.2684302382653
2002-04,885.3882391461065
2002-05,885.6048782813646
2002-06,831.4232402831597
2002-07,761.8262608123022
2002-08,763.4029297754151
2002-09,679.0418810079556
2002-10,728.9412432586868
2002-11,768.4014703804946
2002-12,731.1221737925988
2003-01,709.6031614838438
2003-02,696.7871308386136
2003-03,693.9541641567412
2003-04,755.5713490488873
2003-05,799.1250375436555
2003-06,813.9874804199119
2003-07,831.5975082696401
2003-08,850.8443378370065
2003-09,855.999250968475
2003-10,907.4595051594849
2003-11,920.6908523222853
2003-12,979.1162948586623
2004-01,995.8038380155386
2004-02,1013.5799277854913
2004-03,1007.4798682682048
2004-04,984.5411319182527
2004-05,991.8012457392733
2004-06,1011.4724590520104
2004-07,978.846642955609
2004-08,984.6073199878912
2004-09,1004.6163646101941
2004-10,1029.0273344945442
2004-11,1084.4560339032084
2004-12,1126.3678018342123
2005-01,1102.730111651817
2005-02,1140.600031123955
2005-03,1116.0074198132133
2005-04,1091.3347919402506
2005-05,1112.095104000498
2005-06,1123.0490089019902
2005-07,1164.2547410720856
2005-08,1172.782857701441
2005-09,1207.448207880954
2005-10,1175.4856430883754
2005-11,1217.942440438619
2005-12,1247.1749758765175
2006-01,1307.5585929665854
2006-02,1306.17413528134
2006-03,1333.1280174916014
2006-04,1377.4503903913424
2006-05,1324.3218803161162
2006-06,1324.0467320839064
2006-07,1333.1164195988945
2006-08,1367.9133085816684
2006-09,1384.5019358081042
2006-10,1435.8474299448083
2006-11,1476.0046096428025
2006-12,1508.445890793813
2007-01,1523.526388127557
2007-02,1515.4066219642245
2007-03,1545.339079578732
2007-04,1613.5131042077542
2007-05,1662.2359753841617
2007-06,1657.5337663316059
2007-07,1632.0714266534019
2007-08,1627.5777407624582
2007-09,1714.7897189122978
2007-10,1780.458763189529
2007-11,1702.1705196001592
