Date,ACWI FM ex JAPAN
2002-05,511.1328719699445
2002-06,479.17916523068754
2002-07,439.05168762439064
2002-08,441.40255372046533
2002-09,391.4659248214611
2002-10,425.34607599889125
2002-11,448.10122211773023
2002-12,426.08116652124926
2003-01,413.56219957222095
2003-02,405.5574367994239
2003-03,405.7929457408104
2003-04,444.0029294541359
2003-05,469.9114365444395
2003-06,476.4546127098898
2003-07,485.2954288207811
2003-08,492.95309708943415
2003-09,493.11181502102465
2003-10,523.1027516552429
2003-11,533.0538175017433
2003-12,565.543694809305
2004-01,575.4193443880044
2004-02,587.3015627089242
2004-03,576.4473607931078
2004-04,564.736804605879
2004-05,572.0221176001327
2004-06,581.0311686183628
2004-07,564.2499925241686
2004-08,567.5531927692742
2004-09,581.6748214957081
2004-10,595.6401576943192
2004-11,627.4155546932296
2004-12,650.8672088576501
2005-01,636.8641248891774
2005-02,659.7061935120552
2005-03,645.5340287465289
2005-04,632.0990382919084
2005-05,645.9778117055462
2005-06,653.7255188971858
2005-07,679.4511791333979
2005-08,680.7928001216569
2005-09,695.9154261250718
2005-10,677.2819629819182
2005-11,700.6187923617828
2005-12,712.5324169245756
2006-01,746.7437367550854
2006-02,745.8514350148109
2006-03,760.5223248597857
2006-04,785.4909479499356
2006-05,757.8645150458756
2006-06,759.2057037097778
2006-07,766.4571103609445
2006-08,787.3345765159163
2006-09,798.9064672534112
2006-10,829.9773557861437
2006-11,854.2903421515098
2006-12,873.4098716189777
2007-01,881.7896261966984
2007-02,872.3746326227472
2007-03,892.7760064018711
2007-04,938.4179871615253
2007-05,967.9807303989693
2007-06,965.2610787339962
2007-07,949.579623737636
2007-08,949.5262948867206
2007-09,1003.6776726113735
2007-10,1047.0315357695795
2007-11,1000.0
2007-12,991.8151923648786
2008-01,907.4263068966275
2008-02,910.0363302020314
2008-03,898.1380062967421
2008-04,946.8952139061266
2008-05,961.6911355822763
2008-06,881.8472122399793
2008-07,859.6408418457384
2008-08,842.2813303610943
2008-09,735.9119956684892
2008-10,586.2133047335412
2008-11,544.2114342221732
2008-12,560.7252809854647
2009-01,511.36649849237386
2009-02,462.97003875291426
2009-03,504.42107001727703
2009-04,565.1497629284402
2009-05,621.4842388326249
2009-06,616.596914547935
2009-07,673.6701030161107
2009-08,697.5866765265965
2009-09,734.1436079787584
2009-10,723.4177909409844
2009-11,756.3741030512998
2009-12,772.8350097030249
2010-01,735.1174412706879
2010-02,744.7534036929922
2010-03,793.7760727454429
2010-04,795.3512602214573
2010-05,718.8835515249799
2010-06,696.0514428749447
2010-07,755.7864486618719
2010-08,728.6267955592521
2010-09,801.7929802105575
2010-10,831.943603258375
2010-11,810.2415137312252
2010-12,869.239677428172
2011-01,883.9982501091638
2011-02,907.9685780607392
2011-03,914.9615572216948
2011-04,955.315589299197
2011-05,934.3105863524866
2011-06,917.2918066098849
2011-07,898.3115608546304
2011-08,833.441988611492
2011-09,749.1486317422975
2011-10,837.0566407708692
2011-11,813.0247957428128
2011-12,810.6413245792319
2012-01,858.4952722171246
2012-02,901.5901859910666
2012-03,907.1120194633377
2012-04,898.3396534761807
2012-05,817.8880164209895
2012-06,857.9645087974824
2012-07,872.4057745329709
2012-08,893.4206383189237
2012-09,922.1667984002924
2012-10,916.870568910237
2012-11,927.8451688359139
2012-12,946.6807699497562
2013-01,991.1020120941289
2013-02,988.8387578286585
2013-03,1004.3902329495677
2013-04,1028.1199430999402
2013-05,1030.4868948705296
2013-06,996.1831117386361
2013-07,1047.618576277807
2013-08,1025.8459636179546
2013-09,1075.9516997220658
2013-10,1122.9408750363853
2013-11,1138.793345782936
2013-12,1159.3604713595785
2014-01,1113.0852082070467
2014-02,1171.810349297138
2014-03,1178.766934942546
2014-04,1193.4788759178643
2014-05,1217.3610057324847
2014-06,1237.0903334028553
2014-07,1220.4381657791428
2014-08,1251.6098014674187
2014-09,1208.7165397900278
2014-10,1218.9522699009483
2014-11,1240.4029240050604
2014-12,1215.916650065488
2015-01,1193.1782339535903
2015-02,1259.035427396115
2015-03,1236.3593218900417
2015-04,1271.6047361244764
