Date,ZHONG HUA WITH PARTIAL A SHARES
2008-11,1076.0928919625005
2008-12,1162.504083675742
2009-01,1101.7736884891233
2009-02,1061.8672587915464
2009-03,1176.2559609049804
2009-04,1325.8367376294948
2009-05,1554.8984109161674
2009-06,1594.7842374583636
2009-07,1783.3333152351236
2009-08,1651.5176282342745
2009-09,1746.9367063966545
2009-10,1840.6127498726557
2009-11,1867.9112071749282
2009-12,1885.927161750236
2010-01,1733.634557177445
2010-02,1782.465090278284
2010-03,1879.193901243933
2010-04,1859.7519888989193
2010-05,1751.4528833627328
2010-06,1780.956901553234
2010-07,1869.2095211269714
2010-08,1838.0447292353629
2010-09,2028.4445559119001
2010-10,2101.328862142377
2010-11,2079.852509723809
2010-12,2074.368220370046
2011-01,2077.2748903619663
2011-02,2031.1805291881597
2011-03,2110.962617916038
2011-04,2151.054452124123
2011-05,2159.7935775424908
2011-06,2080.492224246631
2011-07,2081.7326254594773
2011-08,1910.539343180505
2011-09,1594.4342660218867
2011-10,1819.1405007434066
2011-11,1673.6496142884514
2011-12,1711.096214731064
2012-01,1885.9727184893763
2012-02,2020.2239330368375
2012-03,1895.7951701756301
2012-04,1947.7363520465544
2012-05,1749.9094232553148
2012-06,1797.2208906954336
2012-07,1832.6954033306333
2012-08,1797.1849869283528
2012-09,1922.2392520891954
2012-10,2002.7851915831443
2012-11,2046.8603107342858
2012-12,2126.2665078790483
2013-01,2226.6267742635614
2013-02,2164.830133598733
2013-03,2086.3444061521354
2013-04,2119.771136041285
2013-05,2101.0622247479446
2013-06,1960.4382204385126
2013-07,2038.3289703433463
2013-08,2064.261884328058
2013-09,2175.861507770722
2013-10,2227.017687229805
2013-11,2307.3263511697032
2013-12,2256.394933641114
2014-01,2116.318989085816
2014-02,2182.425063863586
2014-03,2139.5415808732178
2014-04,2124.155654540691
2014-05,2222.1095641866195
2014-06,2274.9737457659417
2014-07,2446.946202880065
2014-08,2443.8606698500844
2014-09,2286.717558697699
2014-10,2402.169896139514
2014-11,2437.5742897218797
2014-12,2436.0450312222106
2015-01,2509.173338089284
2015-02,2560.8306168144704
2015-03,2625.907886294855
2015-04,3019.4960754346125
2015-05,2946.6986397386872
2015-06,2796.033884619997
2015-07,2560.5642934196217
2015-08,2247.9375357344593
2015-09,2202.6487278906984
2015-10,2402.2748443802425
2015-11,2325.7190177902785
2015-12,2306.854044771397
2016-01,2020.9630095825694
2016-02,1988.040629305311
2016-03,2213.652668937761
2016-04,2216.5179962456714
2016-05,2201.584027118502
2016-06,2223.0870294478655
2016-07,2319.9610462329506
2016-08,2450.639078536139
2016-09,2515.7901438577446
2016-10,2474.1010016549694
2017-04,2701.435319
2017-05,2824.280451
2017-06,2878.583426
2017-07,3090.614409
2017-08,3201.358765
2017-09,3225.028332
2017-10,3323.809849
2017-11,3382.035936
2017-12,3456.493882
2018-01,3820.09882
2018-02,3602.474365
2018-03,3495.067059251231
2018-04,3519.1130530444334
2018-05,3574.412915176524
2018-06,3387.7965817677596
2018-07,3335.3660393183286
2018-08,3219.698977296732
2018-09,3183.447827406467
2018-10,2821.104583228889
2018-11,3027.7125093760424
2018-12,2888.5778482794735
2019-01,3183.693269095993
2019-02,3313.794529766602
2019-03,3386.278272892304
2019-04,3452.071781700866
2019-05,3054.9750807810055
2019-06,3292.6354584769792
2019-07,3251.1419999036584
2019-08,3084.3549417869544
2019-09,3078.3243053177657
2019-10,3208.27339926251
2019-11,3245.5443034647697
2019-12,3485.420125952441
2020-01,3313.879260148131
2020-02,3332.1569455240733
2020-03,3075.1685931194856
2020-04,3273.8920070989634
2020-05,3211.534555369385
2020-06,3507.5608174646272
2020-07,3762.421453950709
2020-08,3991.5231193836403
2020-09,3871.720909864563
2020-10,4043.9099730996204
2020-11,4195.473733956546
2020-12,4308.441948344262
