Date,ACWI ex THAILAND
1998-12,1000.0
1999-01,1019.7342593576755
1999-02,993.6617107916024
1999-03,1038.8750474199117
1999-04,1082.964015521755
1999-05,1045.1165650919418
1999-06,1097.0415272035389
1999-07,1092.1078082420038
1999-08,1090.8290808166432
1999-09,1079.1136062987089
1999-10,1132.822886547835
1999-11,1167.5606779059633
1999-12,1264.143291889428
2000-01,1195.0689838104777
2000-02,1199.1786878448509
2000-03,1278.1597992825357
2000-04,1220.5875565527801
2000-05,1189.685333063871
2000-06,1229.607791149809
2000-07,1193.015011832166
2000-08,1230.1678370970994
2000-09,1162.3359801458723
2000-10,1138.9482226693192
2000-11,1067.9661216234308
2000-12,1085.2716244428839
2001-01,1112.381887339152
2001-02,1018.6118323118172
2001-03,949.818309660686
2001-04,1018.6330505415472
2001-05,1006.6650858334925
2001-06,975.2189806641495
2001-07,960.0039190525737
2001-08,915.3852621128924
2001-09,831.6382300380463
2001-10,849.209270100842
2001-11,901.1177547835912
2001-12,909.3859697982502
2002-01,884.1486342469805
2002-02,877.3172208143641
2002-03,916.6534062194062
2002-04,887.2400056241856
2002-05,887.835890038241
2002-06,833.3198676918538
2002-07,763.237412595349
2002-08,764.9531693217131
2002-09,680.7940515942225
2002-10,730.7167612440991
2002-11,770.431778975776
2002-12,733.4433315216452
2003-01,711.7807681473752
2003-02,699.0399459249419
2003-03,696.0041441012054
2003-04,757.7200693207611
2003-05,801.257604622115
2003-06,816.1946339808607
2003-07,834.0509921281017
2003-08,853.4871712996064
2003-09,858.6224897432842
2003-10,910.4600161155089
2003-11,924.0621761097805
2003-12,982.1476088332714
2004-01,998.8862302435496
2004-02,1016.9681954983861
2004-03,1011.2053743111198
2004-04,987.4333474368599
2004-05,995.1234164844159
2004-06,1014.8266543381482
2004-07,982.3606360543731
2004-08,988.3638849010451
2004-09,1008.8630532709869
2004-10,1033.5576905063451
2004-11,1089.8329606522364
2004-12,1131.9865455689771
2005-01,1107.886472888617
2005-02,1146.2034867373575
2005-03,1121.0722874702124
2005-04,1096.3544193221167
2005-05,1116.8734286512722
2005-06,1128.1753113415616
2005-07,1169.929741953917
2005-08,1178.7500163981726
2005-09,1214.2003609780952
2005-10,1181.560350839539
2005-11,1224.6497450570823
2005-12,1254.6692103347489
2006-01,1316.3034763573646
2006-02,1314.4266549143847
2006-03,1342.1369094884242
2006-04,1386.7224616214892
2006-05,1332.1425210157367
2006-06,1331.632547338689
2006-07,1340.6584996144663
2006-08,1375.4204879205654
2006-09,1391.4491703145923
2006-10,1443.5768478009702
2006-11,1484.3509770766273
2006-12,1517.7128651526764
2007-01,1532.8291491499547
2007-02,1524.6304929657747
2007-03,1555.3052982144245
2007-04,1624.3181604516806
2007-05,1672.5476090074771
2007-06,1667.5284290075144
2007-07,1641.7258053159155
2007-08,1637.3226877568839
2007-09,1725.2135884830377
2007-10,1792.3543645572174
2007-11,1713.1662203393178
2007-12,1694.119363630819
2008-01,1555.320509494936
2008-02,1559.3966874780167
2008-03,1536.54564462594
2008-04,1622.364547304468
2008-05,1647.845646607498
2008-06,1512.6097807122173
2008-07,1473.5793367160347
2008-08,1441.7389332041428
2008-09,1261.5476944766629
2008-10,1011.8059574760609
2008-11,945.3061183677352
2008-12,979.4598293470284
2009-01,895.713389091799
2009-02,807.9379895978523
2009-03,874.5477673409162
2009-04,977.6958359718453
2009-05,1075.0155808258253
2009-06,1068.8173464333477
2009-07,1162.988040704437
2009-08,1204.59910757753
2009-09,1259.709957035491
2009-10,1240.3503247096846
2009-11,1291.428003050603
2009-12,1318.0558910653908
2010-01,1261.1284854233202
2010-02,1277.1200930503155
2010-03,1359.0902276246868
2010-04,1361.4597447475026
2010-05,1232.2111283450042
2010-06,1194.0962934592644
2010-07,1291.3020807872906
2010-08,1245.8314163770292
2010-09,1364.8907573045867
2010-10,1414.273614325464
2010-11,1382.7236878814463
2010-12,1484.1015868365525
2011-01,1507.7546930231467
2011-02,1551.577854903459
2011-03,1549.7486854071444
2011-04,1613.057758997216
2011-05,1578.4695073893706
2011-06,1553.686457607089
2011-07,1527.9263017747153
2011-08,1416.3116898043224
2011-09,1282.8715168454355
2011-10,1420.2706598958414
2011-11,1377.749505241464
2011-12,1374.8849561833308
2012-01,1454.7422907476184
2012-02,1527.6725720167458
2012-03,1537.858440845056
2012-04,1520.087028832233
2012-05,1383.904321846678
2012-06,1452.3247077916794
2012-07,1472.156019678087
2012-08,1504.2392988157299
2012-09,1551.4299951851785
2012-10,1541.1282239901966
2012-11,1560.828274159831
2012-12,1595.9951701854902
2013-01,1669.4531816951792
2013-02,1669.0583205471887
2013-03,1699.5882856539756
2013-04,1748.1237542422664
2013-05,1743.7145275061353
2013-06,1692.8656700765118
2013-07,1774.3266355473193
2013-08,1737.8210849043203
2013-09,1827.3682789540053
2013-10,1900.6884785249088
2013-11,1928.1541596557647
2013-12,1961.8876329160307
2014-01,1883.3210362118155
2014-02,1974.319646078319
2014-03,1982.8922843012506
2014-04,2001.6145653355452
2014-05,2044.4474845173563
2014-06,2082.7133621136863
2014-07,2057.308123567855
2014-08,2102.591023298213
2014-09,2034.2099288607867
2014-10,2048.5991854920776
2014-11,2082.8881325450234
2014-12,2042.9731003564466
2015-01,2010.7862629151427
2015-02,2122.986215264459
2015-03,2090.092319524096
2015-04,2150.8866317521
2015-05,2148.273770247621
2015-06,2097.560164643181
2015-07,2116.2098849763197
2015-08,1971.094413892155
2015-09,1899.754252192707
2015-10,2048.954802129929
2015-11,2032.1576566234044
2015-12,1995.758106411352
2016-01,1874.9986812702527
2016-02,1861.884400792322
2016-03,1999.8634370728587
2016-04,2029.4212781927245
2016-05,2031.9817562645655
