Date,ZHONG HUA WITH CHINA ALL SHARES
2008-11,1057.5726055198097
2008-12,1117.9440667712265
2009-01,1090.0669740767582
2009-02,1069.9138451612926
2009-03,1192.9757938206144
2009-04,1323.081506724212
2009-05,1511.200831739517
2009-06,1596.8193779111436
2009-07,1810.0320232415932
2009-08,1599.115451188341
2009-09,1693.215706870074
2009-10,1793.6047858637562
2009-11,1838.8079352195182
2009-12,1860.9982842568838
2010-01,1694.0714774636422
2010-02,1737.6060186209336
2010-03,1818.5280180937912
2010-04,1769.1527460989491
2010-05,1651.3300437425407
2010-06,1654.4063233891154
2010-07,1757.1900257645111
2010-08,1731.488110031744
2010-09,1882.7694410404717
2010-10,1995.1321285957356
2010-11,1946.6016216913342
2010-12,1948.3211395470055
2011-01,1947.6856958150724
2011-02,1929.554592164449
2011-03,1990.9582289884656
2011-04,2023.028609979356
2011-05,2007.5779900162263
2011-06,1960.3509620714121
2011-07,1951.1711232199066
2011-08,1809.4835955606402
2011-09,1542.3819934363198
2011-10,1727.8632303785798
2011-11,1594.5126865780599
2011-12,1608.0050754770218
2012-01,1754.3892795974643
2012-02,1875.0015965867678
2012-03,1757.7131485152333
2012-04,1820.0577285044046
2012-05,1670.5494534932784
2012-06,1688.1199284330899
2012-07,1698.830360952738
2012-08,1653.564313905319
2012-09,1761.1872512666534
2012-10,1813.4392264742694
2012-11,1825.3533358991824
2012-12,1954.990424529903
2013-01,2052.1496371266176
2013-02,2006.1478544059182
2013-03,1918.377811798292
2013-04,1934.9084669898086
2013-05,1954.8566625285212
2013-06,1783.4222580506676
2013-07,1838.0423302290023
2013-08,1882.4596094666645
2013-09,1977.2123612088394
2013-10,2004.9900201953947
2013-11,2074.517163587838
2013-12,2020.5758443811962
2014-01,1899.8506595420283
2014-02,1929.8141153907377
2014-03,1888.6769375831605
2014-04,1877.3012698961882
2014-05,1942.3148045135529
2014-06,1986.9095099672827
2014-07,2150.2897752592626
2014-08,2147.7968589690977
2014-09,2069.0919453605397
2014-10,2162.5395453232773
2014-11,2250.62832902344
2014-12,2411.4141286510103
2015-01,2433.500756522341
2015-02,2498.146613608518
2015-03,2672.5721391576217
2015-04,3113.0706348113204
2015-05,3091.465254235803
2015-06,2896.9565993171213
2015-07,2582.355038679585
2015-08,2247.1452717937304
2015-09,2175.389073706154
2015-10,2393.660674738852
2015-11,2341.5370518061814
2015-12,2344.3488414036333
2016-01,1952.172331595322
2016-02,1919.5642683445603
2016-03,2153.453791934311
2016-04,2132.8320295735402
2016-05,2111.9762893169764
2016-06,2124.4514283477247
2016-07,2204.1819737871333
2016-08,2311.226116832383
2016-09,2332.4779825844325
2016-10,2314.552751105827
2016-11,2324.106024723227
2016-12,2197.413793276303
2017-01,2321.4130826313203
2017-02,2389.5993177883183
2017-03,2422.977669099025
2017-04,2461.035982829548
2017-05,2547.2888745749046
2017-06,2631.028337894445
2017-07,2792.823761814078
2017-08,2897.7877158580136
2017-09,2912.5068486572
2017-10,3008.0274468703974
2017-11,3020.5342165719694
2017-12,3084.7192900117257
2018-01,3389.9163260062533
2018-02,3185.7014390403533
2018-03,3095.829871033797
2018-04,3063.974239964746
2018-05,3089.010321015738
2018-06,2880.269337566634
2018-07,2831.746838155923
2018-08,2712.0678382688407
2018-09,2708.693328623636
2018-10,2411.912538333234
2018-11,2546.436152394391
2018-12,2441.068918003737
2019-01,2679.0729055004094
2019-02,2865.4249460935025
2019-03,2956.1584067326808
2019-04,2997.314658827568
2019-05,2676.2695227959653
2019-06,2866.7842355208622
2019-07,2846.5669727526883
2019-08,2713.660395329692
2019-09,2713.8623119252125
2019-10,2818.4809866207183
2019-11,2829.6836237666266
2019-12,3045.4952673816406
2020-01,2938.7417360740264
2020-02,2935.3067039254706
2020-03,2712.9635735921784
2020-04,2894.2222833798965
2020-05,2840.0880082692433
2020-06,3109.751412662232
2020-07,3417.81915523058
2020-08,3607.0883098721492
2020-09,3476.7474112983896
2020-10,3620.279217846618
2020-11,3787.9015439398895
2020-12,3948.9329740805947
2021-01,4179.7261940300305
2021-02,4159.9914848690805
2021-03,3924.4558977854003
2021-04,4018.49114954232
2021-05,4124.912291094288
2021-06,4099.506104781331
2021-07,3677.118878247461
2021-08,3681.70569891334
2021-09,3568.782037696247
2021-10,3662.7415417886878
2021-11,3521.185965
2021-12,3474.7235389909742
2022-01,3311.288038574312
2022-02,3265.187627194753
2022-03,3021.3833937864383
2022-04,2836.2485966198146
2022-05,2890.9234598250637
2022-06,3096.354124855116
2022-07,2860.720697934901
2022-08,2808.6821170992357
2022-09,2468.9776593555334
2022-10,2138.5981658899486
2022-11,2601.3037743921436
2022-12,2717.3007496412583
2023-01,2995.7795908472285
2023-02,2763.6806877441495
2023-03,2831.020219840536
2023-04,2734.3496266272055
2023-05,2514.915477521682
2023-06,2565.5552108018423
2023-07,2779.565531686822
