Date,EM ASIA ESG SCREENED
2012-05,1000.0
2012-06,1023.7966001270316
2012-07,1046.6107117048011
2012-08,1039.773632557246
2012-09,1114.9956868937106
2012-10,1109.7869945430332
2012-11,1145.1758422925939
2012-12,1184.8626975671818
2013-01,1198.68273455594
2013-02,1200.1613487124073
2013-03,1171.8708427927666
2013-04,1192.7518251367162
2013-05,1186.34272809708
2013-06,1116.5946196739349
2013-07,1131.3260169647658
2013-08,1119.0821157819153
2013-09,1178.088443915445
2013-10,1235.1028195261258
2013-11,1236.6332726211367
2013-12,1220.3549859128077
2014-01,1162.2490163115317
2014-02,1198.672952461933
2014-03,1211.721073036686
2014-04,1214.0377882777707
2014-05,1263.131886762385
2014-06,1298.0881011525967
2014-07,1342.1733106789688
2014-08,1357.8614695721276
2014-09,1282.7569187779616
2014-10,1303.5784370356414
2014-11,1308.8821045633515
2014-12,1285.608858662936
2015-01,1318.7878399659173
2015-02,1352.1517811111366
2015-03,1359.3680610693966
2015-04,1456.3886753974828
2015-05,1418.1539066805647
2015-06,1361.1051851656036
2015-07,1259.520221788349
2015-08,1143.3410424777016
2015-09,1126.7553327159906
2015-10,1216.4583197446009
2015-11,1178.2546788511713
2015-12,1169.917302713457
2016-01,1082.99499870907
2016-02,1067.8666213818651
2016-03,1189.8269965108682
2016-04,1171.9997195064757
2016-05,1157.9634383577188
2016-06,1188.7211930712238
2016-07,1247.9658881054854
2016-08,1300.7925097222153
2016-09,1319.7284641625447
2016-10,1300.2341366103421
2016-11,1257.7216942757511
2016-12,1238.6124702436155
2017-01,1312.417461424288
2017-02,1361.0003885078952
2017-03,1406.9901807437736
2017-04,1437.4477933299243
2017-05,1505.1791837657784
2017-06,1533.2424465377562
2017-07,1621.8995107410117
2017-08,1645.5315670267917
2017-09,1647.631428516889
2017-10,1735.6096344213224
2017-11,1737.5518493139787
2017-12,1785.0431603811219
2018-01,1929.755857575264
2018-02,1826.885854554083
2018-03,1803.6550704642618
2018-04,1804.6537925218634
2018-05,1780.993931052222
2018-06,1698.8525634275552
2018-07,1708.7301184974676
2018-08,1694.9937509266754
2018-09,1667.2474003607597
2018-10,1481.5025935501737
2018-11,1557.8358728212545
2018-12,1506.589831812678
2019-01,1620.5305250051626
2019-02,1649.2585286848482
2019-03,1680.5730400935845
2019-04,1712.993276918344
2019-05,1558.6357341571397
2019-06,1659.2649966861295
2019-07,1634.376822669082
2019-08,1574.0597029654557
2019-09,1605.667994639243
2019-10,1679.4356383742472
2019-11,1691.0657194821938
2019-12,1813.0518342705686
2020-01,1732.4817048550765
2020-02,1687.1861350918148
2020-03,1490.6577289027327
2020-04,1627.695510892564
2020-05,1622.2664770990102
2020-06,1758.8289917254888
2020-07,1930.5667530100384
2020-08,1993.156914734937
2020-09,1972.0443902536178
2020-10,2038.230012951595
2020-11,2187.22923376044
2020-12,2340.4230843618593
2021-01,2444.0610585516165
2021-02,2465.845923067206
2021-03,2391.475972060247
2021-04,2449.662991054843
2021-05,2478.4440567311226
2021-06,2482.7680047403474
2021-07,2277.874382429942
2021-08,2334.3965109579594
2021-09,2233.343634199778
2021-10,2262.7558038349775
2021-11,2179.333762
2021-12,2209.5848806844087
2022-01,2132.4758179645446
2022-02,2079.6749181247933
2022-03,2011.4361275964923
2022-04,1906.2430076436392
2022-05,1914.4390901964514
2022-06,1821.8578700319304
2022-07,1795.9388059715752
2022-08,1798.7034935861104
2022-09,1558.2796146478993
2022-10,1464.6876934994232
2022-11,1745.0680569350914
2022-12,1732.6798100939434
2023-01,1887.215189069978
2023-02,1755.6047856327777
2023-03,1818.572458936094
2023-04,1770.6555527890778
2023-05,1755.1885499091923
2023-06,1801.6942666708105
2023-07,1911.3539908484267
