Date,WORLD ex UK
1969-12,100.0
1970-01,93.985662
1970-02,97.794782
1970-03,97.891007
1970-04,88.830276
1970-05,83.115812
1970-06,80.521851
1970-07,85.721657
1970-08,88.865437
1970-09,91.499459
1970-10,90.03476
1970-11,92.969015
1970-12,97.456648
1971-01,102.380128
1971-02,103.76068
1971-03,107.886725
1971-04,110.564162
1971-05,107.233529
1971-06,108.240625
1971-07,105.578436
1971-08,107.983071
1971-09,106.826964
1971-10,102.626096
1971-11,103.287764
1971-12,112.741771
1972-01,116.634004
1972-02,120.814148
1972-03,122.632042
1972-04,124.024597
1972-05,127.072078
1972-06,125.004393
1972-07,126.479257
1972-08,130.339783
1972-09,129.522851
1972-10,130.717542
1972-11,137.38186
1972-12,140.243888
1973-01,141.437199
1973-02,142.338598
1973-03,142.565903
1973-04,134.685943
1973-05,133.908235
1973-06,134.876145
1973-07,139.247549
1973-08,133.60513
1973-09,137.615614
1973-10,138.725243
1973-11,120.960085
1973-12,120.437308
1974-01,121.854627
1974-02,123.230143
1974-03,121.509496
1974-04,118.678884
1974-05,114.448374
1974-06,111.368968
1974-07,104.806486
1974-08,95.032925
1974-09,86.307243
1974-10,94.890674
1974-11,94.162773
1974-12,92.411544
1975-01,103.969419
1975-02,111.889181
1975-03,113.527624
1975-04,117.294904
1975-05,119.976595
1975-06,123.156693
1975-07,116.269048
1975-08,113.313413
1975-09,108.30807
1975-10,115.862022
1975-11,119.463952
1975-12,119.140138
1976-01,129.700856
1976-02,129.010947
1976-03,131.271732
1976-04,130.241268
1976-05,128.92465
1976-06,133.151667
1976-07,132.106747
1976-08,132.204871
1976-09,134.286523
1976-10,130.26666
1976-11,129.102823
1976-12,137.811141
1977-01,132.128723
1977-02,131.295963
1977-03,130.119707
1977-04,131.323862
1977-05,129.158771
1977-06,134.088696
1977-07,132.312866
1977-08,131.632663
1977-09,132.462068
1977-10,129.782746
1977-11,132.230077
1977-12,134.29873
1978-01,130.317223
1978-02,129.89335
1978-03,135.98775
1978-04,142.654958
1978-05,144.099539
1978-06,145.794434
1978-07,155.920976
1978-08,159.43542
1978-09,161.247098
1978-10,157.450112
1978-11,152.059029
1978-12,157.022624
1979-01,161.482204
1979-02,156.972863
1979-03,161.800272
1979-04,160.67392
1979-05,158.853686
1979-06,163.842584
1979-07,165.039693
1979-08,171.913986
1979-09,175.83438
1979-10,163.266732
1979-11,168.057028
1979-12,172.999199
1980-01,182.622437
1980-02,181.656988
1980-03,162.570467
1980-04,172.941881
1980-05,182.151662
1980-06,189.450467
1980-07,195.179029
1980-08,198.870578
1980-09,204.848571
1980-10,209.53168
1980-11,219.682194
1980-12,215.400412
1981-01,208.602753
1981-02,209.956703
1981-03,217.862146
1981-04,217.422064
1981-05,214.461354
1981-06,214.841996
1981-07,211.506429
1981-08,206.19205
1981-09,192.576452
1981-10,198.071636
1981-11,210.872023
1981-12,206.753083
1982-01,202.548207
1982-02,190.483777
1982-03,184.481975
1982-04,193.946755
1982-05,187.971728
1982-06,179.800401
1982-07,176.605194
1982-08,190.430495
1982-09,190.501392
1982-10,204.534772
1982-11,216.965266
1982-12,227.205917
1983-01,232.72522
1983-02,237.870796
1983-03,246.608945
1983-04,262.841352
1983-05,259.370287
1983-06,268.007396
1983-07,263.610527
1983-08,265.310345
1983-09,271.116886
1983-10,268.009029
1983-11,274.503444
1983-12,278.228243
1984-01,279.810035
1984-02,273.852915
1984-03,286.890232
1984-04,285.848508
1984-05,265.075462
1984-06,267.364203
1984-07,258.456093
1984-08,284.328235
1984-09,283.515988
1984-10,286.824695
1984-11,285.157572
1984-12,290.997514
1985-01,307.995646
1985-02,309.832327
1985-03,317.640586
1985-04,315.944992
1985-05,332.108892
1985-06,339.457375
1985-07,343.39332
1985-08,344.655582
1985-09,348.577995
1985-10,365.474531
1985-11,385.007194
1985-12,406.343488
1986-01,412.770559
1986-02,445.3
1986-03,489.043
1986-04,500.916
1986-05,503.170767
1986-06,521.425435
1986-07,530.022633
1986-08,577.269507
1986-09,556.247835
1986-10,544.921844
1986-11,568.080666
1986-12,577.73216
1987-01,645.613859
1987-02,661.962463
1987-03,703.487411
1987-04,744.031428
1987-05,741.123759
1987-06,737.941857
1987-07,752.451614
1987-08,802.943084
1987-09,783.492424
1987-10,653.961395
1987-11,639.176436
1987-12,661.89875
1988-01,679.939335
1988-02,723.33034
1988-03,743.787974
1988-04,751.944935
1988-05,737.332836
1988-06,738.287152
1988-07,752.566209
1988-08,711.853671
1988-09,741.416953
1988-10,789.683835
1988-11,818.658672
1988-12,827.775126
1989-01,851.991996
1989-02,847.959374
1989-03,841.294797
1989-04,861.165315
1989-05,843.314482
1989-06,832.155412
1989-07,923.195277
1989-08,900.527576
1989-09,928.500457
1989-10,902.358278
1989-11,937.116273
1989-12,961.54839
1990-01,911.738638
1990-02,871.002984
