Date,ACWI ex SWEDEN
1998-12,1000.0
1999-01,1019.2745561064727
1999-02,993.131896765602
1999-03,1038.6309984187442
1999-04,1082.8632649954689
1999-05,1044.8619074861367
1999-06,1096.476754913752
1999-07,1090.8012521142357
1999-08,1089.517672948161
1999-09,1077.4465999761305
1999-10,1130.5106981773515
1999-11,1164.2987976051813
1999-12,1259.362036648315
2000-01,1189.626008082147
2000-02,1189.6829732321717
2000-03,1270.3557714224942
2000-04,1212.2920902528792
2000-05,1181.6808946857127
2000-06,1222.2501908200263
2000-07,1185.7551852551317
2000-08,1223.5738502374174
2000-09,1157.2702716083816
2000-10,1134.6962579431186
2000-11,1064.5797856826998
2000-12,1081.6002111276393
2001-01,1108.1574871460555
2001-02,1015.8930738273464
2001-03,949.0042574629105
2001-04,1017.0310807593786
2001-05,1005.5468407338075
2001-06,974.4128835261512
2001-07,958.9058578932455
2001-08,914.6262399431779
2001-09,831.4843564902844
2001-10,848.5932825996642
2001-11,899.8436400053708
2001-12,907.9216258205453
2002-01,883.4488234032957
2002-02,876.4600754696984
2002-03,915.7715414186133
2002-04,886.9759065784278
2002-05,887.7761301853859
2002-06,833.0370553128774
2002-07,763.3890324615425
2002-08,765.1162841110283
2002-09,681.2791041917786
2002-10,730.836195817387
2002-11,770.0500395682667
2002-12,733.4814561590714
2003-01,711.7787617013194
2003-02,698.9664795889872
2003-03,696.0595017607915
2003-04,757.1173597799315
2003-05,800.748892612801
2003-06,815.8149497345466
2003-07,833.3827911978003
2003-08,852.9143966798513
2003-09,857.9173798760498
2003-10,909.5237509099456
2003-11,922.9584477109594
2003-12,981.0848394491858
2004-01,997.4689580163829
2004-02,1015.2005926135146
2004-03,1009.5042531792305
2004-04,985.5912694282131
2004-05,993.1633137390469
2004-06,1012.7051929953617
2004-07,980.4365243885521
2004-08,986.3121099970052
2004-09,1006.2368539173366
2004-10,1030.9343976149898
2004-11,1086.374898489307
2004-12,1128.6387717119756
2005-01,1105.0252004388713
2005-02,1142.9784746667383
2005-03,1117.9359228546668
2005-04,1093.3243995152418
2005-05,1113.6232099892964
2005-06,1125.0990639659294
2005-07,1166.4970010081117
2005-08,1175.3681981802981
2005-09,1210.5751601799445
2005-10,1178.3278231988816
2005-11,1221.4755044236867
2005-12,1250.9900011900036
2006-01,1312.4833817856825
2006-02,1310.5874491136321
2006-03,1337.30714986653
2006-04,1381.6528704193809
2006-05,1327.5600412317233
2006-06,1326.9372991873815
2006-07,1336.2898872094268
2006-08,1370.7615931305265
2006-09,1386.246722492195
2006-10,1437.8645446649628
2006-11,1478.326076133064
2006-12,1510.3309319276075
2007-01,1525.3121514520794
2007-02,1517.729715009488
2007-03,1547.487415930738
2007-04,1614.9329486817742
2007-05,1663.7954619206473
2007-06,1659.1221420764077
2007-07,1633.4332652112716
2007-08,1629.734217878297
2007-09,1716.9321640401445
2007-10,1785.1594255097014
2007-11,1706.9361047294565
2007-12,1688.3230396687381
2008-01,1550.642220481
2008-02,1554.0162428500753
2008-03,1530.6197805484737
2008-04,1616.2840499236347
2008-05,1641.4492557648252
2008-06,1507.870816861036
2008-07,1468.4645743255246
2008-08,1437.1255627957496
2008-09,1258.3339365153129
2008-10,1009.7417258178153
2008-11,943.1737790808779
2008-12,977.1775418596036
2009-01,893.9107996600248
2009-02,805.9115640765283
2009-03,872.2197926004957
2009-04,974.1575013824122
2009-05,1071.374404241924
2009-06,1065.3325747348438
2009-07,1158.1475427585078
2009-08,1199.338449711654
2009-09,1254.8444113177993
2009-10,1234.6407207231593
2009-11,1285.990489126443
2009-12,1313.0312381559015
2010-01,1256.046517073046
2010-02,1271.82592840321
2010-03,1353.524615915252
2010-04,1355.11669244081
2010-05,1227.3299503564867
2010-06,1188.7224408299664
2010-07,1284.9496665913866
2010-08,1240.3869072626185
2010-09,1357.729853537789
2010-10,1407.3456976854288
2010-11,1376.129499878622
2010-12,1476.442242025011
2011-01,1499.2379275294982
2011-02,1543.5342510898788
2011-03,1541.5790323698059
