Date,ACWI ex TURKEY
1998-12,1000.0
1999-01,1019.7980021793496
1999-02,993.3279871364282
1999-03,1038.4577959699104
1999-04,1082.8503500021561
1999-05,1045.069531390333
1999-06,1097.3301371724915
1999-07,1091.9844620785525
1999-08,1090.865013006444
1999-09,1078.6524101860928
1999-10,1132.4517488268164
1999-11,1166.9570617530671
1999-12,1262.633583584036
2000-01,1193.4278213185553
2000-02,1197.2345732816568
2000-03,1276.4781697912554
2000-04,1218.2202050412234
2000-05,1187.4387292284448
2000-06,1227.7177139929697
2000-07,1191.031393933409
2000-08,1228.5231952850472
2000-09,1160.8728564543717
2000-10,1137.152223251493
2000-11,1066.9580133835605
2000-12,1084.079558632207
2001-01,1111.1838839159352
2001-02,1018.150802275007
2001-03,949.4065123579878
2001-04,1017.8309247033037
2001-05,1006.026882576027
2001-06,974.6765358507632
2001-07,959.5344376280224
2001-08,915.1236801626331
2001-09,831.501219581194
2001-10,848.9135745179963
2001-11,900.7457380403814
2001-12,908.8707311125822
2002-01,883.7086895661203
2002-02,877.0994274891876
2002-03,916.3543376200284
2002-04,886.96786909819
2002-05,887.7642716852549
2002-06,833.3155979213263
2002-07,763.2137594748992
2002-08,764.9289335756596
2002-09,680.7740651513034
2002-10,730.6757927754632
2002-11,770.2549573391924
2002-12,733.4079289878971
2003-01,711.7611501244361
2003-02,698.976746710576
2003-03,696.0573609509042
2003-04,757.674394916117
2003-05,801.2332300498555
2003-06,816.2435652991358
2003-07,834.1227825375848
2003-08,853.5832512219278
2003-09,858.7210425193798
2003-10,910.5209268347519
2003-11,924.1806439826493
2003-12,982.3996062020242
2004-01,999.033013955436
2004-02,1017.0599273236983
2004-03,1011.1644527221745
2004-04,987.5354604827859
2004-05,995.2800875871103
2004-06,1014.9269298211741
2004-07,982.3773395549593
2004-08,988.3561831381547
2004-09,1008.8317306690823
2004-10,1033.4498205828968
2004-11,1089.8159298686571
2004-12,1131.8381333953373
2005-01,1107.7166836049894
2005-02,1146.0414339161398
2005-03,1120.9477590419035
2005-04,1096.3052025191732
2005-05,1116.6925499247452
2005-06,1127.901908231722
2005-07,1169.525004597374
2005-08,1178.3746567096857
2005-09,1213.7514041700902
2005-10,1181.1013666060155
2005-11,1223.8713354375288
2005-12,1253.9554533175856
2006-01,1315.5025775629017
2006-02,1313.4275249134837
2006-03,1341.3931354813833
2006-04,1386.002377272088
2006-05,1331.879390794004
2006-06,1331.413947981206
2006-07,1340.377492118924
