Date,EAFE VOTING RIGHTS-ADJUSTED
2007-11,939.7282867106442
2007-12,919.1277238891931
2008-01,833.3734623853084
2008-02,844.6700223490418
2008-03,834.9435048339211
2008-04,881.9797338974026
2008-05,890.6131261836874
2008-06,816.9715398767137
2008-07,789.8274148979905
2008-08,759.1978134834069
2008-09,648.3512495921044
2008-10,514.1369632656408
2008-11,488.508553089917
2008-12,517.7928580256295
2009-01,466.619563992997
2009-02,419.3423020451052
2009-03,445.0352694683908
2009-04,502.9479154906618
2009-05,563.12682125674
2009-06,559.6165738777216
2009-07,610.2886061517496
2009-08,644.5525720318388
2009-09,669.4881030559085
2009-10,660.9454176189939
2009-11,674.4101268832742
2009-12,684.2459968759416
2010-01,653.4447977899222
2010-02,648.8379625944585
2010-03,689.490037137858
2010-04,676.5179345276273
2010-05,598.6550142561159
2010-06,592.2875988686244
2010-07,649.2127999490605
2010-08,628.6191190996033
2010-09,690.0130032222867
2010-10,714.7111655873199
2010-11,679.8069653269368
2010-12,734.9973823782876
2011-01,752.4660977012024
2011-02,777.6525203137558
2011-03,759.7041741430229
2011-04,804.2870123012046
2011-05,779.7219836575949
2011-06,770.0305677399317
2011-07,757.6264887076873
2011-08,689.1111150973015
2011-09,623.9230426090413
2011-10,683.7922674688863
2011-11,650.1363568516279
2011-12,643.826294212036
2012-01,678.3569695420126
2012-02,716.859908654236
2012-03,713.4043377659744
2012-04,698.4869164095192
2012-05,618.6932467266481
2012-06,662.0253255972358
2012-07,668.9173131681662
2012-08,686.9727423033903
2012-09,707.384106710858
2012-10,712.8132944958099
2012-11,729.7247667038256
2012-12,753.0926243705829
2013-01,791.9309823743089
2013-02,784.3151658402865
2013-03,791.0989484617141
2013-04,832.4259731536409
2013-05,811.6089134420317
2013-06,782.7287363755534
2013-07,823.9386175959967
2013-08,812.7434103217563
2013-09,872.8546069398803
2013-10,902.6785784635424
2013-11,909.0803024446254
2013-12,922.5072331906691
2014-01,884.9740064553094
2014-02,932.6322394411345
2014-03,927.0243244476433
2014-04,940.8586523989726
2014-05,956.6925805832343
2014-06,965.8147057016282
2014-07,947.628915674639
2014-08,946.2282548359441
2014-09,909.2393691639382
2014-10,895.9055630685098
2014-11,907.4044963279396
2014-12,876.9984165308903
2015-01,881.1979350684002
2015-02,934.0611870866979
2015-03,918.7631025678562
2015-04,956.6299004710712
2015-05,951.7643635111009
2015-06,925.3309505857602
2015-07,944.4389216888098
2015-08,874.9664526015972
2015-09,831.0230404551778
2015-10,896.8333519164639
2015-11,882.3772456598324
2015-12,869.6047104028925
2016-01,806.9425494534458
2016-02,791.8409119319907
2016-03,844.1651223336671
2016-04,868.6530340618978
2016-05,860.5016763050055
2016-06,831.629061696542
2016-07,874.3678665731966
2016-08,876.5632048559153
2016-09,887.8779313722472
2016-10,870.9493206012227
2016-11,854.3300492119049
2016-12,883.3348011742481
2017-01,908.529678735364
2017-02,921.8066864363939
2017-03,946.8876298022171
2017-04,970.2575225839145
2017-05,1005.6374652429895
2017-06,1004.6347811400623
2017-07,1034.2855655178387
2017-08,1033.4676070780554
2017-09,1059.2160197475657
2017-10,1075.97318248761
2017-11,1086.5422224015224
2017-12,1104.296463075146
2018-01,1160.3253390119896
2018-02,1108.6254366083074
2018-03,1088.4437108602422
2018-04,1114.1459999500796
2018-05,1089.1328063107849
2018-06,1075.8360906220066
2018-07,1101.122135909619
2018-08,1079.3608177270287
2018-09,1089.3471431163769
2018-10,1001.908317927691
2018-11,1000.0
2018-12,951.2965969792486
2019-01,1014.0411041073272
2019-02,1039.3555337098692
2019-03,1045.7044992949532
2019-04,1076.0603363638522
2019-05,1024.100659761334
2019-06,1084.0548958286515
2019-07,1070.7182453179937
2019-08,1042.1780404176213
2019-09,1072.091075392956
2019-10,1109.951147377336
2019-11,1122.1580926568329
2019-12,1158.483524741298
2020-01,1133.280623518364
2020-02,1029.8550905700283
2020-03,889.0106700815604
2020-04,945.9983157637863
2020-05,987.5880821377057
2020-06,1022.24007908222
2020-07,1045.56964754736
2020-08,1099.9896551732788
2020-09,1070.3708092409327
2020-10,1028.4227368233935
2020-11,1190.4173363244752
2020-12,1245.6594352130587
2021-01,1231.9232244825
2021-02,1260.3653606335415
2021-03,1288.4567228727449
2021-04,1327.2517465421804
2021-05,1369.4445248443851
2021-06,1352.0967615687937
2021-07,1360.8607077657007
2021-08,1384.9546474613044
2021-09,1347.1332116548924
2021-10,1378.3466606229645
2021-11,1313.058914952267
2021-12,1379.711473435412
2022-01,1315.576540262874
2022-02,1292.9972973519143
2022-03,1300.7120542735213
2022-04,1216.3696070585795
2022-05,1227.9270299253321
2022-06,1112.0789723881658
2022-07,1167.5123899876214
2022-08,1112.6432127562218
2022-09,1007.1744493083332
2022-10,1062.241694091
2022-11,1182.9964365596766
2022-12,1183.502998041175
2023-01,1280.8634068436047
2023-02,1253.9083776592277
2023-03,1283.1975322151218
2023-04,1318.7244355589314
2023-05,1263.2305244043857
2023-06,1322.3022885579685
2023-07,1366.0929152151048
