Date,HONG KONG-LISTED SOUTHBOUND + CHINA A
2004-11,1000.0
2004-12,995.432153622739
2005-01,959.9208541167148
2005-02,1006.8404692558772
2005-03,946.7305646550382
2005-04,961.2444266841944
2005-05,953.4578065587747
2005-06,977.9242802879172
2005-07,1017.9894037330869
2005-08,1020.6419997037988
2005-09,1047.342662753964
2005-10,983.6265330995478
2005-11,1018.353667519906
2005-12,1037.2188098690297
2006-01,1114.7414150859422
2006-02,1141.6892882862535
2006-03,1153.8636240436838
2006-04,1212.4921773933886
2006-05,1219.1516387569436
2006-06,1234.5018040364512
2006-07,1245.8588701579508
2006-08,1278.122461143297
2006-09,1307.3873184296735
2006-10,1362.4610363110123
2006-11,1463.2126758741092
2006-12,1598.9599466370155
2007-01,1636.8504586664217
2007-02,1633.143953569455
2007-03,1703.393206866646
2007-04,1887.1645676759147
2007-05,2008.9749476021962
2007-06,2046.1436261650258
2007-07,2272.7585813029045
2007-08,2455.3731993115216
2007-09,2727.163043209686
2007-10,2967.8626651283007
2007-11,2598.6144751970924
2007-12,2687.3864057553506
2008-01,2301.3604731226997
2008-02,2402.8206289570817
2008-03,2135.7914028906935
2008-04,2321.5851182271585
2008-05,2213.4303249674763
2008-06,1894.910205004991
2008-07,1937.1236151990317
2008-08,1756.440121942217
2008-09,1536.234221464479
2008-10,1174.8397473240723
2008-11,1218.720925098192
2008-12,1246.3634438660267
2009-01,1231.3308971088045
2009-02,1227.7979576391908
2009-03,1357.2550966946594
2009-04,1506.5113625845888
2009-05,1707.7281919298882
2009-06,1811.945100749068
2009-07,2076.8385641150057
2009-08,1822.1335291228506
2009-09,1936.7696302669904
2009-10,2047.3900590967676
2009-11,2134.258786689971
2009-12,2151.87245302569
2010-01,1968.9868376679162
2010-02,2022.70376945829
2010-03,2073.3211546458206
2010-04,1998.2425782522707
2010-05,1843.4341692428857
2010-06,1803.164549754315
2010-07,1957.3915874135728
2010-08,1956.0209887069332
2010-09,2088.843226992101
2010-10,2247.7215338167734
2010-11,2184.5016870315226
2010-12,2183.8513216939746
