Date,WORLD VOTING RIGHTS-ADJUSTED
2007-11,636.2751843268035
2007-12,628.3437793446508
2008-01,580.3075785408907
2008-02,576.9986759180325
2008-03,571.3280552063536
2008-04,601.4034074198472
2008-05,610.4692745105083
2008-06,561.8143184853963
2008-07,547.8370130371218
2008-08,540.7141017482445
2008-09,475.8208510183593
2008-10,384.638160311897
2008-11,360.55801144628003
2008-12,372.0396561962757
2009-01,339.3144054524972
2009-02,304.6285277702045
2009-03,327.29879910364787
2009-04,364.1533359562326
2009-05,397.3588133250677
2009-06,395.5225505355915
2009-07,428.90388163781057
2009-08,447.0118186885336
2009-09,464.56623897144175
2009-10,456.2128743882453
2009-11,474.87832845677144
2009-12,483.1537115437233
2010-01,463.1318966023297
2010-02,469.44984813198766
2010-03,498.3808612105259
2010-04,498.26267152455927
2010-05,450.39014904180254
2010-06,434.9955209505158
2010-07,470.30396963330537
2010-08,452.76073296369253
2010-09,494.78724736336824
2010-10,512.8641159411096
2010-11,501.5627247638299
2010-12,538.5959085248268
2011-01,551.0400645533697
2011-02,570.329635858649
2011-03,564.7453414544874
2011-04,588.59202739341
2011-05,576.0007273102126
2011-06,566.733974394486
2011-07,556.0270785374165
2011-08,516.8808489829532
2011-09,472.4463051692414
2011-10,520.9700444257193
2011-11,508.1334270939706
2011-12,507.5897811840007
2012-01,533.3893068116704
2012-02,559.3189721388565
2012-03,566.439412420935
2012-04,559.6697371369014
2012-05,511.240352145622
2012-06,537.5261907661268
2012-07,544.1602258417353
2012-08,557.8081637106644
2012-09,573.1067113139745
2012-10,569.125367057358
2012-11,576.1247997829532
2012-12,586.8227090744226
2013-01,616.3522857519242
2013-02,617.0586100019992
2013-03,631.7067392773141
2013-04,651.3989552929357
2013-05,651.579108727025
2013-06,635.1257390364491
2013-07,668.5766151461776
2013-08,654.1230386012428
2013-09,686.4276703959138
2013-10,713.122710091742
2013-11,725.7959422691564
2013-12,740.8686611364546
2014-01,712.6970133471542
2014-02,747.9693513543161
2014-03,749.9896999075534
2014-04,758.4059651469707
2014-05,773.0375292502428
2014-06,786.7115250381829
2014-07,774.2604186155478
2014-08,791.3566367090741
2014-09,769.2689871011426
2014-10,774.4059910331019
2014-11,789.4975587564056
2014-12,777.0036835113082
2015-01,762.8848525264575
2015-02,807.7403568433197
2015-03,794.5357052580893
2015-04,813.9066853021238
2015-05,816.8041256541563
2015-06,797.5177535852492
2015-07,810.5969354463257
2015-08,756.7020395022507
2015-09,728.036540824224
2015-10,785.5822127529336
2015-11,781.2324063356414
2015-12,767.2239612717781
2016-01,720.3684142213057
2016-02,715.3424376467659
2016-03,764.2519092200212
2016-04,777.075250087766
2016-05,781.348275703667
2016-06,772.6136230448388
2016-07,804.9346168597054
2016-08,806.2239287049216
2016-09,810.7753043012904
2016-10,795.3116793924688
2016-11,808.1836856113541
2016-12,828.0586006428765
2017-01,847.0482339543539
2017-02,870.9107598384928
2017-03,880.042582333697
2017-04,892.1907531110198
2017-05,911.0738200788754
2017-06,915.1066908953172
2017-07,936.8779761115732
2017-08,938.0049155060955
2017-09,959.621906644145
2017-10,977.9535409064997
2017-11,998.9774230706099
2017-12,1012.3734273968473
2018-01,1065.7553985958853
2018-02,1022.2377255310507
2018-03,1000.5328428979162
2018-04,1012.3473267460654
2018-05,1017.4595085010092
2018-06,1016.0599289959721
2018-07,1048.3283331959515
2018-08,1060.7523390736837
2018-09,1067.6093183089774
2018-10,988.7427570175427
2018-11,1000.0
2018-12,923.4675850030235
2019-01,994.3176490890041
2019-02,1024.490693467055
2019-03,1037.7112369790962
2019-04,1074.1567973637734
2019-05,1012.1469640878644
2019-06,1079.560890876553
2019-07,1083.5315025660198
2019-08,1061.075573573768
2019-09,1084.4270924004675
2019-10,1112.2868991326786
2019-11,1143.0083360929766
2019-12,1177.6508783004065
2020-01,1169.3608393637573
2020-02,1069.652379077685
2020-03,927.8459154447955
2020-04,1027.9080454764821
2020-05,1076.281796485131
2020-06,1105.483982931221
2020-07,1157.3070670101506
2020-08,1233.3309416375578
2020-09,1190.0929659971775
2020-10,1151.6809663845843
2020-11,1299.728386912543
2020-12,1356.5397780320143
2021-01,1342.4348481424793
2021-02,1374.3527907533835
2021-03,1421.576192568412
2021-04,1484.8475017671904
2021-05,1505.7180756248993
2021-06,1524.9665529692545
2021-07,1550.663694085378
2021-08,1588.391327548299
2021-09,1526.4088640522016
2021-10,1612.0584507872952
2021-11,1578.162840216439
2021-12,1648.4828409130089
2022-01,1564.4353477424188
2022-02,1528.2937516524423
2022-03,1571.0831868302412
2022-04,1444.778863004103
2022-05,1448.5286152319304
2022-06,1322.9432476746667
2022-07,1429.234388487063
2022-08,1369.8874327317155
2022-09,1244.2817047852407
2022-10,1338.0140385402333
2022-11,1429.8379696900815
2022-12,1370.0878138673288
2023-01,1464.2154378064524
2023-02,1429.1918802942653
2023-03,1470.038792444928
2023-04,1495.0316865439675
2023-05,1477.7162353999672
2023-06,1568.897581775707
2023-07,1618.7663144831515
