Date,EM LATIN AMERICA WITH BRAZIL ADR
2003-05,1000.0
2003-06,1041.0629465242127
2003-07,1087.0316720726107
2003-08,1085.7696112277852
2003-09,1133.8525551522457
2003-10,1192.8332010488366
2003-11,1214.08271035936
2003-12,1278.8359168047007
2004-01,1345.7450832234683
2004-02,1421.444318888448
2004-03,1459.387891273518
2004-04,1358.3753399139916
2004-05,1359.8687634565174
2004-06,1388.4295183453921
2004-07,1384.6214614610597
2004-08,1424.3711266798362
2004-09,1516.8390094037168
2004-10,1584.4131921261046
2004-11,1691.8987709547146
2004-12,1803.599485602337
2005-01,1783.1054347484242
2005-02,1939.497727666039
2005-03,1798.513140094136
2005-04,1765.3780914405793
2005-05,1885.2794411711295
2005-06,1991.6632964733776
2005-07,2177.944036954391
2005-08,2235.025750831467
2005-09,2559.373583120583
2005-10,2443.901711496391
2005-11,2629.7490723710007
2005-12,2676.724858292628
2006-01,3133.6527470983633
2006-02,3110.049574525613
2006-03,3068.277916356315
2006-04,3299.0885681004115
2006-05,2865.715514747853
2006-06,2964.8168062543555
2006-07,3066.406119072934
2006-08,3087.296390473578
2006-09,3123.64553413313
2006-10,3376.8653917765373
2006-11,3566.6346062257494
2006-12,3803.1306497128967
2007-01,3887.4900339003984
2007-02,3755.7204383631847
2007-03,4010.3535393769566
2007-04,4235.97955125688
2007-05,4694.936229442781
2007-06,4787.228156959738
2007-07,4866.129867935902
2007-08,4754.365497489575
2007-09,5353.214647869472
2007-10,6002.355372146025
2007-11,5652.801556930822
2007-12,5733.860032939879
2008-01,5507.797162917592
2008-02,5882.175280796525
2008-03,5728.057256716299
2008-04,6265.812159158507
2008-05,6765.508031106649
2008-06,6250.895792540386
2008-07,5692.02285654881
2008-08,5290.672299386725
2008-09,4404.385058197015
2008-10,2953.342054606328
2008-11,2760.9548125171627
2008-12,2908.6336598279645
2009-01,2850.1181886175277
2009-02,2691.89771095015
2009-03,2959.550471345275
2009-04,3440.2396394163156
2009-05,4161.140189892962
2009-06,4061.412122190066
2009-07,4406.208997363209
2009-08,4461.263344721203
2009-09,5025.672681837294
2009-10,5111.769612614388
2009-11,5625.314071541464
2009-12,5699.855031930222
2010-01,5144.068762528933
2010-02,5385.332082005085
2010-03,5777.9861045536445
2010-04,5723.48195370279
2010-05,5161.802117434044
2010-06,5039.840787940725
2010-07,5598.608206844457
2010-08,5463.864283530421
2010-09,6093.810542083317
2010-10,6292.852109150058
2010-11,6137.613536543383
2010-12,6600.231041642464
2011-01,6343.611742510115
2011-02,6434.354104597845
2011-03,6627.231848987429
2011-04,6676.935306949738
2011-05,6488.565670028448
2011-06,6459.254909551009
2011-07,6276.619333621544
2011-08,5910.738204944598
2011-09,4876.3719639759065
2011-10,5677.144417839947
2011-11,5418.842884140297
2011-12,5347.240593855783
2012-01,5927.1504091900215
2012-02,6165.579728369929
2012-03,6045.7467762601955
2012-04,5834.278309510245
2012-05,5111.484960026654
2012-06,5351.298061918189
2012-07,5396.935811256561
2012-08,5341.740619098088
2012-09,5567.147261453197
2012-10,5535.1082938035715
2012-11,5433.222233859097
2012-12,5820.657713640198
2013-01,6003.5576876463
2013-02,5783.874637202772
2013-03,5837.4619844483705
2013-04,5811.957506780669
2013-05,5388.241543090245
2013-06,4936.1625099009625
2013-07,4912.728267297316
2013-08,4765.828523380833
2013-09,5139.193511161831
2013-10,5338.2444640650265
2013-11,5153.6832594140205
2013-12,5073.273403855614
2014-01,4557.724291042399
2014-02,4615.967624568857
2014-03,4962.472692215732
2014-04,5127.678188046414
2014-05,5132.847240787609
2014-06,5300.796227196721
2014-07,5412.959034813663
2014-08,5782.88038553539
2014-09,5117.904885023947
2014-10,5021.828098275371
2014-11,4786.514802162371
2014-12,4333.929695630606
2015-01,4029.7123976569487
2015-02,4254.630236789317
2015-03,3942.2536407892408
2015-04,4313.307785052012
2015-05,4051.5650098293127
2015-06,4036.490371894692
2015-07,3733.559614753731
2015-08,3397.0497161783765
2015-09,3163.6818189882733
2015-10,3344.134830344118
2015-11,3196.235246922649
2015-12,3044.1331550369205
2016-01,2922.145901547743
2016-02,3000.229081294745
2016-03,3543.6506415444705
2016-04,3759.3468508544574
2016-05,3334.110991036955
2016-06,3644.5801630489086
2016-07,3808.27572580178
2016-08,3865.0240799033495
2016-09,3836.366636156041
2016-10,4198.929953573758
2016-11,3806.792486168081
2016-12,3789.5376061313964
2017-01,4101.376361490969
2017-02,4212.748555531171
2017-03,4314.177740878256
2017-04,4282.057297318688
2017-05,4200.808304800456
2017-06,4258.891215851393
2017-07,4577.962869478837
2017-08,4773.521233539139
2017-09,4797.758723495298
2017-10,4642.460180750867
2017-11,4490.264411503579
2017-12,4740.831973202376
2018-01,5320.029178642479
2018-02,5150.87141542155
2018-03,5134.925337749377
2018-04,5125.383187920116
2018-05,4448.552976014784
2018-06,4346.219387063858
2018-07,4753.586538335836
2018-08,4427.028733274848
2018-09,4587.764921705324
2018-10,4566.004575471257
2018-11,4459.2879252511875
2018-12,4400.4070498036535
2019-01,4976.097633593026
2019-02,4800.184540378007
2019-03,4735.922367584408
2019-04,4782.268096524845
2019-05,4556.281831724558
2019-06,4845.078093413001
2019-07,4717.098168648157
2019-08,4317.387155546705
2019-09,4440.775691901337
2019-10,4601.778611144133
2019-11,4385.651375501393
2019-12,4816.418010413665
2020-01,4477.875443387562
2020-02,3946.0082928823845
2020-03,2662.7079516993595
2020-04,2802.3772899452847
2020-05,2969.4779623184522
2020-06,3099.4487278231863
2020-07,3330.0649447950827
2020-08,3166.7314539076438
2020-09,3063.2442580345837
2020-10,3052.9766486440885
2020-11,3807.9069482831887
2020-12,4271.425203778098
2021-01,3967.5093767028675
2021-02,3901.1843485917097
2021-03,4165.104557344412
2021-04,4304.635029894657
2021-05,4668.835677554828
2021-06,4793.373655895909
2021-07,4591.894409762119
2021-08,4686.331751476049
2021-09,4267.815010095589
2021-10,4119.5516493577825
2021-11,4008.36147909181
2021-12,4321.107144728395
2022-01,4578.328289124365
2022-02,4833.007700424619
2022-03,5386.616065588408
2022-04,4756.960733783634
2022-05,5162.926659042735
2022-06,4337.404229549718
2022-07,4499.902694896521
2022-08,4547.122331812759
2022-09,4409.411104993249
2022-10,4780.051262370545
2022-11,5002.0610066444515
2022-12,4762.3754262761795
2023-01,5294.351322237138
2023-02,5026.992346201735
2023-03,5067.828302601816
2023-04,5143.065067431494
2023-05,5057.41019979449
2023-06,5602.9129481860655
2023-07,5899.931312999126
