Date,ACWI ex SINGAPORE
1998-12,1000.0
1999-01,1019.9181228823262
1999-02,993.7289872966529
1999-03,1038.9654774312833
1999-04,1082.6255097793094
1999-05,1044.9171043564415
1999-06,1096.7880667723207
1999-07,1091.5075638613293
1999-08,1090.2811076375801
1999-09,1078.3109057834988
1999-10,1132.1060807182323
1999-11,1166.7184921626178
1999-12,1263.1358128378465
2000-01,1194.6602431825831
2000-02,1198.8421517345184
2000-03,1278.18019807702
2000-04,1220.0604496913643
2000-05,1189.7223630195276
2000-06,1229.1576961996698
2000-07,1192.1780357393436
2000-08,1229.3817601992696
2000-09,1161.603893532568
2000-10,1138.1307219984444
2000-11,1067.0630687334692
2000-12,1084.3448291806035
2001-01,1111.758076219812
2001-02,1017.7989022992604
2001-03,949.4280015989161
2001-04,1018.411448497688
2001-05,1006.5796143895125
2001-06,975.004178881535
2001-07,959.7033973320111
2001-08,915.0793108980772
2001-09,831.7006834983366
2001-10,849.2618379231781
2001-11,901.1917650670642
2001-12,909.1619575198683
2002-01,883.5863421233666
2002-02,876.9359013273586
2002-03,916.1980873904878
2002-04,886.813094778673
2002-05,887.5754964811665
2002-06,833.0825374618339
2002-07,762.8579278179828
2002-08,764.565060407325
2002-09,680.4681786297679
2002-10,730.318821697083
2002-11,770.2866905313895
2002-12,733.2634334605198
2003-01,711.6910937143069
2003-02,698.9280048815258
2003-03,695.9341471531336
2003-04,757.7973423332627
2003-05,801.2990816421787
2003-06,816.2004243527642
2003-07,833.9270922907782
2003-08,853.3845720758986
2003-09,858.5160199069513
2003-10,910.3517435364503
2003-11,924.0312797932048
2003-12,982.4311373758829
2004-01,998.9190209331023
2004-02,1017.0214451588629
2004-03,1011.1802545235436
2004-04,987.4039146683633
2004-05,995.1606396449359
2004-06,1014.8676988613116
2004-07,982.2165825406204
2004-08,988.1434618768669
2004-09,1008.5547603221922
2004-10,1033.2623900387514
2004-11,1089.6699347530932
2004-12,1131.8481308440848
2005-01,1107.6941297659787
2005-02,1146.1817929930403
2005-03,1120.859343816141
2005-04,1096.0318852926055
2005-05,1116.5430646326781
2005-06,1127.7858991543844
2005-07,1169.3323094063526
2005-08,1178.4213352996057
2005-09,1213.9622657587565
2005-10,1181.3158754839858
2005-11,1224.3041890524005
2005-12,1254.3461050859817
2006-01,1316.0625546216572
2006-02,1313.9943006741546
2006-03,1341.62411139437
2006-04,1386.1260853218444
2006-05,1331.69551410464
2006-06,1331.0043562091114
2006-07,1340.0914923231758
2006-08,1374.785243271175
2006-09,1390.7126576682606
2006-10,1442.6498106722868
2006-11,1483.19662371727
2006-12,1516.0512808761537
2007-01,1530.9482146207881
2007-02,1522.813859080955
2007-03,1553.1185775998918
2007-04,1622.069774509455
2007-05,1670.1515981520724
2007-06,1665.142260671999
2007-07,1639.5113008260362
2007-08,1635.23212551328
2007-09,1722.5256786111058
2007-10,1789.6708836572745
2007-11,1710.8347656930089
2007-12,1691.7979758532324
2008-01,1553.5873280093342
2008-02,1557.7109685960752
2008-03,1534.6141825592558
2008-04,1620.1555593996598
2008-05,1645.5493849786155
2008-06,1510.3763773743658
2008-07,1470.9989631794137
2008-08,1439.7352767012005
2008-09,1259.9755936807205
2008-10,1010.8590236828858
2008-11,944.2870278523023
2008-12,978.3956034536241
2009-01,894.6658292293639
2009-02,807.115301665534
2009-03,873.5942526895867
2009-04,976.4797915466473
2009-05,1073.0589452965125
2009-06,1067.045103169462
2009-07,1160.5694751505334
2009-08,1202.4840995229251
2009-09,1257.564459047302
2009-10,1238.0806253913977
2009-11,1288.9421397163273
2009-12,1315.37494157748
2010-01,1258.675297575298
2010-02,1274.7387391999785
2010-03,1356.910920208996
2010-04,1358.7541143063497
2010-05,1229.8786389105928
2010-06,1191.46597693132
2010-07,1288.4249819035288
2010-08,1243.1462346290139
2010-09,1362.2018679494774
2010-10,1411.4583014030006
2010-11,1379.998093520164
2010-12,1481.267080760257
2011-01,1504.691683714141
2011-02,1549.3109937760391
2011-03,1547.2806353099634
2011-04,1610.4195579503314
2011-05,1575.783953130015
2011-06,1550.9464986984285
2011-07,1525.0275029373365
2011-08,1413.8479250602988
2011-09,1280.790321249821
2011-10,1418.0317811711952
2011-11,1376.051119784959
2011-12,1373.4838785081238
2012-01,1452.6079244014043
2012-02,1525.7164855119688
2012-03,1535.9757652850728
