Date,ACWI ex HUNGARY
1998-12,1000.0
1999-01,1019.7171784348807
1999-02,993.6492428059231
1999-03,1038.9327278715161
1999-04,1083.431737289292
1999-05,1045.5019950643734
1999-06,1097.725953199058
1999-07,1092.4299081848767
1999-08,1091.1084447810774
1999-09,1079.1340745029274
1999-10,1132.9803623056464
1999-11,1167.7464798168528
1999-12,1264.4071544740598
2000-01,1195.2716475478992
2000-02,1198.8690970236707
2000-03,1277.9770841949523
2000-04,1220.5089878386739
2000-05,1189.2914121406527
2000-06,1229.2539261041259
2000-07,1192.4513603833338
2000-08,1229.76487969314
2000-09,1161.8111495338067
2000-10,1138.4415771001325
2000-11,1067.6334797942447
2000-12,1084.7829362083048
2001-01,1112.0887796958134
2001-02,1018.4451574868249
2001-03,949.5837901716781
2001-04,1018.351120719744
2001-05,1006.3852281711492
2001-06,974.9950671805017
2001-07,959.7097809531792
2001-08,915.2917688335359
2001-09,831.44068691708
2001-10,848.9233232945481
2001-11,900.878028627777
2001-12,909.1226605015996
2002-01,883.973388351372
2002-02,877.2217952125942
2002-03,916.5196802358741
2002-04,887.0782750469651
2002-05,887.7892917430468
2002-06,833.2864651048737
2002-07,763.2046168245118
2002-08,764.8714178908209
2002-09,680.7147590693559
2002-10,730.6496394416515
2002-11,770.3358264641801
2002-12,733.3425039506944
2003-01,711.7367948556166
2003-02,698.9916419586513
2003-03,695.962131024233
2003-04,757.6310208451428
2003-05,801.1990928558898
2003-06,816.2626170031094
2003-07,834.1159092524053
2003-08,853.590170341019
2003-09,858.7778555795106
2003-10,910.6314470146046
2003-11,924.2631104147956
2003-12,982.6186516586281
2004-01,999.2022747522868
2004-02,1017.2677047645403
2004-03,1011.3682274330517
2004-04,987.6117633023109
2004-05,995.255997898069
2004-06,1014.9482497287822
2004-07,982.4618464563699
2004-08,988.4215385159846
2004-09,1008.9126311762129
2004-10,1033.5205583695283
2004-11,1089.7950432066182
2004-12,1131.932662056885
2005-01,1107.8958291822237
2005-02,1146.0909000478232
2005-03,1120.9418590380762
2005-04,1096.2576112209024
2005-05,1116.7749427825738
2005-06,1127.9636724631555
2005-07,1169.5910537285322
2005-08,1178.4095143060244
2005-09,1213.880451008662
2005-10,1181.295626766011
2005-11,1224.3612526584056
2005-12,1254.5180126428008
2006-01,1316.2281671393632
2006-02,1314.2622335634367
2006-03,1341.9821345970436
2006-04,1386.5603147649467
2006-05,1331.9857497816784
2006-06,1331.4889166462876
2006-07,1340.4823295591204
2006-08,1375.3048392780765
2006-09,1391.3510499445065
2006-10,1443.4834660557924
2006-11,1484.2261777051558
2006-12,1517.239942199698
2007-01,1532.4316859840226
2007-02,1524.3686988253805
2007-03,1554.902610694154
2007-04,1623.8400876290648
2007-05,1672.1072462644547
2007-06,1667.0047227851671
2007-07,1641.5201404947322
2007-08,1637.1353367059512
2007-09,1724.9641263166654
2007-10,1792.3476002828702
2007-11,1713.118912324811
2007-12,1694.1221714107855
2008-01,1555.4229396075466
2008-02,1559.8244529553747
2008-03,1536.9426243606322
2008-04,1622.6811094189063
2008-05,1647.9971432131008
2008-06,1512.6614344829786
2008-07,1473.2094534364674
2008-08,1441.5778261612688
2008-09,1261.4828615469662
2008-10,1011.7647561741821
2008-11,945.3093251415349
2008-12,979.5823614764641
2009-01,895.9796757050452
2009-02,808.2704166544885
2009-03,874.8321681421892
2009-04,978.0373507935672
2009-05,1075.4039601517518
2009-06,1069.3490107782177
2009-07,1163.4262167445838
2009-08,1204.9620102424853
2009-09,1260.2153959670275
2009-10,1240.7200395553864
2009-11,1291.7501827837787
2009-12,1318.529217075843
2010-01,1261.511102251871
2010-02,1277.6346736680373
2010-03,1359.7200914282785
2010-04,1362.0147392619128
2010-05,1233.0241922881648
2010-06,1195.0940179373529
2010-07,1292.2979349423183
2010-08,1247.1240384600303
2010-09,1366.3851272883694
2010-10,1415.755440990184
2010-11,1384.4093979299373
2010-12,1485.7794298548508
2011-01,1509.0227826655887
2011-02,1552.96343120302
2011-03,1551.37428871383
2011-04,1614.7754885002803
2011-05,1580.123147681091
2011-06,1555.2225614603926
2011-07,1529.9550229957695
2011-08,1418.2674070004932
2011-09,1284.489510543165
2011-10,1422.1045052258007
2011-11,1379.5256720715777
2011-12,1376.797148745969
2012-01,1456.7686727253042
2012-02,1530.0558314619432
2012-03,1540.2555524547745
2012-04,1522.6356012362019
2012-05,1386.190767769624
2012-06,1454.600520370659
2012-07,1474.5207087843532
2012-08,1506.5901489704054
2012-09,1554.0155094359561
2012-10,1543.6134792995988
2012-11,1563.3874800581102
2012-12,1598.824983035519
2013-01,1672.4487272407057
2013-02,1672.2163745525386
2013-03,1702.8486914939767
2013-04,1751.470107621386
