Date,ACWI ex EGYPT
1998-12,1000.0
1999-01,1019.7385474405469
1999-02,993.5902238280595
1999-03,1038.8153469681104
1999-04,1083.3151839697382
1999-05,1045.4441242399266
1999-06,1097.6022126888001
1999-07,1092.4049165133497
1999-08,1091.0702148370647
1999-09,1079.0222061375305
1999-10,1132.8545001350833
1999-11,1167.6176301162932
1999-12,1264.3137417425219
2000-01,1195.2810739212384
2000-02,1198.9549757270304
2000-03,1277.977203232986
2000-04,1220.3871893698613
2000-05,1189.2085675823932
2000-06,1229.1237191532828
2000-07,1192.309787730143
2000-08,1229.543282584751
2000-09,1161.6003979423554
2000-10,1138.217026712966
2000-11,1067.3630103727746
2000-12,1084.6059848062755
2001-01,1111.9231492790707
2001-02,1018.2402358257076
2001-03,949.3709134971415
2001-04,1018.115965363947
2001-05,1006.1712320731004
2001-06,974.7938755769145
2001-07,959.5214823539932
2001-08,915.1097705257307
2001-09,831.304062086008
2001-10,848.8250668282321
2001-11,900.7849745618892
2001-12,909.0383427145377
2002-01,883.9485312366658
2002-02,877.1783763434618
2002-03,916.470242725014
2002-04,887.0864956570126
2002-05,887.7808507027928
2002-06,833.2696156984273
2002-07,763.2009555762444
2002-08,764.8977886714562
2002-09,680.7448125795277
2002-10,730.6778700246829
2002-11,770.3855553300053
2002-12,733.4134978313731
2003-01,711.7963813671817
2003-02,699.0549392738112
2003-03,696.0362846787394
2003-04,757.7234122333597
2003-05,801.2928596405986
2003-06,816.2869446497862
2003-07,834.1556884330574
2003-08,853.653755920354
2003-09,858.8471344328296
2003-10,910.693262717359
2003-11,924.3067910302026
2003-12,982.674477545117
2004-01,999.2570543078874
2004-02,1017.3502253647217
2004-03,1011.501307270853
2004-04,987.7273760774705
2004-05,995.4100063856706
2004-06,1015.1032144775351
2004-07,982.6196661295174
2004-08,988.5898828168157
2004-09,1009.0804698844811
2004-10,1033.7243276998217
2004-11,1090.079662532689
2004-12,1132.2297139286898
2005-01,1108.1056187694348
2005-02,1146.4753943966198
2005-03,1121.2063760886233
2005-04,1096.4256398985287
2005-05,1116.8886457253852
2005-06,1128.1108396939076
2005-07,1169.8506333325092
2005-08,1178.7445070449658
2005-09,1214.1534019051364
2005-10,1181.4347902253007
2005-11,1224.4763792860242
