Date,BRIC WITH BRAZIL + INDIA + RUSSIA DR
2010-02,1000.0
2010-03,1068.2187502630557
2010-04,1061.39434671323
2010-05,966.4044262102963
2010-06,957.3990370427823
2010-07,1034.4933777402823
2010-08,1001.8235976442272
2010-09,1102.242266676672
2010-10,1132.3615218094872
2010-11,1106.3475188790305
2010-12,1154.792464181356
2011-01,1136.3202577954748
2011-02,1149.3324749362228
2011-03,1206.8316309073386
2011-04,1212.1045977657154
2011-05,1181.0161523816716
2011-06,1159.6168240679756
2011-07,1141.9153290299507
2011-08,1032.3633296740186
2011-09,849.5974059704841
2011-10,987.3361827734136
2011-11,923.1811939698291
2011-12,908.4589665155996
2012-01,1021.941100557859
2012-02,1085.3682319447842
2012-03,1017.7294642535735
2012-04,1008.8477477645118
2012-05,873.6422371550099
2012-06,903.8199671738738
2012-07,913.612390700276
2012-08,903.7871120477123
2012-09,958.4905026128654
2012-10,974.7689683962825
2012-11,977.547764933241
2012-12,1037.0921093337245
2013-01,1076.6697557094294
2013-02,1030.4486913421792
2013-03,997.7734990634171
2013-04,1004.9242554509972
2013-05,973.8036204716379
2013-06,896.8951208638811
2013-07,921.2925241133742
2013-08,926.1065910744276
2013-09,999.7184738162762
2013-10,1038.7110502462854
2013-11,1046.192669001957
2013-12,1021.4917666620389
2014-01,934.8159882249187
2014-02,957.191834688012
2014-03,961.1714748420757
2014-04,950.3689787224225
2014-05,992.214524074955
2014-06,1030.0987014501686
2014-07,1073.7060056302428
2014-08,1101.292121319931
2014-09,1001.1313532786689
2014-10,1025.3468125592392
2014-11,1012.1310555641229
2014-12,971.1304459269807
2015-01,970.6225614438529
2015-02,1021.4195802621512
2015-03,1009.6492620123502
2015-04,1175.218426821171
2015-05,1116.8593357616166
2015-06,1067.022817005935
2015-07,958.8253293609579
2015-08,851.9742122995207
2015-09,820.3448841739553
2015-10,886.5220951736652
2015-11,860.6534635404091
2015-12,835.0480107949306
2016-01,745.6912740393676
2016-02,732.4943171819627
2016-03,837.8639187542578
2016-04,857.9534048231101
2016-05,831.3857752737995
2016-06,855.7568651714469
2016-07,888.7521363125206
2016-08,942.0893389437126
2016-09,963.865579802127
2016-10,969.5957857188666
2016-11,950.6143127019353
2016-12,930.9329546237325
2017-01,991.6452181958933
2017-02,1016.2488188164382
2017-03,1030.6459665861835
2017-04,1046.3256161749084
2017-05,1077.4038630679172
2017-06,1091.483200141187
2017-07,1184.991801129415
2017-08,1238.7967701677344
2017-09,1256.3489162519347
2017-10,1291.844630008457
2017-11,1305.4231091239549
2017-12,1341.0080319453518
2018-01,1513.200359723137
2018-02,1435.6307376714171
2018-03,1390.522777447096
2018-04,1375.0864669983866
2018-05,1366.478978295753
2018-06,1298.6855769582003
2018-07,1294.640612045813
2018-08,1237.8056609052796
2018-09,1239.0356274229089
2018-10,1143.110032663153
2018-11,1203.6131190800095
2018-12,1139.6438289726332
2019-01,1272.917053490604
2019-02,1295.384350707813
2019-03,1320.913956715871
2019-04,1348.0838103173307
2019-05,1211.5168728812484
2019-06,1305.722097577505
2019-07,1298.5411403931612
2019-08,1234.254726577935
2019-09,1241.8291091395433
2019-10,1296.455239488184
2019-11,1307.2693082656613
2019-12,1420.7435773312945
2020-01,1347.6859752669568
2020-02,1322.0592919384262
2020-03,1176.8410221250606
2020-04,1255.064049674117
2020-05,1261.8368651035978
2020-06,1364.0869918802387
2020-07,1489.6915715859845
2020-08,1557.2811537049517
2020-09,1510.8980820760032
2020-10,1573.9142825915349
2020-11,1655.6624379164505
2020-12,1724.29039006501
2021-01,1822.2325815749343
2021-02,1805.638856579293
2021-03,1723.2979971744414
2021-04,1750.6059893643608
2021-05,1790.623805362372
2021-06,1807.0228617127082
2021-07,1591.789767930137
2021-08,1597.14442484667
2021-09,1524.8112736449057
2021-10,1565.4903892643733
2021-11,1469.034506
2021-12,1446.6880385143138
2022-01,1413.6219127042991
2022-02,1296.3091168170236
2022-03,1198.3817503999983
2022-04,1135.1002925567109
2022-05,1154.8684931522578
2022-06,1195.9645193229362
2022-07,1106.7999091856868
2022-08,1113.7059623188895
2022-09,967.9178436630284
2022-10,840.1780406587682
2022-11,1050.067420318226
2022-12,1085.3681364696415
2023-01,1202.528321554
2023-02,1083.9283904934484
2023-03,1125.678629934845
2023-04,1075.1214473648652
2023-05,997.3226733311994
2023-06,1045.759329660594
2023-07,1147.403064482939
