Date,EURO
1996-12,579.68230823
1997-01,588.65309524
1997-02,591.56606618
1997-03,616.16621354
1997-04,606.36085339
1997-05,624.31444218
1997-06,667.1406225
1997-07,705.97641084
1997-08,649.44977493
1997-09,716.04907407
1997-10,670.2808485
1997-11,685.08233097
1997-12,711.89094315
1998-01,741.05153754
1998-02,801.38483429
1998-03,874.99491106
1998-04,904.41741854
1998-05,950.71369544
1998-06,967.90550032
1998-07,1002.87905121
1998-08,856.15927377
1998-09,824.13034053
1998-10,889.13658938
1998-11,945.7803195
1998-12,1000.0
1999-01,999.6199913620334
1999-02,950.4689732796957
1999-03,954.3325998481696
1999-04,979.9294372922034
1999-05,933.6927529456673
1999-06,961.1931617438795
1999-07,957.2839549118905
1999-08,979.1486399741611
1999-09,974.7852894132881
1999-10,1020.6103185471874
1999-11,1065.6499353719319
1999-12,1217.7191931943908
2000-01,1141.9093372716625
2000-02,1252.3627817758831
2000-03,1247.456914299352
2000-04,1187.4201170254955
2000-05,1183.8632591796002
2000-06,1217.63101680233
2000-07,1179.7371569368163
2000-08,1150.595165272475
2000-09,1091.5581607189217
2000-10,1081.1453686772008
2000-11,1039.8573998601
2000-12,1112.1936671412655
2001-01,1117.0910534783977
2001-02,996.5390695051752
2001-03,923.1536872258405
2001-04,1004.4821940146622
2001-05,935.6361943298205
2001-06,900.4244155078958
2001-07,902.7474091939074
2001-08,863.6436888500333
2001-09,756.7091803836606
2001-10,789.1899493270975
2001-11,827.7359560464101
2001-12,852.1291114821188
2002-01,800.7805093656809
2002-02,795.8734644414793
2002-03,841.2408122899286
2002-04,825.0151037963784
2002-05,821.3645400417088
2002-06,796.5801893662898
2002-07,681.5009834591845
2002-08,688.2711464217477
2002-09,569.0483672063516
2002-10,647.0918183944827
2002-11,689.0406371981464
2002-12,654.0670933564188
2003-01,630.9042725602956
2003-02,604.728879600306
2003-03,584.7765316790311
2003-04,682.0756664785982
2003-05,728.3091067346146
2003-06,738.1723506233051
2003-07,754.4890843355772
2003-08,752.8309604943778
2003-09,751.0226802061279
2003-10,806.4327062896645
2003-11,847.6762468637705
2003-12,926.3776760977223
2004-01,940.1812518861524
2004-02,956.0982157856668
2004-03,916.1172646291401
2004-04,900.5323713676187
2004-05,912.9057529455529
2004-06,933.8688986984719
2004-07,896.2785709769772
2004-08,893.3455281939423
2004-09,933.5473180819075
2004-10,982.4381467839438
2004-11,1054.2753581149339
2004-12,1107.2983727061555
2005-01,1080.4648992940088
2005-02,1129.4831781917408
2005-03,1103.2960065452746
2005-04,1058.4177762856762
2005-05,1069.0856526473763
2005-06,1086.6103095618444
2005-07,1137.9217760209892
2005-08,1138.724908111741
2005-09,1168.257780192763
2005-10,1124.4780239026077
2005-11,1151.8064179427504
2005-12,1197.3157914228204
2006-01,1279.9548109673935
2006-02,1289.28668510458
2006-03,1345.256042260199
2006-04,1401.0608405047838
2006-05,1361.9000106600733
2006-06,1363.650723314836
2006-07,1375.717473556632
2006-08,1428.045053644594
2006-09,1450.1006246872644
2006-10,1503.8817413885226
2006-11,1565.3000391708697
2006-12,1616.381686975919
2007-01,1625.7467054596189
2007-02,1624.0802234946127
2007-03,1682.498071603261
2007-04,1811.2231040340307
2007-05,1860.8646335442745
2007-06,1857.591632529436
2007-07,1817.2106657389156
2007-08,1803.934071828436
2007-09,1915.8750970338538
2007-10,2009.7473032764638
2007-11,1977.7095380557037
2007-12,1964.9579326412997
2008-01,1730.3812087967883
2008-02,1748.205062658333
2008-03,1774.790375927797
2008-04,1849.4271017917142
2008-05,1861.8853377363985
2008-06,1666.921040685911
2008-07,1640.211188685546
2008-08,1557.6172264592544
2008-09,1327.7046735788724
2008-10,1015.7440527317219
2008-11,948.0761924324044
2008-12,1044.5959209531525
2009-01,889.5449540065737
2009-02,784.9951606919116
2009-03,856.6239237273837
2009-04,987.475786484451
2009-05,1101.647463126519
2009-06,1076.4274641995787
2009-07,1193.9807034848654
2009-08,1273.1352761886853
2009-09,1348.9372003383442
2009-10,1305.5842638924912
2009-11,1352.7233674846048
2009-12,1367.8756278169574
2010-01,1254.1367578477418
2010-02,1207.219550050339
2010-03,1288.0942451945716
2010-04,1230.5533411536412
2010-05,1072.4501600881454
2010-06,1059.4061069512586
2010-07,1197.3528684976764
2010-08,1124.5419285865194
2010-09,1268.897192763864
2010-10,1340.2762172908929
2010-11,1189.0741585125902
2010-12,1287.7561918631204
2011-01,1381.668357914334
2011-02,1417.9246901520628
2011-03,1413.8020467947063
2011-04,1536.4718338152913
2011-05,1449.9752436186873
2011-06,1453.7783848107956
2011-07,1362.3535769818964
2011-08,1183.7365728387504
2011-09,1045.3397881233914
2011-10,1185.5248362010634
2011-11,1119.3798590965093
2011-12,1074.9724037647638
2012-01,1138.8509109336433
2012-02,1212.2514613700205
2012-03,1202.7023019773758
2012-04,1131.1608710612886
2012-05,986.9367554485796
2012-06,1079.595551508413
2012-07,1080.3405617601927
2012-08,1154.0845667110268
2012-09,1190.175645265178
2012-10,1220.803212723904
2012-11,1259.518629947802
2012-12,1307.2239752647774
2013-01,1385.0817696361196
2013-02,1315.3711574122124
2013-03,1294.1774846223248
2013-04,1370.3807527934857
2013-05,1392.4581987523559
2013-06,1316.3233833233849
2013-07,1428.9082090266095
2013-08,1397.361289582301
2013-09,1526.31110443389
2013-10,1619.8309985559417
2013-11,1644.5881109873487
2013-12,1676.8316079230326
2014-01,1597.3416021555474
2014-02,1708.933948736697
2014-03,1711.2278255115662
2014-04,1745.0810047495497
2014-05,1762.6706343348383
2014-06,1759.8274134994515
2014-07,1663.6604587741376
2014-08,1666.8072540128292
2014-09,1620.0556739476156
2014-10,1563.3893572607226
2014-11,1628.3954298351298
2014-12,1537.6332763273906
2015-01,1537.3551927485623
2015-02,1640.3781989038164
2015-03,1617.6056783477982
2015-04,1659.742140710973
2015-05,1626.930104763536
2015-06,1587.1286515986058
2015-07,1649.7897874978648
2015-08,1526.0494391920624
2015-09,1445.2536818770582
2015-10,1574.9627502653682
2015-11,1548.3232579193032
2015-12,1494.352477259201
2016-01,1395.0280610795921
2016-02,1356.391802429049
2016-03,1456.9827564862526
2016-04,1481.2992843993422
2016-05,1476.2227073384863
2016-06,1383.9292826820244
2016-07,1460.103875675742
2016-08,1475.0298239213034
2016-09,1485.5720444579763
2016-10,1472.6556786323924
2016-11,1420.6541596700138
2016-12,1515.0968114997188
2017-01,1532.8276899917093
2017-02,1547.1628166489913
2017-03,1643.2390618230447
2017-04,1709.192301
2017-05,1788.036631
2017-06,1766.655394
2017-07,1831.701726
2017-08,1835.507163
2017-09,1907.843065
2017-10,1923.908387
2017-11,1925.178306
2017-12,1916.233906
2018-01,2053.872316
2018-02,1931.418226
2018-03,1908.119864
2018-04,1971.43576793243
2018-05,1867.476099760324
2018-06,1854.4157192801474
2018-07,1921.403819134261
2018-08,1849.1359597638918
2018-09,1846.5153853022707
2018-10,1691.0921994240034
2018-11,1684.1401823316398
2018-12,1602.7026376844476
2019-01,1704.6386586880437
2019-02,1759.5635651048553
2019-03,1759.8075419322895
2019-04,1849.2583251696328
2019-05,1731.3959147911226
2019-06,1862.7678296103961
2019-07,1820.8903039923605
2019-08,1776.172656069734
2019-09,1825.6521965205754
2019-10,1887.5816869233536
2019-11,1913.2351091126304
2019-12,1969.6375414982708
2020-01,1907.5166166944202
2020-02,1735.7019026992873
2020-03,1437.268291019041
2020-04,1519.5312672679074
2020-05,1617.9585896233234
2020-06,1718.9072745027618
2020-07,1782.5718884907553
2020-08,1862.4717611182423
2020-09,1791.3675116776815
2020-10,1673.3220482843974
2020-11,2019.5498262905596
2020-12,2099.8994166185157
2021-01,2053.327703861261
2021-02,2136.557475313348
2021-03,2218.575333628813
2021-04,2320.571076722503
2021-05,2418.916937575623
2021-06,2368.077740955902
2021-07,2394.642475714142
2021-08,2441.677566843058
2021-09,2320.355084762268
2021-10,2423.245901529337
2021-11,2268.060670299468
2021-12,2411.916253734463
2022-01,2305.9874075278103
2022-02,2180.1211624561206
2022-03,2143.0209810380206
2022-04,1987.018867703093
2022-05,2034.1779769165378
2022-06,1804.2452737489778
2022-07,1891.2161638974242
2022-08,1772.410851810398
2022-09,1623.505494067254
2022-10,1767.234129551839
2022-11,2006.4206949852596
2022-12,1996.5090735517535
2023-01,2232.6213486616293
2023-02,2217.7861337108952
2023-03,2308.1584781553897
2023-04,2382.9779882645535
2023-05,2249.6826689478735
2023-06,2394.742895086012
2023-07,2459.1997523047726
