Date,ACWI ex CZECH REPUBLIC
1998-12,1000.0
1999-01,1019.785916886796
1999-02,993.7078126697354
1999-03,1038.912896878802
1999-04,1083.4121668864082
1999-05,1045.4492167938447
1999-06,1097.6341041622168
1999-07,1092.387150748975
1999-08,1091.0719236738996
1999-09,1079.0164978505275
1999-10,1132.8833142842611
1999-11,1167.684298995069
1999-12,1264.4100947718382
2000-01,1195.2968896279353
2000-02,1198.908278933337
2000-03,1277.9567515793442
2000-04,1220.4024555410765
2000-05,1189.2214178828026
2000-06,1229.179389329879
2000-07,1192.3195937816713
2000-08,1229.6107970022292
2000-09,1161.6737841557258
2000-10,1138.2804151579714
2000-11,1067.4629727961121
2000-12,1084.6270890770056
2001-01,1111.9297677774384
2001-02,1018.2525744552206
2001-03,949.3899848423791
2001-04,1018.161926700304
2001-05,1006.1998297377016
2001-06,974.8168832464263
2001-07,959.5461835109146
2001-08,915.1334735990216
2001-09,831.3239014758378
2001-10,848.80169691887
2001-11,900.7499218353149
2001-12,908.979406235119
2002-01,883.870945270054
2002-02,877.1128692324351
2002-03,916.3935678586635
2002-04,886.9750146275126
2002-05,887.6523598669849
2002-06,833.1450748378616
2002-07,763.0735505620002
2002-08,764.7704084568427
2002-09,680.6244609035599
2002-10,730.5551250769277
2002-11,770.2450263728049
2002-12,733.2808390587963
2003-01,711.6651526126288
2003-02,698.9156407773019
2003-03,695.8917342424643
2003-04,757.5703135831716
2003-05,801.1219309093688
2003-06,816.1296165495655
2003-07,833.9834915050009
2003-08,853.4756343457249
2003-09,858.6786335653109
2003-10,910.5247418990392
2003-11,924.1422055530886
2003-12,982.4879729854753
2004-01,999.091535409663
2004-02,1017.1409646435659
2004-03,1011.288551466562
2004-04,987.534627319993
2004-05,995.2084271092837
2004-06,1014.9011207322195
2004-07,982.4291408599113
2004-08,988.4032109557327
2004-09,1008.8942009524345
2004-10,1033.5344956998954
2004-11,1089.8175914544338
2004-12,1131.9590005128014
2005-01,1107.9206987716361
2005-02,1146.258742589321
2005-03,1121.0229630173446
2005-04,1096.302528805321
2005-05,1116.7928446060519
2005-06,1128.051856832708
2005-07,1169.7610879832032
2005-08,1178.5698928164977
2005-09,1213.9884268431058
2005-10,1181.3202860736988
2005-11,1224.344627353333
2005-12,1254.4364133792399
2006-01,1316.135738632405
2006-02,1314.2126291664447
2006-03,1341.8721507497528
2006-04,1386.5600153762375
2006-05,1331.9257942053496
2006-06,1331.313897211328
2006-07,1340.3504692197193
2006-08,1375.1035554160067
2006-09,1391.148364298467
2006-10,1443.2939388664336
2006-11,1484.0570361603661
2006-12,1517.178030597076
2007-01,1532.2895875132938
2007-02,1524.2356219702172
2007-03,1554.7391618510726
2007-04,1623.7002050712208
2007-05,1671.995697245688
2007-06,1667.06126122763
2007-07,1641.5726989612697
2007-08,1637.0085967844684
2007-09,1724.8267674565197
2007-10,1791.9995544817439
2007-11,1712.7085584857366
2007-12,1693.7002672394992
2008-01,1555.0147574637192
2008-02,1559.2741063747492
2008-03,1536.364599860801
2008-04,1622.168505418913
2008-05,1647.3906189953475
2008-06,1511.9589090531874
2008-07,1472.702649232153
2008-08,1441.0647260486057
2008-09,1261.0141182671703
2008-10,1011.2552441113926
2008-11,944.8225007331911
2008-12,979.0674790489878
2009-01,895.4914041789935
2009-02,807.8365501089405
2009-03,874.3199468409961
2009-04,977.486199888591
2009-05,1074.893214450668
2009-06,1068.854159469326
2009-07,1162.8709565992078
2009-08,1204.4734998525141
2009-09,1259.7539392289982
2009-10,1240.3118351668681
2009-11,1291.331550014609
2009-12,1318.1240651204982
2010-01,1261.1260277495921
2010-02,1277.2257516543818
2010-03,1359.4154219939405
2010-04,1361.7043837083029
