Date,EUROPE & MIDDLE EAST
2010-05,1034.6068918841056
2010-06,1026.8353866651232
2010-07,1144.657568625038
2010-08,1103.3922939215668
2010-09,1224.477745949153
2010-10,1276.803656214042
2010-11,1180.7457988109636
2010-12,1279.6341001252547
2011-01,1329.0036929178432
2011-02,1371.7615836055395
2011-03,1360.8677092124674
2011-04,1468.0595323037533
2011-05,1420.4470605661875
2011-06,1392.8280932479402
2011-07,1345.8011026483111
2011-08,1210.6099760279087
2011-09,1077.469825616038
2011-10,1207.9928464205198
2011-11,1153.149789173953
2011-12,1135.4790023905455
2012-01,1189.1962625242472
2012-02,1263.447661746707
2012-03,1256.3114240935429
2012-04,1227.9655223182097
2012-05,1077.4625688246972
2012-06,1161.7296792011407
2012-07,1175.1210173597394
2012-08,1226.2335305231984
2012-09,1262.5826811767774
2012-10,1280.8639599614253
2012-11,1313.999421760583
2012-12,1349.9034614804123
2013-01,1428.2245849607568
2013-02,1389.2884976643443
2013-03,1386.88417944388
2013-04,1446.3607025547515
2013-05,1448.8549983964137
2013-06,1379.2838094850126
2013-07,1480.203662417784
2013-08,1461.1501832927822
2013-09,1565.8557398807773
2013-10,1632.5133948892735
2013-11,1652.3439855297743
2013-12,1689.0424483414242
2014-01,1624.6466083724076
2014-02,1743.2812094184333
2014-03,1726.3947333805725
2014-04,1768.8645302549373
2014-05,1784.6856218443493
2014-06,1783.3048200880633
2014-07,1716.545300486844
2014-08,1723.311335658151
2014-09,1659.3833569298135
2014-10,1615.841411624118
2014-11,1658.790515575454
2014-12,1587.9434153508869
2015-01,1587.730805711633
2015-02,1686.5572242706653
2015-03,1643.5075652508501
2015-04,1714.0675654338381
2015-05,1700.9923113191041
2015-06,1649.0922096073978
2015-07,1702.104204625842
2015-08,1580.7646765172008
2015-09,1506.2483971142447
2015-10,1614.1004440282654
2015-11,1584.6602219481542
2015-12,1544.742547986019
2016-01,1442.7280885377672
2016-02,1416.768407833179
2016-03,1504.6453736532053
2016-04,1541.4111683635772
2016-05,1531.6576179112799
2016-06,1464.052835022874
2016-07,1525.6276719757004
2016-08,1529.4174773149768
2016-09,1541.8858476798464
2016-10,1491.042987802605
2016-11,1458.228182164538
2016-12,1533.7522664728504
2017-01,1565.4110891867576
2017-02,1584.5969780036194
2017-03,1647.621207500692
2017-04,1705.281612
2017-05,1787.031246
2017-06,1768.847951
2017-07,1820.735228
2017-08,1819.132122
2017-09,1879.253932
2017-10,1887.621166
2017-11,1891.557166
2017-12,1921.003035
2018-01,2024.666666
2018-02,1905.943006
2018-03,1882.407437
2018-04,1934.2434601923928
2018-05,1872.1837116515167
2018-06,1860.0965408189393
2018-07,1922.1288962753129
2018-08,1869.3757408204517
2018-09,1875.6419732246175
2018-10,1732.7601078591856
2018-11,1717.3932686973083
2018-12,1636.7759574134654
2019-01,1745.3776882728287
2019-02,1803.3482114745907
2019-03,1814.0956095415756
2019-04,1878.8638887822165
2019-05,1775.1765541797222
2019-06,1893.9929598290405
2019-07,1857.946083180636
2019-08,1810.5703842346165
2019-09,1859.5275760949007
2019-10,1919.327224241946
2019-11,1948.6348005909667
2019-12,2023.712096365775
2020-01,1974.122911669924
2020-02,1791.4920071032268
2020-03,1532.441208312213
2020-04,1624.0041912777817
2020-05,1698.679418220009
2020-06,1766.9937119476122
2020-07,1835.3659275449766
2020-08,1910.2831046791855
2020-09,1845.589781710638
2020-10,1742.4665753142956
2020-11,2037.657202750301
2020-12,2134.3510261925776
2021-01,2104.0868691066353
2021-02,2154.975209050518
2021-03,2220.5193634756715
2021-04,2321.793652098269
2021-05,2417.103122630598
2021-06,2384.804472712079
2021-07,2429.5581934001334
2021-08,2466.0742001041062
2021-09,2348.733744929937
2021-10,2454.671639665256
2021-11,2328.696976171431
2021-12,2481.911420984919
2022-01,2367.284052933896
2022-02,2301.5582582328966
2022-03,2299.2197463434804
2022-04,2166.394997249748
2022-05,2181.1636443522884
2022-06,1964.6287354010578
2022-07,2062.151433007082
2022-08,1936.4302357011538
2022-09,1767.159383270296
2022-10,1894.1756291660145
2022-11,2105.6993383328936
2022-12,2104.6682818098207
2023-01,2286.2369150480977
2023-02,2271.139980179063
2023-03,2324.6840258842262
2023-04,2419.8224644730453
2023-05,2278.297885836342
2023-06,2386.7797347731216
2023-07,2461.091122928246
