Date,BRIC WITH BRAZIL ADR
2003-05,1000.0
2003-06,1088.3143959144195
2003-07,1122.7852283566342
2003-08,1241.255290210641
2003-09,1294.8231002186724
2003-10,1385.733641978376
2003-11,1425.6276449971433
2003-12,1615.8365693034873
2004-01,1624.4516554573374
2004-02,1701.2023851231713
2004-03,1702.2984765519775
2004-04,1521.5245586829817
2004-05,1467.075077335799
2004-06,1462.2295965719406
2004-07,1463.8551373443672
2004-08,1497.9014857710417
2004-09,1614.0989128210965
2004-10,1630.504055111432
2004-11,1738.5515489654995
2004-12,1750.7503351424202
2005-01,1734.0449528319557
2005-02,1849.868389881193
2005-03,1754.0916586083772
2005-04,1730.222636237197
2005-05,1792.0963668953684
2005-06,1889.730203965911
2005-07,2033.3533564334552
2005-08,2141.121438538272
2005-09,2404.9378286339706
2005-10,2217.3699025565393
2005-11,2398.6374942472444
2005-12,2489.972206725716
2006-01,2919.3392157265357
2006-02,2988.39596639183
2006-03,3048.151711722054
2006-04,3273.9784532483814
2006-05,2908.3464927148652
2006-06,2993.2728994408353
2006-07,3052.6660028393485
2006-08,3147.9700206541884
2006-09,3141.1141338218554
2006-10,3331.94109037438
2006-11,3623.761358349774
2006-12,3895.1794694094315
2007-01,3818.260009808689
2007-02,3680.8174464785466
2007-03,3852.149626995334
2007-04,4018.554854545075
2007-05,4208.511201510923
2007-06,4498.852235688316
2007-07,4811.128817964437
2007-08,4831.075401925571
2007-09,5659.0833134703225
2007-10,6525.467305331
2007-11,6108.280188640667
2007-12,6197.435700057733
2008-01,5250.416909671185
2008-02,5629.549349308471
2008-03,5135.657439929766
2008-04,5749.029376398335
2008-05,5911.6341190701
2008-06,5276.119040431295
2008-07,4965.668893023486
2008-08,4536.235155205622
2008-09,3606.132934648759
2008-10,2539.0313749103975
2008-11,2383.557483803756
2008-12,2528.4576601805106
2009-01,2404.2275996563476
2009-02,2308.9660719198764
2009-03,2615.2671741320582
2009-04,3032.958174433995
2009-05,3760.0535761130996
2009-06,3679.6351355407014
2009-07,4023.141915514808
2009-08,3903.7301851221855
2009-09,4312.975244265203
2009-10,4460.895255690115
2009-11,4714.483496173112
2009-12,4777.399744028925
2010-01,4407.588575453525
2010-02,4484.616857846138
2010-03,4816.14151295817
2010-04,4793.8141270362385
2010-05,4369.780162281743
2010-06,4364.103660552051
2010-07,4660.319590931397
2010-08,4520.324958543697
2010-09,5005.901813404383
2010-10,5145.452192596562
2010-11,4981.517601417995
2010-12,5233.314251547476
2011-01,5083.339007078102
2011-02,5114.774537181048
2011-03,5404.875940800399
2011-04,5423.207164351471
2011-05,5283.854334781843
2011-06,5213.444567824137
2011-07,5143.032282139762
2011-08,4620.308958582403
2011-09,3858.6174325070597
2011-10,4450.03111587697
2011-11,4112.154045783814
2011-12,4023.818992201737
2012-01,4570.3979452696685
2012-02,4844.497084127855
2012-03,4546.686327593529
2012-04,4482.4310860420255
2012-05,3906.2827297862764
2012-06,4053.8346135314882
2012-07,4099.350771607437
2012-08,4052.970238781938
2012-09,4333.697924134635
2012-10,4377.183298084909
2012-11,4410.874730075355
2012-12,4638.019463594226
2013-01,4823.223988152465
2013-02,4589.666196701163
2013-03,4467.162596336572
2013-04,4533.112176478151
2013-05,4398.817609418191
2013-06,4056.422135900038
2013-07,4132.5576952676965
2013-08,4096.434887924095
2013-09,4425.463563768209
2013-10,4621.054252289631
2013-11,4618.6780105239795
2013-12,4539.175957953473
2014-01,4186.004269033876
2014-02,4275.06282965214
2014-03,4345.75077537127
2014-04,4289.490480796999
2014-05,4517.77372784622
2014-06,4691.398335133244
2014-07,4872.559161284911
2014-08,4978.503133645447
2014-09,4590.143362033063
2014-10,4693.787120080741
2014-11,4653.094300159148
2014-12,4423.864756184137
2015-01,4500.372596342092
2015-02,4717.61812598857
2015-03,4651.45568771521
2015-04,5232.853828456332
2015-05,5029.687497010413
2015-06,4854.133769597355
2015-07,4458.859744056949
2015-08,3985.0752288268777
2015-09,3877.0254531284727
2015-10,4133.606524190564
2015-11,3998.16091324701
2015-12,3925.3600851268448
2016-01,3527.9297559867523
2016-02,3435.520425696478
2016-03,3917.326295677021
2016-04,3998.589653211819
2016-05,3900.138942721734
2016-06,4009.7629815025366
2016-07,4190.234841515027
2016-08,4408.868340016308
2016-09,4489.261912863869
2016-10,4504.7885557817335
2016-11,4378.765043016757
2016-12,4307.224176154743
2017-01,4582.229038197598
2017-02,4718.425061753512
2017-03,4822.383354619171
2017-04,4909.224848592517
2017-05,5030.5008415281
2017-06,5073.577865655107
2017-07,5503.705154967545
2017-08,5708.183318563993
2017-09,5743.430611265404
2017-10,5946.224395629987
2017-11,5991.148627478942
2017-12,6171.230848312143
2018-01,6861.626051592019
2018-02,6496.974572930608
2018-03,6292.035572324826
2018-04,6278.586162338076
2018-05,6218.195506095292
2018-06,5941.015207644618
2018-07,5988.803211968206
2018-08,5771.418437083747
2018-09,5681.672708678051
2018-10,5242.243231941861
2018-11,5565.6811908426525
2018-12,5316.858575389041
2019-01,5804.857726776146
2019-02,5897.35914518544
2019-03,6076.741328596796
2019-04,6186.960988157383
2019-05,5665.5816988212
2019-06,6024.590631160214
2019-07,5939.745533764193
2019-08,5665.368108246777
2019-09,5723.641804885356
2019-10,5989.307492731501
2019-11,6018.808632162863
2019-12,6467.709940268042
2020-01,6174.097993448256
2020-02,6003.462068002289
2020-03,5231.8001730129745
2020-04,5642.667803052788
2020-05,5651.620694570213
2020-06,6096.341512947038
2020-07,6657.405888221164
2020-08,6945.212188888815
2020-09,6763.212910472786
2020-10,7007.054577476727
2020-11,7401.70218209862
2020-12,7770.347441007238
2021-01,8099.439896792978
2021-02,8092.930471146091
2021-03,7802.726147614953
2021-04,7895.190957729516
2021-05,8150.11934892258
2021-06,8196.811654353696
2021-07,7378.935318299859
2021-08,7554.511665039311
2021-09,7297.148590728322
2021-10,7427.5975727392715
2021-11,7025.959433
2021-12,6956.560934628084
2022-01,6807.690187738154
2022-02,6364.829673881534
2022-03,5934.226400182
2022-04,5698.42253456019
2022-05,5682.492804251377
2022-06,5748.017037067525
2022-07,5522.618248582196
2022-08,5615.523494383087
2022-09,4971.665007172107
2022-10,4508.217210406548
2022-11,5367.54091335245
2022-12,5436.28918742926
2023-01,5830.41394719817
2023-02,5320.317164528741
2023-03,5493.016911455751
2023-04,5367.9398490896165
2023-05,5116.560910508608
2023-06,5369.617947322063
2023-07,5796.845194409373
