Date,ACWI ex GERMANY
1998-12,1000.0
1999-01,1019.9369963379949
1999-02,996.7355227948918
1999-03,1045.5735713116421
1999-04,1089.3434775368466
1999-05,1052.23595268922
1999-06,1104.466368107162
1999-07,1099.811082570193
1999-08,1097.606842576497
1999-09,1085.6560533980676
1999-10,1139.6603405508038
1999-11,1174.8045792070945
1999-12,1267.2441784852165
2000-01,1196.8116323426239
2000-02,1194.1365394819582
2000-03,1277.719257482296
2000-04,1222.447034695725
2000-05,1191.3157618241053
2000-06,1233.1142560801472
2000-07,1194.89411261197
2000-08,1236.0606350928224
2000-09,1167.663369219578
2000-10,1143.0152967831048
2000-11,1072.3752675078285
2000-12,1086.9110711929754
2001-01,1113.7565973136495
2001-02,1019.7707434864898
2001-03,952.342513030714
2001-04,1021.4292144258038
2001-05,1011.5487044705975
2001-06,979.0379481561325
2001-07,962.9603665161707
2001-08,919.290396526249
2001-09,837.4754050843482
2001-10,854.4749645221998
2001-11,905.9892796907449
2001-12,913.6638553596379
2002-01,888.9711416838453
2002-02,882.3369973952758
2002-03,920.8857975838167
2002-04,891.2949601435129
2002-05,892.3196572347279
2002-06,836.7143788302313
2002-07,768.3820633471109
2002-08,770.0450850299821
2002-09,688.1393952508112
2002-10,737.5504450102728
2002-11,777.586286006077
2002-12,740.8247791129448
2003-01,718.9071942828564
2003-02,706.9176031936872
2003-03,704.4022743506656
2003-04,764.5729815084715
2003-05,808.3970010689193
2003-06,822.8864731359771
2003-07,840.1143252670333
2003-08,860.642352361594
2003-09,866.1855061450568
2003-10,917.206387339745
2003-11,929.9826121779852
2003-12,987.3618458596527
2004-01,1004.2173603621278
2004-02,1023.1795441202798
2004-03,1018.5433480793587
2004-04,993.8192360273354
2004-05,1001.6569794420469
2004-06,1021.2109493310727
2004-07,989.0471833276982
2004-08,995.7602296936279
2004-09,1015.5641631161444
2004-10,1039.9184523367248
2004-11,1095.5948920324029
2004-12,1137.4838955187467
2005-01,1113.9749891813592
2005-02,1152.377871504806
2005-03,1127.0046038841567
2005-04,1102.9511490402647
2005-05,1123.5288455116931
2005-06,1134.9071549533273
2005-07,1175.816351076423
2005-08,1184.8994243284153
2005-09,1220.8164982885064
2005-10,1188.0764618135786
2005-11,1231.377513141786
2005-12,1261.0719990994958
2006-01,1321.8418186147912
2006-02,1319.6364650793414
2006-03,1346.4525826262707
2006-04,1390.594153610329
2006-05,1335.8174901714317
2006-06,1335.6373845443677
2006-07,1345.1620373414116
2006-08,1379.5924375631275
2006-09,1395.5213841139064
2006-10,1447.3098148557715
2006-11,1487.4000492429427
2006-12,1519.6539659799623
2007-01,1534.563465281687
2007-02,1525.7367849452583
2007-03,1555.078925266039
2007-04,1621.3316163117308
2007-05,1668.8200064937603
2007-06,1662.5578718522381
2007-07,1638.5189476565265
2007-08,1633.713458754787
2007-09,1720.1389819312094
2007-10,1786.7423477385316
2007-11,1705.5137432969038
2007-12,1684.6792077786183
2008-01,1550.729246305746
2008-02,1554.4765982524552
2008-03,1530.069082944895
2008-04,1616.1859065401384
2008-05,1641.4421852887378
2008-06,1506.4926633915602
2008-07,1466.4275875180692
2008-08,1437.196824071437
2008-09,1258.7169610327076
2008-10,1010.8057675738319
2008-11,945.2565815515844
2008-12,976.4963820929668
2009-01,896.1410630545884
2009-02,809.2443243853828
2009-03,875.2718467687108
2009-04,977.1360448344991
2009-05,1074.6276511038225
2009-06,1069.6619936180305
2009-07,1162.7700057818977
2009-08,1204.1183967351658
2009-09,1258.8373042907524
2009-10,1240.4787071194344
2009-11,1291.0542333550472
2009-12,1318.1711376369985
2010-01,1263.1870254761284
2010-02,1280.711046199451
2010-03,1362.045746816947
2010-04,1365.2950062885086
2010-05,1236.439556979057
2010-06,1197.2667164547213
2010-07,1294.1662349025846
2010-08,1249.9371336303655
2010-09,1368.0693295358137
2010-10,1415.6244350982233
2010-11,1385.5072548092983
2010-12,1487.1112268491574
2011-01,1509.1010493888805
2011-02,1552.7557248252008
2011-03,1551.3660943486461
2011-04,1611.054745809066
2011-05,1578.8489528693262
2011-06,1551.9866719499037
2011-07,1528.0058297976427
2011-08,1422.513556442678
2011-09,1289.2651827647178
2011-10,1425.2789843054036
2011-11,1383.150998508437
2011-12,1383.1493108420525
2012-01,1461.6149390006562
2012-02,1533.6222285373813
2012-03,1543.6947144634094
2012-04,1527.0636316352131
2012-05,1392.418820079867
2012-06,1461.2498716015646
2012-07,1480.753411768803
2012-08,1511.6154614937777
2012-09,1558.0691660074217
2012-10,1546.5323893380041
2012-11,1565.6440388805204
2012-12,1600.1991079527236
2013-01,1673.5098072066705
2013-02,1675.4552078215995
2013-03,1707.6590033402324
2013-04,1755.8808340597745
2013-05,1749.189256113037
2013-06,1698.7508433174125
2013-07,1779.1343951899344
2013-08,1742.3631073777328
2013-09,1830.3627415315266
2013-10,1902.8732415652069
2013-11,1927.946632550415
2013-12,1960.4734952674285
2014-01,1882.7199929093676
2014-02,1972.400848882331
2014-03,1982.7562829500346
2014-04,2001.693064910462
2014-05,2044.7586206935364
2014-06,2085.117317613808
2014-07,2063.645735746718
2014-08,2111.3568145681925
2014-09,2043.5333501628138
2014-10,2059.7024307210736
2014-11,2091.1581783211404
2014-12,2052.502331304919
2015-01,2018.2368697266218
2015-02,2130.2533752208915
2015-03,2095.917978732612
2015-04,2158.9802438596485
2015-05,2158.0729092281017
2015-06,2107.4409645947485
2015-07,2124.5238499544516
2015-08,1979.3363867353355
2015-09,1909.2666088227106
2015-10,2057.4418524017256
2015-11,2039.8970340974874
2015-12,2003.6745748263131
2016-01,1884.70903572058
2016-02,1872.8527789571165
2016-03,2010.2181759578107
2016-04,2040.1359373852492
2016-05,2043.4081199960845
2016-06,2034.226009199253
2016-07,2120.04154439022
2016-08,2126.1049295882544
2016-09,2139.2794223546184
2016-10,2102.8485517624567
2016-11,2121.741883380509
2016-12,2164.547950721567
2017-01,2223.4725495288285
2017-02,2287.343889471599
2017-03,2313.077145584982
2017-04,2348.065641
2017-05,2398.250158
2017-06,2410.329307
2017-07,2478.445173
2017-08,2488.05344
2017-09,2533.217649
2017-10,2586.283143
2017-11,2636.98565
2017-12,2680.911483
2018-01,2831.903797
2018-02,2715.844489
2018-03,2657.479634
2018-04,2681.99379248061
2018-05,2688.5343190924227
2018-06,2675.5323187773683
2018-07,2755.1459535945114
2018-08,2780.107984854744
2018-09,2794.0173260329025
2018-10,2585.43428987581
2018-11,2625.8193649824166
2018-12,2439.949994
2019-01,2633.4722909087413
2019-02,2704.591168478513
2019-03,2740.6027279900895
2019-04,2830.618237869023
2019-05,2663.2076977361494
2019-06,2837.031765468536
2019-07,2848.246788795023
2019-08,2781.1088698122885
2019-09,2839.373919243717
2019-10,2914.742114054679
2019-11,2986.3915884573044
2019-12,3092.8232064756394
2020-01,3060.236018248765
2020-02,2813.967581519103
2020-03,2436.574036406568
2020-04,2698.1997028384585
2020-05,2812.790678790173
2020-06,2900.515650233695
2020-07,3054.1229715364893
2020-08,3240.829070115309
2020-09,3136.2018876842553
2020-10,3066.4429324211037
2020-11,3440.8330908397684
2020-12,3599.3695956197794
2021-01,3584.27931328409
2021-02,3667.580792961233
2021-03,3764.2289528147867
2021-04,3929.7616857886637
2021-05,3989.419088646967
2021-06,4045.086256
2021-07,4073.552490193074
2021-08,4176.679929437644
2021-09,4005.6311791930566
2021-10,4212.90063098435
2021-11,4115.435447
2021-12,4278.6276115724395
2022-01,4067.330306620673
2022-02,3966.2498807207025
2022-03,4056.4320235070245
2022-04,3731.898661842511
2022-05,3734.0709092755346
2022-06,3423.1791550559697
2022-07,3665.304542410952
2022-08,3532.1995293906607
2022-09,3193.557562056743
2022-10,3384.3170872014152
2022-11,3642.7968441635317
2022-12,3496.577968429518
2023-01,3743.3399722563154
2023-02,3635.251071681177
2023-03,3746.5960198460984
2023-04,3798.767557373465
2023-05,3761.9908394130925
2023-06,3980.8267276165175
2023-07,4127.07192680944
