Date,ACWI ex FRANCE
1998-12,1000.0
1999-01,1019.355041384744
1999-02,995.0895489403978
1999-03,1041.6129573273286
1999-04,1087.011675901717
1999-05,1048.3703888787093
1999-06,1101.3762108736116
1999-07,1095.639385812732
1999-08,1092.5088601075506
1999-09,1079.4561687147934
1999-10,1133.09669205607
1999-11,1167.7997812078743
1999-12,1262.808029666783
2000-01,1194.6504463191989
2000-02,1193.284026543961
2000-03,1275.531516216711
2000-04,1217.2594875764844
2000-05,1182.6707541630904
2000-06,1221.906755094389
2000-07,1184.370992514934
2000-08,1225.008811579992
2000-09,1157.8519308890463
2000-10,1134.7789391208603
2000-11,1063.2451977030223
2000-12,1077.0261059080058
2001-01,1105.5155130756605
2001-02,1014.0193632145106
2001-03,945.5271672981108
2001-04,1013.1327863420892
2001-05,1004.079101087932
2001-06,973.0684503938336
2001-07,956.8263586499003
2001-08,911.9646459899404
2001-09,829.6231388622142
2001-10,845.9187007607951
2001-11,899.0600483975861
2001-12,906.4206187215354
2002-01,882.8247124091527
2002-02,875.4654006578306
2002-03,914.3699085327532
2002-04,884.3870687996557
2002-05,884.9972848551065
2002-06,829.5173009785989
2002-07,761.4695027438029
2002-08,763.6921096799359
2002-09,680.9352339337049
2002-10,729.4944209438427
2002-11,769.4657948161583
2002-12,731.955073452138
2003-01,710.5161005269533
2003-02,698.6174482761907
2003-03,696.4613350455915
2003-04,756.4605187458753
2003-05,799.5815557178025
2003-06,814.668715382531
2003-07,832.628839219961
2003-08,852.6178892942122
2003-09,857.8786903651254
2003-10,909.4073235110574
2003-11,921.6999230044225
2003-12,978.8865518254431
2004-01,995.8045707067065
2004-02,1013.5274447745221
2004-03,1008.9683253202228
2004-04,984.7895537367351
2004-05,991.6184237266151
2004-06,1011.3022545432469
2004-07,978.9211078932219
2004-08,985.1816603385491
2004-09,1005.1312424715023
2004-10,1029.0136235910384
2004-11,1084.9027649762259
2004-12,1126.7638094718084
2005-01,1102.6558381296763
2005-02,1140.185323262099
2005-03,1114.6371665901036
2005-04,1091.0766923605659
2005-05,1111.3671789581274
2005-06,1122.5709942370038
2005-07,1163.1569876464935
2005-08,1172.2244342730808
2005-09,1207.7343207438862
2005-10,1176.0101965728945
2005-11,1219.7891596337881
2005-12,1249.3041722701844
2006-01,1309.1725953514215
2006-02,1307.7756944211908
2006-03,1333.1846344262694
2006-04,1377.5120077176252
2006-05,1321.9538145082665
2006-06,1320.7624109577137
2006-07,1329.7883569662558
2006-08,1363.8418488182037
2006-09,1379.906253029084
2006-10,1432.3238719200633
2006-11,1472.1217858620496
2006-12,1504.0942025989593
2007-01,1519.9665340803704
2007-02,1511.5625232686277
2007-03,1541.126496177619
2007-04,1606.863649850918
2007-05,1655.2970243988057
2007-06,1650.619149875842
2007-07,1626.9963959117224
2007-08,1623.6942889146378
2007-09,1711.017429276241
2007-10,1777.8243162309445
2007-11,1696.8934185973435
2007-12,1678.3567429926347
2008-01,1544.047350851295
2008-02,1547.4222648274113
2008-03,1521.7840767265827
2008-04,1607.5441007696386
2008-05,1632.2465463206088
2008-06,1499.588950338048
2008-07,1460.2010205903214
