Date,AC ASIA ex JAPAN WITH PARTIAL A SHARES
2008-11,1070.5089426137486
2008-12,1175.5723012202172
2009-01,1112.425383885376
2009-02,1040.59916380958
2009-03,1184.0253815329718
2009-04,1381.239651291647
2009-05,1602.135276820156
2009-06,1596.7678404325593
2009-07,1805.0375194020792
2009-08,1742.7573135374237
2009-09,1896.7379589400916
2009-10,1888.0858455794732
2009-11,1939.6824134565036
2009-12,2023.6584396784183
2010-01,1900.9110251018426
2010-02,1911.5516916553297
2010-03,2049.664034321789
2010-04,2091.1792295783894
2010-05,1915.0008178776889
2010-06,1946.9941247242846
2010-07,2060.787787711464
2010-08,2037.155604627615
2010-09,2266.6027143359433
2010-10,2327.9452834735853
2010-11,2294.175676445659
2010-12,2419.962812735193
2011-01,2396.047375248336
2011-02,2304.1898272976828
2011-03,2447.6998109260517
2011-04,2540.0441465929025
2011-05,2506.437691757071
2011-06,2449.069619170524
2011-07,2476.8600128195076
2011-08,2232.80848001022
2011-09,1939.18982039439
2011-10,2170.9230585586015
2011-11,1990.9853213192966
2011-12,2002.333224529021
2012-01,2216.42973138599
2012-02,2349.118607028469
2012-03,2274.8738031248745
2012-04,2276.5607843623616
2012-05,2059.6470780404597
2012-06,2120.729651746775
2012-07,2175.0216477107842
2012-08,2162.9269780493782
2012-09,2314.8039630854037
2012-10,2308.695270159957
2012-11,2371.433749280138
2012-12,2449.1276772452634
2013-01,2491.2167955197933
2013-02,2488.039230891951
2013-03,2437.646991909644
2013-04,2480.1290097631068
2013-05,2451.218714410612
2013-06,2308.3392606306315
2013-07,2350.5136528923936
2013-08,2317.251795674608
2013-09,2442.3043745269
2013-10,2548.18743364914
2013-11,2554.213203432108
2013-12,2526.4058633835016
2014-01,2400.669183755721
2014-02,2481.785134714517
2014-03,2504.757088969852
2014-04,2521.5299504631926
2014-05,2622.7493228078383
2014-06,2684.359886942902
2014-07,2788.1120589206294
2014-08,2807.254485120701
2014-09,2644.8538454971767
2014-10,2696.879196639452
2014-11,2707.7913335028584
2014-12,2657.598790449689
2015-01,2721.485230000813
2015-02,2773.306095747827
2015-03,2792.8093580650107
2015-04,3008.2597275807957
2015-05,2934.1877585561147
2015-06,2820.076887893178
2015-07,2635.0417362872126
2015-08,2372.8802742703656
2015-09,2330.6963673954324
2015-10,2518.2048530321713
2015-11,2434.3635240138815
2015-12,2421.146293484895
2016-01,2222.8278376269336
2016-02,2202.884980121273
2016-03,2451.3935718379785
2016-04,2430.47149505468
2016-05,2400.02494296611
2016-06,2462.6825470601766
2016-07,2580.778856565914
2016-08,2670.4412606031515
2016-09,2712.5871394304295
2016-10,2672.0037931038146
2017-04,2943.557885
2017-05,3069.329319
2017-06,3119.361894
2017-07,3286.001561
2017-08,3331.760181
2017-09,3329.381022
2017-10,3484.886173
2017-11,3504.177195
2017-12,3599.668514
2018-01,3874.551893
2018-02,3680.073282
2018-03,3625.592020066453
2018-04,3649.6843039230985
2018-05,3604.913859823831
2018-06,3430.6840297141657
2018-07,3458.792392497598
2018-08,3422.3609947176074
2018-09,3375.015010128012
2018-10,3008.851693844487
2018-11,3168.590935749172
2018-12,3082.653653019037
2019-01,3307.9109613981964
2019-02,3377.8030484767655
2019-03,3436.181543151983
2019-04,3501.2403014110864
2019-05,3203.0703743219747
2019-06,3413.4599120987964
2019-07,3352.367693865935
2019-08,3206.2073217761076
2019-09,3260.3520466811515
2019-10,3409.347939025476
2019-11,3418.9260152520797
2019-12,3644.431149915234
2020-01,3479.409860994287
2020-02,3375.914277399449
2020-03,2962.495756040778
2020-04,3230.576607108115
2020-05,3194.207203183316
2020-06,3458.809928232748
2020-07,3743.5201671950767
2020-08,3874.2034156375053
2020-09,3820.5448829049333
2020-10,3926.6319388529223
2020-11,4245.344481169034
2020-12,4531.7202809901955
