Date,KUKJE INDEX (ACWI ex Korea)
1998-12,1000.0
1999-01,1019.6400502208467
1999-02,993.8702943339129
1999-03,1038.6276728599832
1999-04,1082.0858935759845
1999-05,1044.0486932134017
1999-06,1094.5914239582078
1999-07,1089.0323051245355
1999-08,1087.5346770319695
1999-09,1076.6907785295166
1999-10,1130.6925225711666
1999-11,1163.9980633294963
1999-12,1261.4204408345995
2000-01,1191.9137029339995
2000-02,1196.8917712704263
2000-03,1275.3977151000565
2000-04,1218.5335496091964
2000-05,1187.3195196693785
2000-06,1226.2566474305504
2000-07,1190.8179781826282
2000-08,1228.5357471759855
2000-09,1161.1851257842784
2000-10,1138.978031316744
2000-11,1068.0856153920502
2000-12,1085.615597744183
2001-01,1111.6887713881026
2001-02,1017.9307621087939
2001-03,949.4984654989248
2001-04,1017.9145576011219
2001-05,1005.4780107522319
2001-06,974.2775056626199
2001-07,959.3217284240952
2001-08,914.4913441194371
2001-09,831.14385732577
2001-10,848.0252270504915
2001-11,898.8631551909265
2001-12,906.6682499241517
2002-01,880.9290468922248
2002-02,873.3976240253733
2002-03,912.1649772404637
2002-04,882.6362690280802
2002-05,883.3098410483898
2002-06,828.8999147656783
2002-07,758.7963661443574
2002-08,760.4708565868415
2002-09,677.0396181027402
2002-10,726.8380274534602
2002-11,765.863094075519
2002-12,729.682723963869
2003-01,708.2699538304811
2003-02,695.7778653626445
2003-03,693.2939034438989
2003-04,754.4650454198085
2003-05,797.8304016986103
2003-06,812.4046443855497
2003-07,829.6247027746676
2003-08,848.7796586049053
2003-09,854.4928230920243
2003-10,905.6985079352352
2003-11,919.3701545669372
2003-12,977.7039665373371
2004-01,993.5282626739697
2004-02,1011.3504650076782
2004-03,1005.1709125265501
2004-04,981.9385526849143
2004-05,990.2313543841614
2004-06,1010.2082581679124
2004-07,978.3033353528656
2004-08,983.5664066205912
2004-09,1003.8555119902048
2004-10,1028.4240081488933
2004-11,1084.000570884369
2004-12,1126.0445566874646
2005-01,1101.1952051768615
2005-02,1138.593395839197
2005-03,1113.9191651404424
2005-04,1089.649604065279
2005-05,1109.6635686467507
2005-06,1120.9507489977682
2005-07,1161.450454648793
2005-08,1170.7646587456861
2005-09,1204.855765639149
2005-10,1172.8597641020335
2005-11,1214.4996894901792
2005-12,1243.3029347380937
2006-01,1303.8839498086477
2006-02,1302.4465783220646
2006-03,1330.2844581267836
2006-04,1373.9726350770852
2006-05,1320.4793455753884
2006-06,1320.1883647929903
2006-07,1329.3302894143428
2006-08,1363.8043336718029
2006-09,1379.3612490654525
2006-10,1431.8704401111195
2006-11,1471.8457663889526
2006-12,1505.179246721039
2007-01,1521.250297944169
2007-02,1512.3437022432593
2007-03,1542.4868318107428
2007-04,1610.6286320681825
2007-05,1657.4019818181857
2007-06,1651.7696366589303
2007-07,1623.5346284603952
2007-08,1620.1540516436287
