Date,WORLD ex ISRAEL
2010-05,1025.8182348283729
2010-06,990.5633801360673
2010-07,1071.2265991633399
2010-08,1030.9899722186992
2010-09,1127.1086013785534
2010-10,1169.3003558833987
2010-11,1144.0401449240715
2010-12,1228.1726111752018
2011-01,1256.145821432092
2011-02,1300.3839006684414
2011-03,1287.4000470856245
2011-04,1342.407387939091
2011-05,1314.3757843947226
2011-06,1293.7110679528444
2011-07,1270.265702980894
2011-08,1180.98789963472
2011-09,1079.1415697240475
2011-10,1190.678927414882
2011-11,1161.7726456357968
2011-12,1161.133573948617
2012-01,1219.2721881490154
2012-02,1279.0827189363483
2012-03,1295.5068840764939
2012-04,1280.7105540982498
2012-05,1170.2799290061846
2012-06,1230.1600492801786
2012-07,1245.8904338918824
2012-08,1277.621562503237
2012-09,1312.6748524661061
2012-10,1303.7547354581495
2012-11,1320.441638521494
2012-12,1345.5434395296745
2013-01,1414.2263641025686
2013-02,1416.495663990649
2013-03,1449.6218785033536
2013-04,1495.425982079835
2013-05,1496.0365478776018
2013-06,1459.145015218073
2013-07,1536.0839706580334
2013-08,1503.4090604780502
2013-09,1578.632171298266
2013-10,1640.5340386217065
2013-11,1669.5568463753166
2013-12,1704.9595521201775
2014-01,1641.5675022376306
2014-02,1723.673870808975
2014-03,1725.953145162453
2014-04,1743.7498166173154
2014-05,1778.0974113418924
2014-06,1809.8491973060484
2014-07,1780.8667026709477
2014-08,1820.3011379936247
2014-09,1770.7171247390588
2014-10,1782.2405339396882
2014-11,1817.9336729715542
2014-12,1788.5666149740584
2015-01,1756.1329490215412
2015-02,1859.2490382998008
2015-03,1829.6889314122918
2015-04,1872.7393579652223
2015-05,1879.1992961871485
2015-06,1835.433591682711
2015-07,1867.8965503019126
2015-08,1744.3516754843115
2015-09,1680.2626001236074
2015-10,1813.4449139368605
2015-11,1804.4387786459547
2015-12,1772.5138494360556
2016-01,1666.5613767712416
2016-02,1654.240829040271
2016-03,1766.8237627892859
2016-04,1794.7381740021053
2016-05,1805.072274125089
2016-06,1784.864536184903
2016-07,1860.193562047487
2016-08,1861.9339480980648
2016-09,1872.0547236480957
2016-10,1836.0712782837481
2016-11,1862.7524572667928
2016-12,1907.450056094073
2017-01,1953.5601749323769
2017-02,2007.6931995074704
2017-03,2029.1085684703287
2017-04,2059.199692
2017-05,2102.894986
2017-06,2110.677486
2017-07,2161.423077
2017-08,2165.232365
2017-09,2213.761341
2017-10,2255.790138
2017-11,2304.805194
2017-12,2335.699781
2018-01,2459.066447
2018-02,2357.184616
2018-03,2305.940966
2018-04,2332.4491350030985
2018-05,2346.802426034223
2018-06,2345.5765772970353
2018-07,2418.794719610744
2018-08,2448.63750625125
2018-09,2462.394980025121
2018-10,2281.5251612656584
2018-11,2307.305978852198
2018-12,2132.10012709079
2019-01,2297.816962050934
2019-02,2367.082794394713
2019-03,2398.277837859896
2019-04,2483.344773515577
2019-05,2340.2545760852154
2019-06,2494.581539623724
2019-07,2506.874974718283
2019-08,2455.805338474863
2019-09,2508.1298602236343
2019-10,2571.8920340641766
2019-11,2643.4033523570542
2019-12,2722.844846345184
2020-01,2705.99865694829
2020-02,2477.174721668262
2020-03,2149.49006322549
2020-04,2384.3266936760224
2020-05,2499.3167332158623
2020-06,2565.573201090628
2020-07,2688.225710294873
2020-08,2868.147782521486
2020-09,2769.492019157359
2020-10,2684.38906521725
2020-11,3027.7718298789596
2020-12,3155.8908370346103
2021-01,3124.367054887127
2021-02,3204.5927174119997
2021-03,3311.5262109380346
2021-04,3465.546459503037
2021-05,3515.715747623976
2021-06,3568.126755
2021-07,3631.847959167853
2021-08,3722.359822554687
2021-09,3567.7063112251567
2021-10,3769.817441482608
2021-11,3687.2317182524407
2021-12,3844.815342857258
2022-01,3641.630289103184
2022-02,3549.2302957027177
2022-03,3646.8266523820184
2022-04,3343.852694832653
2022-05,3346.7442460269617
2022-06,3056.810506193363
2022-07,3299.6235261101365
2022-08,3161.0440070989553
2022-09,2867.393994863671
2022-10,3073.2092866111775
2022-11,3287.558402883152
2022-12,3148.01540372536
2023-01,3370.93401523658
2023-02,3290.037806815809
2023-03,3391.8268194706397
2023-04,3451.5216432020698
2023-05,3417.2542701699613
2023-06,3624.1724381884387
2023-07,3745.6270374595356
