Date,ACWI ex PHILIPPINES
1998-12,1000.0
1999-01,1019.7626782312943
1999-02,993.5888844414111
1999-03,1038.8082635254555
1999-04,1083.1426212200167
1999-05,1045.29562951619
1999-06,1097.4634196022887
1999-07,1092.360038199381
1999-08,1091.1110712866064
1999-09,1079.1085609497973
1999-10,1132.9696874490123
1999-11,1167.7959228649493
1999-12,1264.496149841692
2000-01,1195.4796389025378
2000-02,1199.2718615338692
2000-03,1278.3624273730202
2000-04,1220.7743307336802
2000-05,1189.6297763432538
2000-06,1229.5730184173942
2000-07,1192.8094104588922
2000-08,1230.0340389316161
2000-09,1162.0751481214559
2000-10,1138.7539212141255
2000-11,1067.8002037257902
2000-12,1085.0167118329427
2001-01,1112.2679723109613
2001-02,1018.5375256585176
2001-03,949.6777542272858
2001-04,1018.4960874117097
2001-05,1006.5329569310097
2001-06,975.1268578208028
2001-07,959.8497094555879
2001-08,915.4305971062581
2001-09,831.5910253458782
2001-10,849.1688491746855
2001-11,901.1227037750481
2001-12,909.3660143513757
2002-01,884.2085605799706
2002-02,877.4330288139344
2002-03,916.7497466237953
2002-04,887.3748437900141
2002-05,888.0836797292664
2002-06,833.571157551178
2002-07,763.4734260755071
2002-08,765.1768300727783
2002-09,680.9813950762151
2002-10,730.9571986998386
2002-11,770.6899704732939
2002-12,733.7096403266302
2003-01,712.0798515340622
2003-02,699.3352174362251
2003-03,696.3116010043541
2003-04,758.0293175811757
2003-05,801.6308238899054
2003-06,816.6082594478656
2003-07,834.4813205759249
2003-08,854.0082412639805
2003-09,859.2003010368944
2003-10,911.0720040559885
2003-11,924.7105608497517
2003-12,983.0933128985748
2004-01,999.69559940466
2004-02,1017.8019425422733
2004-03,1011.9678869075068
2004-04,988.170222999937
2004-05,995.8509932409211
2004-06,1015.5454075112415
2004-07,983.0598156816083
2004-08,989.0557562394825
2004-09,1009.5636846442699
2004-10,1034.229801879282
2004-11,1090.6156256072022
2004-12,1132.814689153388
2005-01,1108.7487277599014
2005-02,1147.1647010976255
2005-03,1121.9013862986853
2005-04,1097.1558727640816
2005-05,1117.6409093050136
2005-06,1128.9460092391396
2005-07,1170.7090432638824
2005-08,1179.6108431805312
2005-09,1215.1079843774346
2005-10,1182.3565728739727
2005-11,1225.3845377530256
2005-12,1255.5251874836076
2006-01,1317.3312964519762
2006-02,1315.3950460112956
2006-03,1343.0507987698752
2006-04,1387.7683653527695
2006-05,1333.0392515407075
2006-06,1332.495165881325
2006-07,1341.509862823013
2006-08,1376.2998083382556
2006-09,1392.2873021751616
2006-10,1444.49948120126
2006-11,1485.3357370182391
2006-12,1518.4374109727064
2007-01,1533.4877142933483
2007-02,1525.451026874363
2007-03,1556.025586673795
2007-04,1625.1067365488645
2007-05,1673.3674450833864
2007-06,1668.3971128951364
2007-07,1642.919901678043
2007-08,1638.4314241346278
2007-09,1726.3599262133403
2007-10,1793.6677820052316
2007-11,1714.3635826308146
2007-12,1695.3368239405856
2008-01,1556.4736278878863
2008-02,1560.91531637194
2008-03,1538.0623258642895
2008-04,1623.9903236758876
2008-05,1649.3875704900113
2008-06,1514.017535717443
2008-07,1474.6324161762266
2008-08,1442.8199243830043
2008-09,1262.461685094189
2008-10,1012.3284275838699
2008-11,945.7952350792256
2008-12,980.1054937345493
2009-01,896.3322892783242
2009-02,808.5173630781992
2009-03,875.1188577524395
2009-04,978.4431957959695
2009-05,1075.903281220463
2009-06,1069.8768683196336
2009-07,1164.0116565501312
2009-08,1205.66962625118
2009-09,1261.0102783852296
2009-10,1241.507523601344
2009-11,1292.5583230121574
2009-12,1319.3178253871279
2010-01,1262.324161272702
2010-02,1278.368352590706
2010-03,1360.6118789925574
2010-04,1362.8737114724843
2010-05,1233.6202904416305
2010-06,1195.5776787499112
2010-07,1292.8960286539334
2010-08,1247.6291081678974
2010-09,1366.906136888313
2010-10,1416.3255501891545
2010-11,1384.924255206035
2010-12,1486.3180811704526
2011-01,1509.7725664992734
2011-02,1553.7861868251935
2011-03,1552.1251562102411
2011-04,1615.6063190709565
2011-05,1580.9094634058727
2011-06,1555.9568723021878
2011-07,1530.529109460933
2011-08,1418.6802628212968
2011-09,1284.7343127211357
2011-10,1422.393839449817
2011-11,1379.8408269046095
2011-12,1377.0098485984452
2012-01,1457.0159853887694
2012-02,1530.3223218473256
2012-03,1540.4275183468455
2012-04,1522.7554947182414
2012-05,1386.1484277603784
2012-06,1454.6024777827884
2012-07,1474.5005182102595
2012-08,1506.6485415472782
2012-09,1554.0759346649386
2012-10,1543.64970371068
2012-11,1563.3168988788436
2012-12,1598.7175006463797
2013-01,1672.3061376095845
2013-02,1671.8639175637863
2013-03,1702.4436185763557
2013-04,1751.0857258919964
2013-05,1746.3497190813393
2013-06,1695.4227174204245
2013-07,1776.632436427871
2013-08,1739.810169868593
2013-09,1829.6902691652492
2013-10,1903.1536123154604
2013-11,1930.2483652486262
2013-12,1963.7129862132247
2014-01,1885.0841070776708
2014-02,1976.0620010437244
2014-03,1984.8549364350586
2014-04,2003.6819890035247
2014-05,2046.3018581980932
2014-06,2084.815432189031
2014-07,2059.4849097439696
2014-08,2104.9698314208636
2014-09,2036.6044739219546
2014-10,2050.9803799714173
2014-11,2085.3045815369924
2014-12,2045.003724981554
2015-01,2012.8078724768902
2015-02,2124.984159035074
2015-03,2091.9660173661628
2015-04,2152.8404134851808
2015-05,2150.065547894559
2015-06,2099.405392666607
2015-07,2117.707464756101
2015-08,1972.5497513733233
2015-09,1901.039872756055
2015-10,2050.3818260800704
2015-11,2033.5313226239332
2015-12,1996.792023969382
2016-01,1876.3343679559453
2016-02,1863.4116409777585
2016-03,2001.36210117217
2016-04,2031.0435310658447
2016-05,2033.4850846519184
2016-06,2020.9997127051188
2016-07,2108.170642353502
2016-08,2115.330211526688
2016-09,2128.4998340241305
2016-10,2092.4065837960725
2016-11,2108.6670099034163
2016-12,2154.2535141553026
2017-01,2213.075498919703
2017-02,2275.2683701807305
2017-03,2303.096482425153
2017-04,2338.868391
2017-05,2390.506572
2017-06,2401.430904
2017-07,2468.560797
2017-08,2478.1098
2017-09,2525.943283
2017-10,2578.432623
2017-11,2628.396826
2017-12,2670.655181
2018-01,2821.575013
2018-02,2703.09037
2018-03,2645.35671
2018-04,2670.6869733622593
2018-05,2674.175561795825
2018-06,2659.8532787062563
2018-07,2739.9358594658192
2018-08,2761.40746678925
2018-09,2773.7090537085687
2018-10,2565.659655854929
2018-11,2603.0843492057434
2018-12,2419.46907
2019-01,2610.4860678669816
2019-02,2680.498203757743
2019-03,2714.177768630812
2019-04,2805.894032086371
2019-05,2639.2118643891877
2019-06,2812.184714757241
2019-07,2820.4127279522686
2019-08,2753.542014378449
2019-09,2811.627400832445
2019-10,2888.5067986648846
2019-11,2959.2347488265127
2019-12,3063.5109950265155
