Date,ACWI ex MALAYSIA
1998-12,1000.0
1999-01,1019.7385474405469
1999-02,993.5902238280595
1999-03,1038.8153469681104
1999-04,1083.3151839697382
1999-05,1045.4441242399266
1999-06,1097.6022126888001
1999-07,1092.4049165133497
1999-08,1091.0702148370647
1999-09,1079.0222061375305
1999-10,1132.8545001350833
1999-11,1167.6176301162932
1999-12,1264.3137417425219
2000-01,1195.2810739212384
2000-02,1198.9549757270304
2000-03,1277.977203232986
2000-04,1220.3871893698613
2000-05,1189.2085675823932
2000-06,1229.8319881273367
2000-07,1193.0742878327776
2000-08,1230.5056151321728
2000-09,1162.7750816932808
2000-10,1139.0509892842515
2000-11,1067.9928084896167
2000-12,1085.5757657556405
2001-01,1112.7262092761077
2001-02,1018.7431109734978
2001-03,949.9141448895732
2001-04,1019.2887935927185
2001-05,1007.3639736560223
2001-06,975.7375638913426
2001-07,959.9951723147185
2001-08,915.2324535931022
2001-09,831.4619252384756
2001-10,849.1398164451658
2001-11,901.1009651119016
2001-12,909.1658056416512
2002-01,883.8606666770177
2002-02,877.1208483012035
2002-03,916.3135868650717
2002-04,886.683399509256
2002-05,887.5831893305087
2002-06,833.0043407438087
2002-07,762.8290449126223
2002-08,764.5469184639675
2002-09,680.4275897992776
2002-10,730.378361745971
2002-11,770.2238451789447
2002-12,733.1437901401848
2003-01,711.428438072868
2003-02,698.7047296740595
2003-03,695.716864893647
2003-04,757.5295447764587
2003-05,801.0740998197323
2003-06,816.035870399304
2003-07,833.8476321694964
2003-08,853.336076579183
2003-09,858.5830962670818
2003-10,910.2893774544773
2003-11,924.0149619292761
2003-12,982.4788943442411
2004-01,999.0253263310718
2004-02,1016.9752929290224
2004-03,1011.0819097844444
2004-04,987.4382392063662
2004-05,995.2146835209379
2004-06,1014.9199456644686
2004-07,982.3642636363718
2004-08,988.3785118131337
2004-09,1008.8727343949597
2004-10,1033.5501247743568
2004-11,1089.865420632632
2004-12,1132.1317482001198
2005-01,1108.0356065242554
2005-02,1146.5291583516776
2005-03,1121.3113539784613
2005-04,1096.5095076233229
2005-05,1117.0804576167664
2005-06,1128.3121597698603
2005-07,1169.9511479445807
2005-08,1178.9380297794676
2005-09,1214.4253777238298
2005-10,1181.6990789974705
2005-11,1224.8486233996205
