Date,WORLD ex USA
1969-12,100.0
1970-01,97.86321
1970-02,96.590188
1970-03,96.499555
1970-04,86.345725
1970-05,79.931465
1970-06,80.756497
1970-07,83.886301
1970-08,85.490663
1970-09,88.089161
1970-10,85.643921
1970-11,82.712206
1970-12,85.627573
1971-01,89.605052
1971-02,90.673581
1971-03,95.271985
1971-04,97.313266
1971-05,98.079281
1971-06,99.767115
1971-07,102.288767
1971-08,100.679055
1971-09,100.396395
1971-10,96.177636
1971-11,97.914583
1971-12,112.828802
1972-01,121.030676
1972-02,128.36235
1972-03,129.68435499999998
1972-04,134.66162
1972-05,143.829081
1972-06,138.923332
1972-07,147.572241
1972-08,149.33803
1972-09,142.096085
1972-10,141.870754
1972-11,153.593688
1972-12,156.93017
1973-01,164.024227
1973-02,180.827768
1973-03,184.8382
1973-04,172.16737
1973-05,175.132457
1973-06,177.536582
1973-07,177.635312
1973-08,167.96705
1973-09,171.054398
1973-10,174.296056
1973-11,145.720731
1973-12,139.057765
1974-01,145.320991
1974-02,151.15249
1974-03,147.122906
1974-04,149.479216
1974-05,141.5106
1974-06,134.210349
1974-07,130.322685
1974-08,116.655845
1974-09,109.833209
1974-10,109.6342
1974-11,113.099524
1974-12,111.864725
1975-01,130.634941
1975-02,146.43138
1975-03,144.71225
1975-04,150.171356
1975-05,149.746875
1975-06,144.946654
1975-07,139.408563
1975-08,138.568848
1975-09,131.608171
1975-10,140.804081
1975-11,144.229764
1975-12,146.562218
1976-01,154.547238
1976-02,154.140943
1976-03,151.158627
1976-04,150.874576
1976-05,147.194917
1976-06,148.922741
1976-07,146.766036
1976-08,146.247799
1976-09,143.850571
1976-10,135.219183
1976-11,134.846995
1976-12,149.97628
1977-01,148.559313
1977-02,151.53446
1977-03,151.811362
1977-04,155.236325
1977-05,154.3295
1977-06,157.92411
1977-07,155.67861
1977-08,161.234047
1977-09,165.879073
1977-10,168.336211
1977-11,167.803872
1977-12,174.177165
1978-01,175.274372
1978-02,176.953893
1978-03,189.153511
1978-04,187.86333
1978-05,192.198483
1978-06,199.863614
1978-07,216.883542
1978-08,221.201332
1978-09,227.584114
1978-10,238.531345
1978-11,218.480636
1978-12,228.911964
1979-01,230.55865
1979-02,230.0056
1979-03,236.351532
1979-04,235.867088
1979-05,232.468332
1979-06,237.2324
1979-07,238.408444
1979-08,246.003501
1979-09,257.696112
1979-10,236.233655
1979-11,241.280712
1979-12,250.476536
1980-01,265.806039
1980-02,268.901559
1980-03,235.327019
1980-04,256.162367
1980-05,269.325996
1980-06,286.41681
1980-07,286.216762
1980-08,295.617282
1980-09,306.136777
1980-10,316.447671
1980-11,311.575352
1980-12,309.25153
1981-01,303.037514
1981-02,298.751794
1981-03,310.358949
1981-04,316.791514
1981-05,305.779604
1981-06,305.687757
1981-07,293.110178
1981-08,299.776735
1981-09,268.909966
1981-10,271.882149
1981-11,301.721683
1981-12,297.319522
1982-01,292.248996
1982-02,272.132521
1982-03,258.521141
1982-04,273.106595
1982-05,269.05547
1982-06,247.498788
1982-07,246.136434
1982-08,249.805158
1982-09,248.550452
1982-10,252.125059
1982-11,270.938032
1982-12,293.44267
1983-01,292.995164
1983-02,299.345015
1983-03,310.386919
1983-04,329.860068
1983-05,329.429289
1983-06,336.831364
1983-07,337.741926
1983-08,333.216122
1983-09,343.475277
1983-10,339.498904
1983-11,350.481754
1983-12,363.38913
1984-01,375.286729
1984-02,380.279874
1984-03,410.333136
1984-04,403.175846
1984-05,365.149615
1984-06,363.459228
1984-07,339.700264
1984-08,370.943219
1984-09,367.161436
1984-10,373.851071
1984-11,368.566812
1984-12,374.098521
1985-01,384.626896
1985-02,380.955646
1985-03,409.431652
1985-04,408.288105
1985-05,424.581744
1985-06,433.952019
1985-07,454.839142
1985-08,467.281491
1985-09,489.87754
1985-10,518.34615
1985-11,541.000188
1985-12,564.118344
1986-01,577.215017
1986-02,636.988
1986-03,723.135
1986-04,767.676
1986-05,735.380586
1986-06,781.493337
1986-07,825.250902
1986-08,905.238087
1986-09,897.215588
1986-10,840.457522
1986-11,887.386734
1986-12,932.567856
1987-01,1033.24047
1987-02,1065.472837
1987-03,1155.327959
1987-04,1270.277996
1987-05,1269.301229
1987-06,1232.744329
1987-07,1237.66941
1987-08,1325.649726
1987-09,1305.688889
1987-10,1116.041678
1987-11,1124.418511
1987-12,1158.604618
1988-01,1176.533276
1988-02,1254.401001
1988-03,1330.906831
1988-04,1349.696711
1988-05,1306.301318
1988-06,1276.722893
1988-07,1314.037511
1988-08,1229.22915
1988-09,1281.323267
1988-10,1388.33733
1988-11,1467.844504
1988-12,1476.746771
1989-01,1506.107039
1989-02,1512.00107
1989-03,1484.281651
1989-04,1498.723539
1989-05,1420.30574
1989-06,1399.140152
1989-07,1571.567943
1989-08,1504.845875
1989-09,1569.689648
1989-10,1509.52661
1989-11,1583.416507
1989-12,1641.221488
1990-01,1577.870798
1990-02,1470.910799
1990-03,1324.462309
1990-04,1309.459899
1990-05,1456.029016
1990-06,1443.070676
1990-07,1463.973022
1990-08,1325.313935
1990-09,1146.338337
1990-10,1314.029123
1990-11,1241.023329
1990-12,1262.361651
1991-01,1300.892865
1991-02,1437.7872
1991-03,1354.676469
1991-04,1368.124908
1991-05,1384.5572
1991-06,1286.316424
1991-07,1347.281924
1991-08,1321.166114
1991-09,1390.812579
1991-10,1412.494022
1991-11,1348.302227
1991-12,1414.369992
1992-01,1386.5191782
1992-02,1338.3028677
1992-03,1250.7554719
1992-04,1255.3377779999998
1992-05,1335.9400123
1992-06,1275.3951075999998
1992-07,1245.3735106
1992-08,1318.1751686
1992-09,1288.7935124
1992-10,1225.0172126999998
1992-11,1233.5170781
1992-12,1240.7964574
1993-01,1239.957483
1993-02,1278.9069800000002
1993-03,1387.540857
1993-04,1516.191449
1993-05,1548.822535
1993-06,1525.1631559999998
1993-07,1576.641216
1993-08,1657.884715
1993-09,1619.0134300000002
1993-10,1672.977367118277
1993-11,1530.8752554738753
1993-12,1640.457298232378
1994-01,1776.7378642145877
1994-02,1768.6554102938019
1994-03,1692.5198888517095
1994-04,1760.9832203138901
1994-05,1751.721244584388
1994-06,1771.8808233964699
1994-07,1791.3317422392893
1994-08,1836.0131148686903
1994-09,1782.4049300926617
1994-10,1838.4965468005112
