Date,HONG KONG-LISTED SOUTHBOUND
1999-05,1000.0
1999-06,1101.7315898000465
1999-07,1063.1597085761211
1999-08,1087.3907423637493
1999-09,1029.8883533249748
1999-10,1079.788183953214
1999-11,1210.0371505714193
1999-12,1300.219653373954
2000-01,1166.865520883646
2000-02,1196.618368090779
2000-03,1226.7682791864413
2000-04,1132.7073444176885
2000-05,1043.360395737455
2000-06,1125.2088163552833
2000-07,1203.0985451449415
2000-08,1229.4403016430026
2000-09,1143.734068389528
2000-10,1094.6995199001292
2000-11,1035.7596482826825
2000-12,1123.4883307226517
2001-01,1186.926254991199
2001-02,1098.8096814687449
2001-03,972.6692185639783
2001-04,1013.1974568391204
2001-05,1005.7566222690407
2001-06,969.6021337095282
2001-07,931.3631723001243
2001-08,876.515262739754
2001-09,772.9437014680143
2001-10,798.2931405615229
2001-11,895.0507497395919
2001-12,903.13013103377
2002-01,866.1764650425501
2002-02,850.5228069172549
2002-03,902.4816324538567
2002-04,942.7635735228599
2002-05,934.8089833614393
2002-06,884.1926904063849
2002-07,859.1590130737162
2002-08,846.7993288719655
2002-09,776.8750547500997
2002-10,809.3294740090046
2002-11,862.6067423072591
2002-12,805.4561118523854
2003-01,799.9911051510837
2003-02,798.4743117049635
2003-03,774.3979410342413
2003-04,797.9829945977274
2003-05,873.3637909193316
2003-06,883.6258157291672
2003-07,932.3618779936638
2003-08,1018.9943493711137
2003-09,1056.3966006590551
2003-10,1159.5230208318007
2003-11,1173.4227219091122
2003-12,1229.0613245393577
2004-01,1260.7752686599915
2004-02,1320.2208299778176
2004-03,1221.03470258595
2004-04,1151.809308642321
2004-05,1189.531402695985
2004-06,1187.5493947861116
2004-07,1182.3696717310652
2004-08,1239.689578304862
2004-09,1279.5935089592044
2004-10,1281.901818792021
2004-11,1385.737854656287
2004-12,1392.5444901311153
2005-01,1345.1986261180691
2005-02,1402.1609450757012
2005-03,1326.7896616807238
2005-04,1352.60311807426
2005-05,1358.013390251383
2005-06,1393.5882824320602
2005-07,1451.9609047072204
2005-08,1444.597032872552
2005-09,1490.7894532302448
2005-10,1397.2219354455854
2005-11,1454.9672363407158
2005-12,1472.2267152068337
2006-01,1578.3743796649776
2006-02,1610.9353679600597
2006-03,1627.6128020159374
2006-04,1694.54303462422
2006-05,1656.295410241502
2006-06,1669.982175736692
2006-07,1710.8151715235256
2006-08,1751.9425325626723
2006-09,1780.6995979027754
2006-10,1852.574841183819
2006-11,1950.2406152026351
2006-12,2084.570524804003
2007-01,2055.765355968086
2007-02,2000.3402332248845
2007-03,2047.8163658667643
2007-04,2127.8751152718
2007-05,2211.158037362167
2007-06,2319.94918024128
2007-07,2482.1798431404814
2007-08,2558.9924380045186
2007-09,2933.6993862317004
2007-10,3317.613635838119
2007-11,2968.2596786865706
