Date,ACWI ex AUSTRALIA
2000-12,100.0
2001-01,102.49597870326184
2001-02,93.80348383529974
2001-03,87.50117483180752
2001-04,93.78827366857179
2001-05,92.6661123912546
2001-06,89.72479319321674
2001-07,88.33574865842913
2001-08,84.18624021172404
2001-09,76.51431349788642
2001-10,78.05990125949987
2001-11,82.82048431038538
2001-12,83.57588427337107
2002-01,81.23070303752601
2002-02,80.59329496949367
2002-03,84.21713438160535
2002-04,81.49258196814218
2002-05,81.47734859989448
2002-06,76.45760510606013
2002-07,70.01667895682887
2002-08,70.14553123690145
2002-09,62.35881153584213
2002-10,66.95670057340253
2002-11,70.63088501383814
2002-12,67.20302876303217
2003-01,65.16362706108895
2003-02,63.99008138843637
2003-03,63.66291331471969
2003-04,69.31786391780142
2003-05,73.33849292612211
2003-06,74.6819438163157
2003-07,76.3538934886532
2003-08,78.1385325916679
2003-09,78.56333563787562
2003-10,83.26799372934391
2003-11,84.54860952286816
2003-12,89.84596088558915
2004-01,91.39848192551926
2004-02,93.0002539759652
2004-03,92.42993614907134
2004-04,90.33028375918161
2004-05,91.03523373919003
2004-06,92.87588503425143
2004-07,89.83961634831014
2004-08,90.36444859267054
2004-09,92.15652685269708
2004-10,94.3368484093806
2004-11,99.41850606994296
2004-12,103.25646770181118
2005-01,101.00281771425631
2005-02,104.45943729343983
2005-03,102.20226506054654
2005-04,99.93412460412152
2005-05,101.84609425063752
2005-06,102.77148870391396
2005-07,106.60392964757284
2005-08,107.41271854746662
2005-09,110.54239067796684
2005-10,107.65629343368711
2005-11,111.57817085305808
2005-12,114.32737472040147
2006-01,119.8985324168665
2006-02,119.76147792084956
2006-03,122.32790450927375
2006-04,126.23921217937279
2006-05,121.31244999616436
2006-06,121.24111263205671
2006-07,122.05346463958897
2006-08,125.20951315540916
2006-09,126.74609336671
2006-10,131.3701059202775
2006-11,135.0477167537211
2006-12,138.02593545497234
2007-01,139.42579884192358
2007-02,138.55592913196566
2007-03,141.21464450441292
2007-04,147.40888459680397
2007-05,151.8665780823049
2007-06,151.29895594019672
2007-07,148.9817364333021
2007-08,148.63886052904243
2007-09,156.2362455335341
2007-10,162.1621631870854
2007-11,155.15011587064885
2007-12,153.54540910364867
2008-01,141.01495535944136
2008-02,141.3057846975401
2008-03,139.40493902626744
2008-04,147.0682865552984
2008-05,149.3355542184323
2008-06,136.98687823138212
2008-07,133.61032795868095
2008-08,130.812932318837
2008-09,114.64547206553225
2008-10,92.10058151428645
2008-11,86.07154582458587
2008-12,89.13354016211643
2009-01,81.62478774171157
2009-02,73.51002428630856
2009-03,79.38063795657199
2009-04,88.76341023485487
2009-05,97.60930997483308
2009-06,96.90371352397345
2009-07,105.39023452017403
2009-08,109.00504282393473
2009-09,113.75022116396308
2009-10,111.92799916051219
2009-11,116.57193928918765
