Date,EM ASIA WITH CHINA ALL SHARES
2008-11,1061.0511547540716
2008-12,1160.9693004040432
2009-01,1106.717265259239
2009-02,1051.478151118013
2009-03,1215.5581309338825
2009-04,1398.295108256077
2009-05,1588.9066846636656
2009-06,1618.4392900847383
2009-07,1836.4339929398864
2009-08,1725.8648184769709
2009-09,1878.410522967164
2009-10,1880.6669401208298
2009-11,1946.2522219654861
2009-12,2028.3275446264945
2010-01,1891.876883860179
2010-02,1897.4350776469387
2010-03,2030.8772032840636
2010-04,2052.537468367633
2010-05,1872.202172123611
2010-06,1883.376619428108
2010-07,2000.9597490027174
2010-08,1973.3579316472462
2010-09,2176.0044947210495
2010-10,2263.0138057168265
2010-11,2205.7997811233477
2010-12,2331.9714587941467
2011-01,2300.4987939648036
2011-02,2231.649094398134
2011-03,2372.786899039888
2011-04,2454.5467264841473
2011-05,2407.8119421276024
2011-06,2368.5370117236266
2011-07,2377.5033489197817
2011-08,2146.9597142910065
2011-09,1885.7945925421564
2011-10,2097.298358804918
2011-11,1924.4029508581766
2011-12,1926.9923168098555
2012-01,2118.744459565436
2012-02,2240.7151395150568
2012-03,2161.3047582515737
2012-04,2174.1082975654795
2012-05,1988.5425790113857
2012-06,2021.540607242746
2012-07,2047.3919467082474
2012-08,2021.7794907224472
2012-09,2163.250875228735
2012-10,2153.780616683611
2012-11,2193.549309217282
2012-12,2311.9335725270635
2013-01,2353.762241453951
2013-02,2349.226548439528
2013-03,2279.1420411469876
2013-04,2303.8588301680256
2013-05,2309.955148580424
2013-06,2142.738810835669
2013-07,2168.7662978919366
2013-08,2166.293405401376
2013-09,2275.2012034078152
2013-10,2362.8188425342305
2013-11,2378.380634034292
2013-12,2339.812731351296
2014-01,2226.694043872295
2014-02,2278.1918038727517
2014-03,2295.1278131366475
2014-04,2296.6604381347274
2014-05,2377.9152047242765
2014-06,2442.1664163957967
2014-07,2548.8016621458273
2014-08,2572.2321062756773
2014-09,2461.7705895543595
2014-10,2504.286310284348
2014-11,2552.7364262559277
2014-12,2626.0306716735154
2015-01,2656.665251825951
2015-02,2728.2516299148124
2015-03,2831.6283911713917
2015-04,3121.7401372222885
2015-05,3078.428069194614
2015-06,2916.500012830935
2015-07,2645.079432505608
2015-08,2364.1744378544527
2015-09,2307.0695083819646
2015-10,2509.6126893650244
2015-11,2445.0375809434704
2015-12,2440.5051364018273
2016-01,2147.103288218695
2016-02,2117.8673696981327
2016-03,2371.6246797258004
2016-04,2333.997742469532
2016-05,2305.6782757537694
2016-06,2354.299682287591
2016-07,2455.4647314015974
2016-08,2552.964529088943
2016-09,2565.12530318415
2016-10,2542.058402353495
2016-11,2497.694017800618
2016-12,2429.606697764713
2017-01,2557.3558938196466
2017-02,2644.2005160133576
2017-03,2709.221037903242
2017-04,2750.615515658358
2017-05,2855.0130904098532
2017-06,2931.4595889690754
2017-07,3083.3007235680975
2017-08,3145.347958995086
2017-09,3146.344644596094
2017-10,3300.4869891462504
2017-11,3285.379156603491
2017-12,3372.1664979739867
2018-01,3647.88893430167
2018-02,3441.1402020584646
2018-03,3387.3087158749818
2018-04,3356.031705902352
2018-05,3316.7788764488864
2018-06,3124.0402698191683
2018-07,3129.391363855185
2018-08,3072.40370889458
2018-09,3042.769183852995
2018-10,2716.0238073062646
2018-11,2837.0660508166106
2018-12,2748.2599749330466
2019-01,2955.61199719452
2019-02,3073.7669310162314
2019-03,3152.4246115348496
2019-04,3198.3929640946635
2019-05,2916.7858372648548
2019-06,3097.80563248845
2019-07,3061.616356704004
2019-08,2947.438210819499
2019-09,2996.7482891003715
2019-10,3122.8881194467203
2019-11,3129.272239243406
2019-12,3357.3292313194493
2020-01,3232.2185685445193
2020-02,3147.1817704778036
2020-03,2804.9333902509925
2020-04,3050.901835253115
2020-05,3033.0189024099323
2020-06,3293.1617554606787
2020-07,3646.9826550750263
2020-08,3773.5506945424463
2020-09,3701.8745275483534
2020-10,3826.065233302386
2020-11,4103.477395072331
2020-12,4392.046226125937
2021-01,4581.093991247836
2021-02,4605.9388025103735
2021-03,4436.731582828719
2021-04,4558.459181529178
2021-05,4663.716334325623
2021-06,4652.24293294152
2021-07,4294.115679021574
2021-08,4389.564318102742
2021-09,4255.9354522150625
2021-10,4318.450782102912
2021-11,4194.76429
2021-12,4250.451862931902
2022-01,4052.43347562228
2022-02,4002.004763837218
2022-03,3826.012256470997
2022-04,3596.454581255054
2022-05,3628.5445384669697
2022-06,3565.337124891917
2022-07,3479.143694005259
2022-08,3455.9887574539607
2022-09,3031.4940772059026
2022-10,2831.094137783656
2022-11,3311.3523355610546
2022-12,3306.591146474724
2023-01,3601.9057918036497
2023-02,3377.122687851556
2023-03,3470.1130652856277
2023-04,3390.947777403538
2023-05,3308.185344520094
2023-06,3371.1199909653524
2023-07,3582.2569550359935
