Date,AC ASIA ex JAPAN WITH CHINA ALL SHARES
2008-11,1062.5260767981608
2008-12,1153.5295822096762
2009-01,1105.8606071798708
2009-02,1046.6378390407888
2009-03,1191.0309554516305
2009-04,1374.0913350541405
2009-05,1576.7950402370661
2009-06,1598.084550323962
2009-07,1815.8021093400407
2009-08,1708.3042378001576
2009-09,1855.0743216715953
2009-10,1861.2347370319487
2009-11,1918.5224890656193
2009-12,1996.857323384489
2010-01,1863.6846753473217
2010-02,1876.2509501005595
2010-03,2002.1107210772257
2010-04,2022.3376729909805
2010-05,1849.237736427057
2010-06,1868.197562383572
2010-07,1986.0642646723134
2010-08,1964.1359191227757
2010-09,2170.1968229824133
2010-10,2252.1319406430416
2010-11,2206.6166180623086
2010-12,2319.8314853609745
2011-01,2297.4667509728065
2011-02,2225.0444139231313
2011-03,2351.7922071284625
2011-04,2433.8169733978752
2011-05,2393.4738443948786
2011-06,2349.043010981045
2011-07,2368.2744055320745
2011-08,2147.643437683168
2011-09,1874.6652592206103
2011-10,2086.6359694555044
2011-11,1916.6568302321987
2011-12,1919.4579846747013
2012-01,2114.7944520163887
2012-02,2241.3490114721876
2012-03,2163.6485259905444
2012-04,2177.375346155693
2012-05,1986.5681131988558
2012-06,2030.9376190356306
2012-07,2070.345041271595
2012-08,2050.0576330308227
2012-09,2189.9384582852576
2012-10,2183.2469130492336
2012-11,2226.566760385344
2012-12,2332.686623570112
2013-01,2384.048957888687
2013-02,2378.8496289487225
2013-03,2317.6923108775854
2013-04,2349.951907031223
2013-05,2343.478569607439
2013-06,2181.8531553488933
2013-07,2218.556798688501
2013-08,2206.0087384427384
2013-09,2321.1948753068436
2013-10,2405.615455501701
2013-11,2419.673974084113
2013-12,2385.5123687447162
2014-01,2265.8213300940165
2014-02,2325.5097036051334
2014-03,2337.5047129133386
2014-04,2350.722189889241
2014-05,2434.7789745097894
2014-06,2491.164175519375
2014-07,2604.4877025899145
2014-08,2620.105449603338
2014-09,2499.2554572828444
2014-10,2551.8920364520714
2014-11,2597.0275918793086
2014-12,2647.8736568369563
2015-01,2685.8932555028114
2015-02,2746.043577110523
2015-03,2837.6739807965123
2015-04,3121.2381256907183
2015-05,3075.205674449877
2015-06,2925.255626917328
2015-07,2679.4983734772345
2015-08,2387.8198602550956
2015-09,2328.7521392018502
2015-10,2533.3746338844912
2015-11,2463.8579291317665
2015-12,2462.2840241128374
2016-01,2175.2110512579206
2016-02,2152.0959098399003
2016-03,2404.9964752211736
2016-04,2374.7947198220595
2016-05,2343.7301483508336
2016-06,2392.4200367524813
2016-07,2497.2236271694205
2016-08,2583.6105244868504
2016-09,2604.8310784546698
2016-10,2577.872189321819
2016-11,2536.672985655287
2016-12,2459.3641634902424
2017-01,2597.1203358917323
2017-02,2680.9794512125704
2017-03,2748.5486825033868
2017-04,2793.4294127575085
2017-05,2898.1396792016053
2017-06,2968.570257284793
2017-07,3118.341394311004
2017-08,3177.3131277952098
2017-09,3175.7114362379866
2017-10,3318.351544081127
2017-11,3319.074234261115
2017-12,3404.979328000831
2018-01,3670.461289039737
2018-02,3474.835312797887
2018-03,3417.2446287260022
2018-04,3406.836669004855
2018-05,3366.740727478682
2018-06,3172.071153015559
2018-07,3183.4097507735705
2018-08,3124.2513689302887
2018-09,3099.3851404432758
2018-10,2767.745796148323
2018-11,2897.1382771239882
2018-12,2817.412827443795
2019-01,3028.8672071901055
2019-02,3151.1512456712726
2019-03,3225.975768810424
2019-04,3276.9774945165295
2019-05,2995.6423934213635
2019-06,3187.7421847112773
2019-07,3144.001678943898
2019-08,3010.7782913142755
2019-09,3054.3170187836918
2019-10,3185.4757411402597
2019-11,3185.765696968305
2019-12,3405.0733154481154
2020-01,3276.389029465252
2020-02,3189.0598159968877
2020-03,2830.4164768353858
2020-04,3074.923271820591
2020-05,3035.9421968722163
2020-06,3298.5776027053957
2020-07,3617.92045771194
2020-08,3752.5849145643533
2020-09,3672.3005245751942
2020-10,3780.316946002398
2020-11,4072.025770168054
2020-12,4349.942551928635
2021-01,4528.2612642327895
2021-02,4565.844611698892
2021-03,4417.203731285019
2021-04,4539.791991545589
2021-05,4639.80066107791
2021-06,4621.792748896368
2021-07,4287.406777220424
2021-08,4371.850085731339
2021-09,4233.601693046237
2021-10,4298.083580692501
2021-11,4164.185205
2021-12,4216.571341178674
2022-01,4036.796678987452
2022-02,3983.025815416493
2022-03,3823.2740304403555
2022-04,3594.4743789121617
2022-05,3626.805704489048
2022-06,3564.1687560277996
2022-07,3483.331346256992
2022-08,3453.0951924500523
2022-09,3038.868444239443
2022-10,2834.2220562769367
2022-11,3321.6208783809057
2022-12,3331.7563611585324
2023-01,3617.3012597108195
2023-02,3390.949232867121
2023-03,3483.673892615277
2023-04,3411.6412117171953
2023-05,3311.5124498249534
2023-06,3376.9794847362687
2023-07,3585.3700423041214
